param-n noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user noop-repeat-setoid-rewrite-regression-cubic-real noop-repeat-setoid-rewrite-regression-cubic-sys noop-repeat-setoid-rewrite-regression-cubic-user
0 0. 0. 0. 0. 0. 0. 0. 0. 0.
1 0.001 0.001 0. 0. 0. 0. 0.001 0.001 0.
2 0.001 0. 0.001 0.001 0. 0.001 0.001 0.001 0.
10 0.005 0.004 0.001 0.006 0. 0.006 0.006 0. 0.005
20 0.012 0. 0.012 0.011 0. 0.011 0.072 0.011 0.061
30 0.029 0. 0.029 0.03 0. 0.03 0.03 0. 0.03
40 0.062 0. 0.062 0.061 0. 0.061 0.064 0. 0.064
50 0.112 0. 0.112 0.114 0. 0.114 0.175 0.011 0.163
60 0.185 0. 0.185 0.182 0. 0.182 0.187 0. 0.187
70 0.286 0. 0.286 0.293 0. 0.293 0.286 0. 0.286
80 0.419 0. 0.419 0.416 0. 0.416 0.421 0. 0.421
90 0.596 0. 0.596 0.584 0. 0.584 0.585 0. 0.585
100 0.786 0. 0.786 0.802 0. 0.802 0.797 0. 0.797
110 1.03 0. 1.03 1.038 0. 1.038 1.049 0. 1.049
120 1.336 0. 1.336 1.356 0. 1.356 1.348 0. 1.348
130 1.729 0. 1.729 1.715 0. 1.714 1.719 0. 1.719
140 2.114 0. 2.114 2.133 0. 2.133 2.133 0. 2.133
150 2.566 0. 2.565 2.634 0.003 2.63 2.58 0. 2.58
160 3.217 0.003 3.211 3.201 0. 3.201 3.222 0. 3.222
170 3.814 0. 3.814 3.865 0. 3.865 3.815 0. 3.815
180 4.486 0. 4.486 4.516 0. 4.516 4.558 0. 4.558
190 5.257 0. 5.257 5.217 0. 5.217 5.416 0.003 5.412
200 6.075 0. 6.075 6.173 0. 6.173 6.088 0. 6.088
