param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08,0.004,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.,0.067,0.011,0.055
2,1,2,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.069,0.,0.003,0.001,0.,0.001,0.,0.,0.,0.062,0.007,0.054,0.059,0.003,0.056,0.031,0.,0.031
2,2,1,0.058,0.003,0.054,0.,0.,0.,0.,0.,0.,0.074,0.001,0.002,0.057,0.006,0.05,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.019,0.,0.019
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.068,0.,0.003,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.009,0.,0.009,0.056,0.,0.056
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.071,0.003,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.006,0.,0.006,0.033,0.,0.033
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.069,0.,0.003,0.,0.,0.,0.,0.,0.,0.026,0.,0.026,0.024,0.,0.024,0.098,0.,0.098
4,2,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.069,0.003,0.,0.,0.,0.,0.,0.,0.,0.012,0.,0.012,0.011,0.,0.011,0.06,0.,0.06
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07,0.001,0.002,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.016,0.,0.016,0.059,0.,0.059
5,1,5,0.002,0.,0.001,0.,0.,0.,0.,0.,0.,0.083,0.,0.004,0.001,0.,0.001,0.,0.,0.,0.108,0.007,0.1,0.109,0.008,0.1,0.234,0.004,0.23
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.078,0.,0.003,0.,0.,0.,0.,0.,0.,0.032,0.003,0.028,0.035,0.,0.035,0.093,0.,0.093
