param-0-n param-1-lgn try-ssr-rewrite!-cold-noop-regression-linear-real try-ssr-rewrite!-cold-noop-regression-linear-sys try-ssr-rewrite!-cold-noop-regression-linear-user try-ssr-rewrite!-noop-regression-linear-real try-ssr-rewrite!-noop-regression-linear-sys try-ssr-rewrite!-noop-regression-linear-user try-ssr-rewrite-noop-regression-linear-real try-ssr-rewrite-noop-regression-linear-sys try-ssr-rewrite-noop-regression-linear-user try-ssr-rewrite?-noop-regression-linear-real try-ssr-rewrite?-noop-regression-linear-sys try-ssr-rewrite?-noop-regression-linear-user
3 1 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
7 2 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
15 3 0. 0. 0. 0. 0. 0. 0.001 0. 0.001 0. 0. 0.
31 4 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
63 5 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
127 6 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
255 7 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
511 8 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
1023 9 0. 0. 0. 0.001 0. 0. 0.001 0.001 0. 0. 0. 0.
2047 10 0.063 0.027 0.035 0. 0. 0. 0. 0. 0. 0. 0. 0.
4095 11 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001
8191 12 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003 0.003 0. 0.003
16383 13 0.006 0. 0.006 0.006 0. 0.006 0.01 0. 0.01 0.006 0. 0.006
32767 14 0.012 0. 0.012 0.022 0. 0.022 0.012 0. 0.012 0.012 0. 0.012
65535 15 0.025 0. 0.025 0.043 0. 0.043 0.026 0. 0.025 0.027 0. 0.027
131071 16 0.145 0.016 0.128 0.047 0. 0.047 0.047 0. 0.047 0.044 0. 0.044
262143 17 0.133 0.008 0.125 0.117 0. 0.117 0.092 0. 0.092 0.105 0. 0.104
524287 18 0.236 0.008 0.228 0.198 0. 0.198 0.198 0. 0.198 0.216 0. 0.216
1048575 19 0.606 0. 0.606 0.434 0. 0.434 0.451 0. 0.451 0.441 0. 0.441
2097151 20 1.501 0. 1.5 0.908 0. 0.908 0.903 0. 0.903 0.88 0. 0.88
4194303 21 2.425 0. 2.424 1.74 0. 1.74 1.726 0. 1.725 1.757 0. 1.757
8388607 22 3.652 0. 3.652 3.586 0. 3.585 3.444 0. 3.444 3.518 0.003 3.514
