param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.088,0.004,0.,0.089,0.004,0.,0.001,0.,0.001,0.,0.,0.
3,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.086,0.003,0.001,0.084,0.,0.004,0.003,0.,0.003,0.,0.,0.
4,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.081,0.004,0.,0.088,0.001,0.002,0.008,0.,0.008,0.,0.,0.
5,0.037,0.001,0.036,0.,0.,0.,0.,0.,0.,0.088,0.003,0.,0.087,0.003,0.001,0.012,0.,0.012,0.,0.,0.
6,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.091,0.003,0.001,0.09,0.004,0.,0.022,0.,0.022,0.,0.,0.
7,0.152,0.,0.152,0.,0.,0.,0.,0.,0.,0.087,0.003,0.001,0.085,0.003,0.001,0.106,0.,0.106,0.,0.,0.
8,0.038,0.,0.038,0.,0.,0.,0.,0.,0.,0.09,0.003,0.002,0.084,0.,0.004,0.039,0.,0.039,0.,0.,0.
9,0.093,0.002,0.091,0.,0.,0.,0.,0.,0.,0.089,0.003,0.,0.085,0.004,0.,0.061,0.,0.061,0.,0.,0.
10,0.087,0.,0.087,0.,0.,0.,0.,0.,0.,0.11,0.003,0.001,0.107,0.,0.004,0.075,0.,0.075,0.,0.,0.
11,0.172,0.,0.172,0.,0.,0.,,,,,,,,,,0.165,0.,0.165,,,
12,0.18,0.,0.18,,,,0.,0.,0.,,,,,,,0.113,0.,0.112,,,
