param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.002,0.,0.001
2,0.,0.,0.,0.003,0.002,0.001
3,0.001,0.,0.,0.005,0.,0.005
4,0.,0.,0.,0.008,0.008,0.
5,0.001,0.,0.,0.01,0.007,0.002
6,0.,0.,0.,0.076,0.008,0.068
7,0.,0.,0.,0.013,0.,0.013
8,0.,0.,0.,0.016,0.,0.016
9,0.,0.,0.,0.019,0.,0.019
10,0.,0.,0.,0.022,0.,0.022
11,0.,0.,0.,0.026,0.,0.026
12,0.,0.,0.,0.027,0.,0.027
13,0.,0.,0.,0.033,0.,0.033
14,0.001,0.,0.001,0.041,0.,0.041
15,0.,0.,0.,0.04,0.,0.04
16,0.,0.,0.,0.046,0.,0.046
17,0.,0.,0.,0.05,0.,0.05
18,0.001,0.,0.001,0.059,0.,0.059
19,0.001,0.,0.001,0.061,0.,0.061
20,0.001,0.,0.001,0.068,0.,0.068
21,0.001,0.,0.001,0.075,0.,0.075
22,0.001,0.,0.001,0.087,0.,0.087
23,0.001,0.,0.001,0.097,0.,0.097
24,0.001,0.,0.001,0.095,0.,0.095
25,0.001,0.,0.001,0.111,0.,0.111
26,0.001,0.,0.001,0.112,0.,0.112
27,0.001,0.,0.001,0.128,0.,0.128
28,0.001,0.,0.001,0.139,0.,0.139
29,0.001,0.,0.001,0.144,0.,0.144
30,0.001,0.,0.001,0.158,0.,0.158
31,0.001,0.,0.001,0.163,0.,0.163
32,0.001,0.,0.001,0.186,0.,0.186
33,0.001,0.,0.001,0.202,0.,0.202
34,0.001,0.,0.001,0.226,0.,0.226
35,0.002,0.,0.002,0.222,0.,0.222
36,0.003,0.,0.003,0.236,0.,0.236
37,0.001,0.,0.001,0.256,0.,0.256
38,0.001,0.,0.001,0.282,0.,0.282
39,0.001,0.,0.001,0.283,0.006,0.276
40,0.001,0.,0.001,0.347,0.004,0.342
41,0.001,0.,0.001,0.312,0.,0.312
42,0.002,0.,0.002,0.344,0.,0.344
43,0.002,0.,0.001,0.361,0.003,0.357
44,0.002,0.,0.002,0.388,0.,0.388
45,0.002,0.,0.002,0.402,0.,0.402
46,0.002,0.,0.002,0.42,0.003,0.416
47,0.002,0.,0.002,0.451,0.,0.451
48,0.002,0.,0.002,0.464,0.,0.463
49,0.002,0.,0.002,0.493,0.,0.493
50,0.002,0.,0.002,0.527,0.,0.527
51,0.002,0.,0.002,0.544,0.,0.544
52,0.002,0.,0.002,0.593,0.,0.593
53,0.002,0.,0.002,0.604,0.003,0.6
54,0.002,0.,0.002,0.646,0.,0.646
55,0.002,0.,0.002,0.669,0.,0.669
56,0.002,0.,0.002,0.708,0.,0.708
57,0.002,0.,0.002,0.737,0.,0.737
58,0.002,0.,0.002,0.759,0.,0.759
59,0.002,0.,0.002,0.797,0.,0.797
60,0.002,0.,0.002,0.828,0.,0.828
61,0.002,0.,0.002,0.875,0.,0.875
62,0.003,0.,0.003,0.915,0.,0.915
63,0.002,0.,0.002,0.95,0.,0.95
64,0.002,0.,0.002,1.02,0.003,1.016
65,0.002,0.,0.002,1.083,0.,1.083
66,0.003,0.,0.003,1.108,0.,1.108
67,0.003,0.,0.003,1.19,0.,1.19
68,0.003,0.,0.003,1.201,0.,1.201
69,0.003,0.,0.003,1.271,0.,1.271
70,0.003,0.,0.003,1.293,0.,1.293
71,0.003,0.,0.003,1.37,0.003,1.366
72,0.003,0.,0.003,1.436,0.,1.436
73,0.003,0.,0.003,1.503,0.,1.503
74,0.003,0.,0.003,1.582,0.,1.582
75,0.003,0.,0.003,1.644,0.,1.644
76,0.003,0.003,0.,1.709,0.,1.709
77,0.003,0.,0.003,1.735,0.,1.735
78,0.003,0.,0.003,1.8,0.,1.8
79,0.003,0.,0.003,1.822,0.,1.822
80,0.003,0.,0.003,1.883,0.,1.883
81,0.004,0.,0.004,1.947,0.003,1.943
82,0.009,0.,0.009,2.007,0.,2.007
83,0.003,0.,0.003,2.082,0.,2.082
84,0.003,0.,0.003,2.175,0.007,2.167
85,0.003,0.,0.003,2.271,0.003,2.267
86,0.003,0.,0.003,2.362,0.004,2.358
87,0.003,0.003,0.,2.424,0.,2.424
88,0.003,0.,0.003,2.498,0.,2.498
89,0.003,0.,0.003,2.617,0.003,2.613
90,0.004,0.,0.004,2.74,0.,2.739
91,0.003,0.,0.003,2.787,0.,2.787
92,0.004,0.,0.004,2.866,0.,2.866
93,0.004,0.,0.004,2.936,0.,2.936
94,0.004,0.,0.004,3.107,0.,3.107
95,0.004,0.,0.004,3.155,0.,3.154
96,0.003,0.,0.003,3.227,0.,3.227
97,0.004,0.,0.004,3.412,0.,3.411
98,0.004,0.,0.004,3.524,0.,3.524
99,0.004,0.,0.004,3.652,0.,3.652
100,0.004,0.,0.004,3.799,0.,3.799
110,0.004,0.,0.004,5.268,0.022,5.244
120,0.005,0.,0.005,6.6,0.007,6.591
130,0.005,0.,0.005,8.643,0.011,8.631
140,0.006,0.,0.006,10.958,0.011,10.945
150,0.006,0.,0.006,13.816,0.011,13.803
160,0.006,0.,0.006,17.158,0.003,17.15
170,0.006,0.,0.006,21.212,0.004,21.206
180,0.007,0.,0.007,25.638,0.012,25.624
190,0.008,0.,0.008,31.061,0.02,31.036
200,0.008,0.,0.008,37.958,0.028,37.926
