param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.003,0.,0.003
2,0.001,0.,0.,0.005,0.003,0.002
3,0.001,0.,0.,0.006,0.003,0.003
4,0.001,0.,0.001,0.008,0.004,0.004
5,0.001,0.,0.,0.069,0.007,0.062
6,0.001,0.,0.001,0.009,0.,0.009
7,0.001,0.,0.001,0.011,0.,0.011
8,0.001,0.,0.001,0.014,0.,0.014
9,0.001,0.,0.001,0.015,0.,0.015
10,0.001,0.,0.001,0.02,0.,0.02
11,0.001,0.,0.001,0.022,0.,0.022
12,0.001,0.,0.001,0.024,0.,0.024
13,0.001,0.,0.001,0.03,0.,0.03
14,0.001,0.,0.001,0.03,0.,0.029
15,0.001,0.,0.001,0.035,0.,0.035
16,0.002,0.,0.002,0.036,0.,0.036
17,0.002,0.,0.002,0.047,0.,0.047
18,0.002,0.,0.002,0.043,0.,0.043
19,0.002,0.,0.002,0.047,0.,0.047
20,0.002,0.,0.002,0.054,0.,0.054
21,0.002,0.,0.002,0.058,0.,0.058
22,0.002,0.,0.002,0.068,0.,0.068
23,0.004,0.,0.004,0.066,0.,0.066
24,0.002,0.,0.002,0.076,0.,0.075
25,0.002,0.,0.002,0.079,0.,0.079
26,0.002,0.,0.002,0.088,0.,0.088
27,0.003,0.,0.003,0.091,0.,0.091
28,0.003,0.,0.003,0.101,0.,0.1
29,0.003,0.,0.003,0.1,0.,0.1
30,0.003,0.,0.003,0.108,0.,0.108
31,0.003,0.,0.003,0.123,0.,0.123
32,0.003,0.,0.003,0.134,0.,0.134
33,0.003,0.,0.003,0.14,0.,0.14
34,0.003,0.,0.003,0.135,0.,0.135
35,0.003,0.,0.003,0.14,0.,0.14
36,0.003,0.,0.003,0.148,0.,0.148
37,0.003,0.,0.003,0.16,0.,0.16
38,0.003,0.,0.003,0.177,0.003,0.173
39,0.004,0.,0.004,0.182,0.,0.182
40,0.003,0.,0.003,0.2,0.,0.2
41,0.004,0.,0.004,0.196,0.,0.196
42,0.004,0.,0.004,0.206,0.,0.206
43,0.004,0.,0.004,0.206,0.,0.206
44,0.007,0.,0.007,0.217,0.,0.217
45,0.003,0.,0.003,0.237,0.,0.237
46,0.004,0.,0.004,0.246,0.,0.246
47,0.004,0.,0.004,0.252,0.003,0.248
48,0.004,0.,0.004,0.267,0.,0.267
49,0.004,0.,0.004,0.278,0.003,0.274
50,0.005,0.,0.004,0.293,0.003,0.289
51,0.005,0.,0.005,0.323,0.003,0.319
52,0.005,0.,0.005,0.335,0.,0.335
53,0.005,0.,0.005,0.363,0.,0.363
54,0.005,0.,0.005,0.379,0.,0.378
55,0.005,0.,0.005,0.395,0.,0.395
56,0.005,0.,0.005,0.383,0.,0.383
57,0.005,0.,0.005,0.387,0.003,0.383
58,0.005,0.,0.005,0.405,0.,0.405
59,0.005,0.,0.005,0.414,0.003,0.41
60,0.005,0.,0.005,0.432,0.,0.432
61,0.005,0.,0.005,0.444,0.,0.443
62,0.005,0.,0.005,0.464,0.,0.464
63,0.005,0.,0.005,0.484,0.,0.484
64,0.007,0.,0.007,0.509,0.,0.509
65,0.006,0.,0.006,0.53,0.,0.53
66,0.005,0.,0.005,0.56,0.,0.56
67,0.005,0.,0.005,0.544,0.,0.544
68,0.006,0.,0.006,0.569,0.,0.569
69,0.006,0.,0.006,0.576,0.,0.576
70,0.006,0.,0.006,0.584,0.,0.584
71,0.006,0.,0.006,0.608,0.,0.608
72,0.006,0.,0.006,0.656,0.,0.656
73,0.006,0.,0.006,0.69,0.,0.69
74,0.006,0.,0.006,0.683,0.,0.683
75,0.006,0.,0.006,0.747,0.,0.747
76,0.006,0.,0.006,0.726,0.003,0.722
77,0.006,0.,0.006,0.77,0.007,0.762
78,0.006,0.,0.006,0.8,0.003,0.796
79,0.006,0.,0.006,0.8,0.,0.8
80,0.007,0.,0.007,0.854,0.,0.854
81,0.007,0.,0.007,0.85,0.,0.85
