param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.
2,0.,0.,0.,0.001,0.,0.001
3,0.,0.,0.,0.002,0.002,0.
4,0.,0.,0.,0.004,0.,0.004
5,0.,0.,0.,0.005,0.,0.004
6,0.046,0.,0.045,0.006,0.,0.006
7,0.,0.,0.,0.006,0.,0.006
8,0.,0.,0.,0.007,0.,0.007
9,0.,0.,0.,0.009,0.,0.009
10,0.,0.,0.,0.01,0.,0.01
11,0.,0.,0.,0.012,0.,0.012
12,0.,0.,0.,0.015,0.,0.015
13,0.,0.,0.,0.015,0.,0.015
14,0.,0.,0.,0.018,0.,0.018
15,0.,0.,0.,0.021,0.,0.021
16,0.,0.,0.,0.023,0.,0.023
17,0.,0.,0.,0.027,0.,0.027
18,0.,0.,0.,0.028,0.,0.028
19,0.,0.,0.,0.035,0.,0.035
20,0.,0.,0.,0.036,0.,0.036
21,0.,0.,0.,0.038,0.,0.038
22,0.,0.,0.,0.048,0.,0.048
23,0.,0.,0.,0.048,0.,0.048
24,0.,0.,0.,0.054,0.,0.054
25,0.,0.,0.,0.057,0.,0.057
26,0.,0.,0.,0.062,0.,0.062
27,0.,0.,0.,0.066,0.,0.066
28,0.,0.,0.,0.077,0.,0.077
29,0.,0.,0.,0.083,0.,0.083
30,0.,0.,0.,0.088,0.,0.088
31,0.,0.,0.,0.093,0.,0.093
32,0.,0.,0.,0.105,0.,0.105
33,0.,0.,0.,0.116,0.,0.115
34,0.,0.,0.,0.125,0.,0.125
35,0.,0.,0.,0.133,0.,0.133
36,0.,0.,0.,0.142,0.003,0.138
37,0.,0.,0.,0.152,0.,0.152
38,0.,0.,0.,0.166,0.003,0.162
39,0.,0.,0.,0.168,0.,0.168
40,0.001,0.,0.001,0.186,0.,0.186
41,0.001,0.,0.001,0.191,0.,0.191
42,0.001,0.,0.001,0.197,0.,0.197
43,0.001,0.,0.001,0.212,0.,0.212
44,0.001,0.,0.001,0.224,0.,0.224
45,0.001,0.,0.001,0.237,0.,0.237
46,0.001,0.,0.001,0.253,0.,0.253
47,0.001,0.,0.001,0.269,0.,0.269
48,0.001,0.,0.001,0.303,0.,0.303
49,0.001,0.,0.001,0.3,0.,0.3
50,0.001,0.,0.001,0.316,0.,0.316
51,0.001,0.,0.001,0.345,0.,0.345
52,0.001,0.,0.001,0.377,0.,0.377
53,0.001,0.,0.001,0.384,0.003,0.38
54,0.001,0.,0.001,0.412,0.,0.412
55,0.001,0.,0.001,0.434,0.,0.434
56,0.001,0.,0.001,0.45,0.,0.45
57,0.001,0.,0.001,0.461,0.003,0.457
58,0.001,0.,0.001,0.484,0.,0.484
59,0.001,0.,0.001,0.507,0.,0.507
60,0.001,0.,0.001,0.535,0.,0.535
61,0.001,0.,0.001,0.562,0.,0.562
62,0.001,0.,0.001,0.59,0.,0.59
63,0.001,0.,0.001,0.619,0.003,0.616
64,0.001,0.,0.001,0.667,0.,0.667
65,0.001,0.,0.001,0.691,0.,0.691
66,0.001,0.,0.001,0.736,0.,0.736
67,0.001,0.,0.001,0.766,0.,0.766
68,0.001,0.,0.001,0.787,0.,0.787
69,0.001,0.,0.001,0.812,0.,0.812
70,0.001,0.,0.001,0.848,0.,0.848
71,0.001,0.,0.001,0.882,0.,0.882
72,0.001,0.,0.001,0.919,0.,0.919
73,0.001,0.,0.001,0.955,0.,0.955
74,0.001,0.,0.001,1.012,0.,1.012
75,0.001,0.,0.001,1.071,0.,1.071
76,0.007,0.,0.007,1.11,0.,1.11
77,0.001,0.,0.001,1.095,0.,1.095
78,0.001,0.,0.001,1.125,0.,1.125
79,0.001,0.,0.001,1.162,0.,1.162
80,0.001,0.,0.001,1.204,0.,1.204
81,0.001,0.,0.001,1.248,0.,1.247
82,0.001,0.,0.001,1.503,0.,1.501
83,0.001,0.,0.001,1.463,0.,1.463
84,0.001,0.,0.001,1.516,0.,1.516
85,0.002,0.,0.002,1.557,0.,1.557
86,0.001,0.,0.001,1.617,0.,1.617
87,0.002,0.,0.002,1.671,0.,1.67
88,0.002,0.,0.002,1.736,0.,1.736
89,0.002,0.,0.002,1.845,0.,1.844
90,0.002,0.,0.002,1.926,0.,1.925
91,0.002,0.,0.002,1.935,0.,1.935
92,0.002,0.,0.002,2.011,0.,2.011
93,0.002,0.,0.002,2.075,0.,2.075
94,0.002,0.,0.002,2.188,0.,2.188
95,0.002,0.,0.002,2.317,0.,2.317
96,0.002,0.,0.002,2.268,0.,2.268
97,0.002,0.,0.002,2.289,0.,2.289
98,0.002,0.,0.002,2.413,0.003,2.408
99,0.002,0.,0.002,2.601,0.,2.6
100,0.002,0.,0.002,2.683,0.,2.683
110,0.002,0.,0.002,3.711,0.016,3.695
120,0.002,0.,0.002,4.809,0.008,4.801
130,0.002,0.,0.002,6.43,0.008,6.42
140,0.003,0.,0.003,8.169,0.011,8.156
150,0.003,0.,0.003,10.352,0.,10.351
160,0.003,0.,0.003,12.637,0.003,12.632
170,0.003,0.,0.003,16.069,0.,16.068
180,0.003,0.,0.003,18.638,0.,18.637
190,0.003,0.,0.003,23.63,0.,23.627
200,0.004,0.,0.004,28.714,0.,28.712
