param-0-univ-count param-1-n abstract-regression-quadratic-real abstract-regression-quadratic-sys abstract-regression-quadratic-user close-abstract-regression-quadratic-real close-abstract-regression-quadratic-sys close-abstract-regression-quadratic-user exact-regression-linear-real exact-regression-linear-sys exact-regression-linear-user
1 0 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 1 0.001 0. 0.001 0. 0. 0. 0. 0. 0.
4 2 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
8 3 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
16 4 0.002 0.001 0.001 0.001 0.001 0. 0.001 0. 0.001
32 5 0.007 0. 0.006 0.004 0. 0.004 0.002 0. 0.002
64 6 0.011 0.007 0.003 0.006 0.003 0.003 0.003 0.003 0.
128 7 0.07 0.008 0.062 0.061 0. 0.061 0.008 0.008 0.
256 8 0.044 0. 0.044 0.031 0. 0.031 0.012 0. 0.012
512 9 0.129 0. 0.129 0.102 0. 0.102 0.026 0. 0.026
1024 10 0.315 0.001 0.313 0.252 0.002 0.25 0.062 0. 0.062
2048 11 0.946 0.019 0.927 0.789 0.016 0.772 0.156 0.002 0.154
4096 12 2.561 0.007 2.552 2.286 0.003 2.28 0.275 0.003 0.271
8192 13 8.75 0.035 8.711 8.201 0.031 8.166 0.548 0.003 0.544
16384 14 28.685 0.072 28.606 27.567 0.048 27.512 1.117 0.024 1.093
