Params: 0-univ-count= 32 , 1-n= 5
Tactic call exact-regression-linear ran for 0.001 secs (0.u,0.001s) (success)
Tactic call abstract-regression-quadratic ran for 0.006 secs (0.002u,0.003s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.003 secs (0.002u,0.001s)
Params: 0-univ-count= 64 , 1-n= 6
Tactic call exact-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.012 secs (0.008u,0.004s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.008 secs (0.004u,0.004s)
Params: 0-univ-count= 128 , 1-n= 7
Tactic call exact-regression-linear ran for 0.007 secs (0.003u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.073 secs (0.058u,0.015s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.065 secs (0.054u,0.011s)
Params: 0-univ-count= 256 , 1-n= 8
Tactic call exact-regression-linear ran for 0.01 secs (0.01u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.043 secs (0.042u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.032 secs (0.032u,0.s)
Params: 0-univ-count= 512 , 1-n= 9
Tactic call exact-regression-linear ran for 0.022 secs (0.022u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.112 secs (0.112u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.089 secs (0.089u,0.s)
Params: 0-univ-count= 1024 , 1-n= 10
Tactic call exact-regression-linear ran for 0.046 secs (0.046u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.243 secs (0.243u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.196 secs (0.196u,0.s)
Params: 0-univ-count= 2048 , 1-n= 11
Tactic call exact-regression-linear ran for 0.119 secs (0.119u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.859 secs (0.851u,0.007s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.739 secs (0.731u,0.007s)
Params: 0-univ-count= 4096 , 1-n= 12
Tactic call exact-regression-linear ran for 0.236 secs (0.232u,0.004s) (success)
Tactic call abstract-regression-quadratic ran for 2.83 secs (2.818u,0.012s) (success)
Tactic call close-abstract-regression-quadratic ran for 2.593 secs (2.585u,0.008s)
Params: 0-univ-count= 8192 , 1-n= 13
Tactic call exact-regression-linear ran for 0.485 secs (0.477u,0.007s) (success)
Tactic call abstract-regression-quadratic ran for 10.057 secs (10.024u,0.031s) (success)
Tactic call close-abstract-regression-quadratic ran for 9.571 secs (9.547u,0.024s)
Params: 0-univ-count= 16384 , 1-n= 14
Tactic call exact-regression-linear ran for 0.977 secs (0.965u,0.011s) (success)
Tactic call abstract-regression-quadratic ran for 37.754 secs (37.695u,0.04s) (success)
Tactic call close-abstract-regression-quadratic ran for 36.776 secs (36.729u,0.028s)
