param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.001,0.001,0.,0.,0.,0.,0.001,0.,0.
1,0.001,0.,0.001,0.,0.,0.,0.001,0.001,0.
2,0.001,0.001,0.,0.002,0.002,0.,0.002,0.,0.002
10,0.006,0.003,0.002,0.006,0.,0.005,0.007,0.003,0.003
20,0.014,0.,0.013,0.059,0.007,0.051,0.019,0.011,0.007
30,0.037,0.,0.037,0.033,0.,0.033,0.032,0.,0.032
40,0.063,0.,0.063,0.066,0.,0.066,0.065,0.,0.065
50,0.132,0.,0.132,0.129,0.,0.128,0.193,0.034,0.158
60,0.174,0.,0.174,0.173,0.,0.173,0.171,0.,0.171
70,0.269,0.,0.269,0.276,0.,0.276,0.263,0.,0.263
80,0.372,0.,0.372,0.387,0.,0.387,0.375,0.,0.375
90,0.544,0.,0.544,0.514,0.,0.514,0.522,0.,0.522
100,0.823,0.003,0.819,0.83,0.,0.83,0.835,0.,0.834
110,0.928,0.,0.928,0.97,0.,0.975,0.974,0.,0.969
120,1.208,0.,1.208,1.207,0.,1.207,1.217,0.,1.216
130,1.502,0.,1.502,1.5,0.,1.5,1.518,0.,1.518
140,1.939,0.003,1.935,1.892,0.,1.892,1.869,0.,1.869
150,2.411,0.,2.41,2.436,0.,2.435,2.493,0.,2.492
160,2.765,0.,2.765,2.799,0.,2.799,2.768,0.,2.768
170,3.534,0.,3.534,3.356,0.,3.356,3.365,0.,3.365
180,3.995,0.004,3.99,4.149,0.,4.149,4.245,0.003,4.24
190,4.777,0.,4.776,4.871,0.,4.871,4.769,0.008,4.76
200,5.787,0.,5.785,5.761,0.,5.76,5.946,0.008,5.933
