param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.,0.002,0.,0.,0.,0.001,0.001,0.,0.,0.,0.,0.002,0.,0.001,0.001,0.,0.001
1,0.003,0.,0.003,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.,0.004,0.004,0.,0.002,0.,0.002
2,0.005,0.,0.005,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.005,0.003,0.001,0.003,0.,0.003
10,0.025,0.011,0.014,0.007,0.003,0.003,0.007,0.,0.007,0.008,0.,0.008,0.027,0.011,0.015,0.018,0.007,0.01
20,0.111,0.036,0.074,0.014,0.,0.014,0.018,0.,0.017,0.024,0.,0.024,0.11,0.007,0.102,0.097,0.036,0.06
30,0.107,0.,0.106,0.029,0.,0.029,0.045,0.,0.045,0.097,0.027,0.069,0.127,0.,0.127,0.077,0.,0.077
40,0.191,0.,0.191,0.052,0.,0.052,0.085,0.,0.085,0.078,0.,0.078,0.226,0.,0.226,0.138,0.,0.138
50,0.352,0.023,0.328,0.074,0.,0.074,0.138,0.,0.138,0.192,0.02,0.172,0.414,0.006,0.407,0.277,0.023,0.254
60,0.446,0.,0.446,0.106,0.,0.106,0.217,0.,0.217,0.22,0.,0.22,0.563,0.,0.563,0.34,0.,0.339
70,0.638,0.003,0.634,0.126,0.,0.125,0.325,0.,0.325,0.331,0.,0.331,0.817,0.003,0.813,0.512,0.003,0.508
80,0.843,0.,0.842,0.165,0.,0.165,0.468,0.,0.468,0.494,0.,0.494,1.13,0.011,1.118,0.677,0.,0.676
90,1.117,0.,1.116,0.237,0.,0.236,0.678,0.,0.678,0.667,0.003,0.663,1.56,0.003,1.556,0.879,0.,0.879
100,1.396,0.,1.396,0.243,0.,0.243,0.874,0.,0.874,0.902,0.,0.902,2.041,0.,2.041,1.152,0.,1.152
110,1.768,0.,1.768,0.276,0.,0.276,1.145,0.,1.145,1.154,0.,1.154,2.591,0.,2.591,1.491,0.,1.491
120,2.048,0.003,2.044,0.324,0.,0.324,1.39,0.,1.39,1.51,0.,1.51,3.212,0.007,3.204,1.723,0.003,1.719
130,2.507,0.007,2.499,0.375,0.,0.375,1.834,0.,1.834,1.89,0.,1.89,3.953,0.007,3.945,2.131,0.007,2.123
140,3.209,0.004,3.205,0.449,0.,0.449,2.341,0.,2.341,2.333,0.003,2.329,5.173,0.004,5.169,2.759,0.004,2.755
150,3.876,0.003,3.872,0.527,0.003,0.524,2.709,0.003,2.705,2.857,0.,2.856,6.28,0.011,6.266,3.348,0.,3.347
160,4.709,0.004,4.705,0.575,0.,0.575,3.271,0.004,3.267,3.383,0.003,3.379,7.158,0.,7.158,4.133,0.004,4.129
170,5.299,0.008,5.291,0.624,0.,0.624,3.996,0.,3.996,4.127,0.,4.127,8.299,0.,8.299,4.674,0.008,4.666
180,6.001,0.,6.,0.731,0.,0.731,4.964,0.,4.963,4.844,0.,4.844,10.291,0.003,10.283,5.269,0.,5.268
190,7.215,0.011,7.202,0.781,0.003,0.777,5.462,0.004,5.457,5.728,0.,5.727,11.858,0.012,11.845,6.433,0.007,6.424
200,7.946,0.008,7.937,0.921,0.,0.921,6.711,0.,6.699,6.729,0.,6.729,13.881,0.015,13.858,7.024,0.008,7.015
210,9.346,0.004,9.341,0.967,0.,0.967,7.387,0.,7.386,7.922,0.,7.921,15.574,0.007,15.565,8.378,0.004,8.373
220,10.626,0.,10.625,1.069,0.,1.069,8.505,0.,8.505,9.049,0.,9.048,18.273,0.008,18.261,9.555,0.,9.555
230,12.155,0.,12.154,1.173,0.,1.173,10.079,0.,10.078,10.482,0.,10.481,21.011,0.007,21.002,10.98,0.,10.979
240,13.571,0.,13.57,1.253,0.,1.253,11.373,0.,11.372,11.754,0.,11.752,23.56,0.,23.556,12.316,0.,12.315
250,15.173,0.003,15.168,1.404,0.003,1.4,13.254,0.,13.251,13.484,0.003,13.478,26.547,0.008,26.537,13.768,0.,13.767
300,26.227,0.003,26.221,1.96,0.,1.96,22.154,0.016,22.135,23.075,0.015,23.057,46.789,0.024,46.762,24.265,0.003,24.259
400,62.33,0.023,62.301,3.572,0.,3.572,56.426,0.02,56.4,57.707,0.02,57.681,114.719,0.04,114.667,58.755,0.023,58.727
