param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbv-regression-quadratic-real,cps+lazy-regression-quadratic-real,cps+native-compute-regression-quadratic-real,cps+simpl-regression-quadratic-real,cps+vm-compute-regression-quadratic-real,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-real,setoid-rewrite-regression-cubic-real
1,1,1,0.,0.,0.,0.095,0.001,0.,0.,0.001,0.017
2,1,2,0.001,0.,0.,0.086,0.001,0.,0.004,0.004,0.098
2,2,1,0.001,0.,0.,0.088,0.,0.,0.003,0.003,0.023
3,1,3,0.002,0.,0.,0.087,0.001,0.,0.015,0.016,0.064
3,3,1,0.,0.,0.,0.089,0.001,0.,0.061,0.062,0.041
4,1,4,0.002,0.,0.,0.088,0.001,0.,0.029,0.029,0.119
4,2,2,0.001,0.,0.,0.086,0.001,0.,0.013,0.013,0.073
4,4,1,0.001,0.,0.,0.085,0.,0.,0.018,0.018,0.068
5,1,5,0.002,0.,0.,0.094,0.001,0.,0.122,0.125,0.271
5,5,1,0.001,0.,0.,0.088,0.001,0.,0.036,0.039,0.113
6,2,3,,,,,,,,,0.195
7,1,7,,,,,,,0.267,0.267,0.635
7,7,1,,,,,,,0.11,0.121,0.281
8,1,8,,,,,,,0.345,0.341,0.882
8,2,4,,,,,,,0.129,0.13,0.239
8,4,2,,,,,,,0.09,0.094,0.256
8,8,1,,,,,,,0.17,0.195,0.393
9,1,9,,,,,,,0.553,0.554,1.284
9,3,3,,,,,,,0.14,0.143,0.389
9,9,1,,,,,,,0.254,0.301,0.561
10,1,10,,,,,,,,,1.83
10,10,1,,,,,,,,,0.791
11,1,11,,,,,,,1.4,1.408,
11,11,1,,,,,,,0.544,0.661,
12,1,12,0.008,,,,,,2.19,2.196,
12,3,4,0.003,,,,,,0.395,0.39,0.387
12,12,1,0.003,,,,,,0.76,0.942,
13,1,13,,,,,,,,,4.44
13,13,1,,,,,,,,,1.849
15,1,15,,,,,,,8.011,8.018,
15,15,1,,,,,,,1.782,2.351,
16,1,16,,,,,0.006,,,,
16,4,4,,,,,0.003,,,,
16,16,1,,,,,0.003,,,,
17,1,17,,,,,,,,,11.352
17,17,1,,,,,,,,,4.667
18,1,18,0.012,,,,,,,,
18,18,1,0.005,,,,,,,,
20,4,5,0.004,,,,,,,,0.909
24,1,24,0.071,,,,,,,,
24,24,1,0.007,,,,,,,,
27,1,27,,,,,0.01,,,,
27,27,1,,,,,0.004,,,,
30,5,6,0.004,,,,0.057,,,,
31,1,31,0.02,,,,,,,,
31,31,1,0.009,,,,,,,,
37,1,37,0.028,,,,0.01,,,,
37,37,1,0.012,,,,0.005,,,,
42,1,42,,,,,,0.,,,
42,6,7,0.005,,,,0.004,0.,,,
42,42,1,,,,,,0.,,,
43,1,43,0.034,,,,,,,,
43,43,1,0.015,,,,,,,,
48,1,48,,,,,0.015,,,,
48,48,1,,,,,0.007,,,,
49,1,49,0.05,,,,,,,,
49,7,7,0.006,,,,,,,,
49,49,1,0.024,,,,,,,,
55,1,55,0.053,,,,,,,,
55,55,1,0.026,,,,,,,,
56,1,56,,,,0.098,,,,,
56,7,8,0.007,,,0.087,0.005,,,,
56,56,1,,,,0.087,,,,,
58,1,58,,,,,0.019,,,,
58,58,1,,,,,0.009,,,,
61,1,61,0.062,,,,,,,,
61,61,1,0.029,,,,,,,,
64,1,64,,0.,0.,,,,,,
64,8,8,,0.,0.,,,,,,
64,64,1,,0.,0.,,,,,,
67,1,67,0.082,,,,,,,,
67,67,1,0.04,,,,,,,,
68,1,68,,,,,0.026,,,,
68,68,1,,,,,0.011,,,,
72,8,9,0.008,,,,0.006,0.,,,
74,1,74,0.09,,,,,,,,
74,74,1,0.044,,,,,,,,
78,1,78,,,,,,0.,,,
78,78,1,,,,,,0.,,,
79,1,79,,,,,0.028,,,,
79,79,1,,,,,0.012,,,,
80,1,80,0.101,,,,,,,,
80,80,1,0.053,,,,,,,,
86,1,86,0.109,,,,,,,,
86,86,1,0.056,,,,,,,,
89,1,89,,,,,0.035,,,,
89,89,1,,,,,0.015,,,,
90,9,10,0.01,,,,0.007,,,,
92,1,92,0.118,,,,,,,,
92,92,1,0.059,,,,,,,,
98,1,98,0.165,,,,,,,,
98,98,1,0.087,,,,,,,,
99,1,99,,,,,0.041,,,,
99,99,1,,,,,0.021,,,,
104,1,104,0.169,,,,,,,,
104,104,1,0.091,,,,,,,,
106,1,106,,,,0.092,,,,,
106,106,1,,,,0.091,,,,,
110,1,110,0.176,,,,0.049,,,,
110,10,11,0.012,,,0.09,0.009,0.,,,
110,110,1,0.095,,,,0.023,,,,
114,1,114,,,,,,0.,,,
114,114,1,,,,,,0.,,,
117,1,117,0.197,,,,,,,,
117,117,1,0.103,,,,,,,,
120,1,120,,,,,0.059,,,,
120,120,1,,,,,0.025,,,,
122,1,122,,0.001,0.001,,,,,,
122,122,1,,0.,0.001,,,,,,
123,1,123,0.201,,,,,,,,
123,123,1,0.102,,,,,,,,
129,1,129,0.265,,,,,,,,
129,129,1,0.152,,,,,,,,
131,1,131,,,,,0.065,,,,
131,131,1,,,,,0.035,,,,
132,11,12,0.016,0.,0.,,0.012,,,,
135,1,135,0.279,,,,,,,,
135,135,1,0.153,,,,,,,,
141,1,141,,,,,0.073,,,,
141,141,1,,,,,0.036,,,,
150,1,150,,,,,,0.001,,,
150,150,1,,,,,,0.001,,,
151,1,151,,,,,0.086,,,,
151,151,1,,,,,0.039,,,,
156,12,13,0.018,,,0.09,0.013,0.001,,,
157,1,157,0.315,,,0.085,,,,,
157,157,1,0.171,,,0.086,,,,,
162,1,162,,,,,0.091,,,,
162,162,1,,,,,0.045,,,,
172,1,172,,,,,0.109,,,,
172,172,1,,,,,0.047,,,,
180,1,180,0.4,,,,,,,,
180,180,1,0.216,,,,,,,,
181,1,181,,0.001,0.001,,,,,,
181,181,1,,0.001,0.001,,,,,,
182,1,182,,,,,0.109,,,,
182,13,14,0.019,0.,0.001,,0.015,0.001,,,
182,182,1,,,,,0.05,,,,
185,1,185,,,,,,0.001,,,
185,185,1,,,,,,0.001,,,
193,1,193,,,,,0.142,,,,
193,193,1,,,,,0.069,,,,
202,1,202,0.587,,,,,,,,
202,202,1,0.341,,,,,,,,
203,1,203,,,,,0.138,,,,
203,203,1,,,,,0.07,,,,
207,1,207,,,,0.086,,,,,
207,207,1,,,,0.085,,,,,
210,1,210,0.673,,,,,,,,
210,14,15,0.023,,,0.087,0.018,0.001,,,
210,210,1,0.356,,,,,,,,
214,1,214,,,,,0.17,,,,
214,214,1,,,,,0.079,,,,
221,1,221,,,,,,0.001,,,
221,221,1,,,,,,0.001,,,
224,1,224,0.667,,,,0.176,,,,
224,224,1,0.386,,,,0.094,,,,
234,1,234,,,,,0.194,,,,
234,234,1,,,,,0.079,,,,
239,1,239,,0.001,0.001,,,,,,
239,239,1,,0.,0.056,,,,,,
240,15,16,0.026,0.,0.,,0.02,,,,
245,1,245,,,,,0.208,,,,
245,245,1,,,,,0.092,,,,
247,1,247,0.717,,,,,,,,
247,247,1,0.408,,,,,,,,
255,1,255,,,,,0.22,,,,
255,255,1,,,,,0.103,,,,
257,1,257,,,,0.09,,0.001,,,
257,257,1,,,,0.091,,0.001,,,
269,1,269,1.002,,,,,,,,
269,269,1,0.593,,,,,,,,
272,16,17,0.035,,,0.088,,0.001,,,
291,1,291,,,,,0.258,,,,
291,291,1,,,,,0.127,,,,
293,1,293,,,,,,0.001,,,
293,293,1,,,,,,0.002,,,
297,1,297,,0.001,0.001,,,,,,
297,297,1,,0.,0.001,,,,,,
306,17,18,,0.,0.,0.094,0.029,0.001,,,
307,1,307,,,,0.086,,,,,
307,307,1,,,,0.089,,,,,
328,1,328,,,,,0.327,,,,
328,328,1,,,,,0.155,,,,
329,1,329,,,,,,0.001,,,
329,329,1,,,,,,0.002,,,
336,1,336,1.344,,,,,,,,
336,336,1,0.79,,,,,,,,
342,18,19,0.043,0.,0.,0.09,0.03,0.001,,,
355,1,355,,0.001,0.001,,,,,,
355,355,1,,0.001,0.001,,,,,,
357,1,357,,,,0.095,,,,,
357,357,1,,,,0.087,,,,,
364,1,364,,,,,0.376,,,,
364,364,1,,,,,0.181,,,,
365,1,365,,,,,,0.001,,,
365,365,1,,,,,,0.002,,,
380,19,20,,,,,0.033,0.002,,,
400,1,400,,,,,0.515,,,,
400,20,20,,,,,0.036,,,,
400,400,1,,,,,0.251,,,,
401,1,401,,,,,,0.002,,,
401,401,1,,,,,,0.002,,,
402,1,402,,,,,0.575,,,,
402,402,1,,,,,0.241,,,,
404,1,404,2.188,,,,,,,,
404,404,1,1.338,,,,,,,,
407,1,407,,,,0.088,,,,,
407,407,1,,,,0.089,,,,,
413,1,413,,0.001,0.002,,,,,,
413,413,1,,0.001,0.001,,,,,,
414,1,414,2.212,,,,,,,,
414,414,1,1.357,,,,,,,,
420,20,21,0.059,0.,0.001,0.094,0.043,0.002,,,
427,1,427,,,,0.091,,,,,
427,427,1,,,,0.098,,,,,
436,1,436,,,,,0.656,,,,
436,436,1,,,,,0.257,,,,
437,1,437,,,,,,0.002,,,
437,437,1,,,,,,0.002,,,
458,1,458,,,,0.089,,,,,
458,458,1,,,,0.091,,,,,
462,21,22,0.06,0.,0.001,0.091,0.042,0.002,,,
471,1,471,2.567,,,,,,,,
471,471,1,1.53,,,,,,,,
472,1,472,,0.001,0.002,,,0.002,,,
472,472,1,,0.001,0.001,,,0.003,,,
473,1,473,,,,,0.626,,,,
473,473,1,,,,,0.292,,,,
506,22,23,,,,0.093,0.048,0.002,,,
508,1,508,,,,0.097,,0.002,,,
508,508,1,,,,0.094,,0.003,,,
509,1,509,,,,,0.851,,,,
509,509,1,,,,,0.297,,,,
530,1,530,,0.002,0.002,,,,,,
530,530,1,,0.001,0.002,,,,,,
538,1,538,3.796,,,,,,,,
538,538,1,2.319,,,,,,,,
544,1,544,,,,,,0.006,,,
544,544,1,,,,,,0.003,,,
552,23,24,0.067,0.001,0.001,0.094,,0.002,,,
558,1,558,,,,0.092,,,,,
558,558,1,,,,0.09,,,,,
580,1,580,,,,,,0.003,,,
580,580,1,,,,,,0.003,,,
588,1,588,,0.002,0.002,,,,,,
588,588,1,,0.001,0.002,,,,,,
600,24,25,,0.001,0.001,0.088,,0.003,,,
608,1,608,,,,0.091,,,,,
608,608,1,,,,0.089,,,,,
616,1,616,,,,,,0.003,,,
616,616,1,,,,,,0.003,,,
636,1,636,,,,,1.138,,,,
636,636,1,,,,,0.508,,,,
646,1,646,,0.002,0.003,,,,,,
646,646,1,,0.002,0.005,,,,,,
650,25,26,,0.001,0.001,0.089,0.062,0.003,,,
652,1,652,,,,,,0.003,,,
652,652,1,,,,,,0.004,,,
658,1,658,,,,0.095,,,,,
658,658,1,,,,0.098,,,,,
688,1,688,,,,,,0.003,,,
688,688,1,,,,,,0.004,,,
702,26,27,,0.001,0.001,0.094,,0.003,,,
704,1,704,,0.002,0.003,,,,,,
704,704,1,,0.002,0.002,,,,,,
708,1,708,,,,0.092,,,,,
708,708,1,,,,0.092,,,,,
724,1,724,,,,,,0.003,,,
724,724,1,,,,,,0.004,,,
756,27,28,,0.001,0.001,0.094,0.077,0.003,,,
759,1,759,,,,0.1,,,,,
759,759,1,,,,0.094,,,,,
760,1,760,,,,,,0.003,,,
760,760,1,,,,,,0.01,,,
762,1,762,,0.002,0.003,,,,,,
762,762,1,,0.002,0.003,,,,,,
763,1,763,,,,,1.557,,,,
763,763,1,,,,,0.711,,,,
795,1,795,,,,,,0.004,,,
795,795,1,,,,,,0.005,,,
798,1,798,,,,,1.886,,,,
798,798,1,,,,,0.971,,,,
807,1,807,8.462,,,,,,,,
807,807,1,5.272,,,,,,,,
809,1,809,,,,0.091,,,,,
809,809,1,,,,0.109,,,,,
812,28,29,0.099,0.001,0.001,0.096,0.146,0.004,,,
