param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,rewrite!-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-real,setoid-rewrite-regression-cubic-real,ssr-rewrite!-regression-cubic-real
1,0,1,5,3,1,0.001,0.,0.001,0.001,0.,0.
2,0,2,7,3,2,0.,0.,0.001,0.001,0.001,0.001
3,0,3,9,3,3,0.001,0.,0.001,0.001,0.002,0.001
3,1,1,13,7,3,0.001,0.,0.001,0.001,0.002,0.001
4,0,4,11,3,4,0.001,0.001,0.002,0.001,0.003,0.
5,0,5,13,3,5,0.001,0.001,0.003,0.001,0.003,0.001
6,0,6,15,3,6,0.002,0.001,0.004,0.002,0.004,0.001
6,1,2,19,7,6,0.001,0.001,0.003,0.002,0.058,0.001
7,0,7,17,3,7,0.002,0.002,0.004,0.002,0.005,0.001
7,2,1,29,15,7,0.001,0.,0.002,0.001,0.003,0.001
8,0,8,19,3,8,,,0.005,0.002,,
9,0,9,21,3,9,,,0.006,0.002,,
9,1,3,25,7,9,0.001,0.001,0.004,0.002,0.004,0.001
10,0,10,23,3,10,0.003,,0.059,0.002,0.007,0.003
11,0,11,25,3,11,,,0.005,0.057,,
12,0,12,27,3,12,,,0.005,0.002,,
12,1,4,31,7,12,,,0.005,0.002,0.005,
13,0,13,29,3,13,0.004,0.003,0.006,0.002,0.064,0.004
14,0,14,31,3,14,,,0.006,0.002,,
14,2,2,43,15,14,0.001,0.001,0.006,0.003,0.006,0.002
15,0,15,33,3,15,,,0.007,0.002,,
15,1,5,37,7,15,0.002,0.002,0.007,0.003,0.007,0.007
15,3,1,61,31,15,0.002,0.001,0.009,0.003,0.009,0.002
16,0,16,35,3,16,0.005,,0.008,0.003,0.008,0.006
17,0,17,37,3,17,,,0.009,0.003,,
18,0,18,39,3,18,,,0.01,0.003,,
18,1,6,43,7,18,,,0.009,0.003,0.008,
19,0,19,41,3,19,0.06,0.006,0.01,0.003,0.01,0.061
20,0,20,43,3,20,,,0.011,0.004,,
21,0,21,45,3,21,,,0.011,0.004,,
21,1,7,49,7,21,0.003,0.003,0.012,0.004,0.01,0.005
21,2,3,57,15,21,0.002,0.002,0.011,0.004,0.009,0.004
22,0,22,47,3,22,0.005,,0.012,0.004,0.012,0.006
23,0,23,49,3,23,,,0.013,0.004,,
24,0,24,51,3,24,,,0.014,0.007,,
24,1,8,55,7,24,,,0.016,0.005,0.013,
25,0,25,53,3,25,0.005,0.061,0.015,0.005,0.015,0.007
26,0,26,55,3,26,,,0.016,0.005,,
27,0,27,57,3,27,,,0.019,0.006,,
27,1,9,61,7,27,0.005,0.004,0.017,0.006,0.014,0.008
28,0,28,59,3,28,0.006,,0.018,0.006,0.019,0.009
28,2,4,71,15,28,0.004,0.003,0.017,0.006,0.014,0.006
29,0,29,61,3,29,,,0.019,0.007,,
30,0,30,63,3,30,,,0.02,0.007,,
30,1,10,67,7,30,,,0.02,0.007,0.016,
30,3,2,91,31,30,0.003,0.004,0.077,0.01,0.072,0.006
31,0,31,65,3,31,0.007,0.007,0.023,0.009,0.02,0.011
31,4,1,125,63,31,0.003,0.002,0.023,0.008,0.014,0.004
32,0,32,67,3,32,,,0.022,0.008,,
33,0,33,69,3,33,,,0.023,0.008,,
33,1,11,73,7,33,0.006,0.006,0.025,0.008,0.02,0.01
34,0,34,71,3,34,0.008,,0.025,0.008,0.023,0.013
35,0,35,73,3,35,,,0.026,0.009,,
35,2,5,85,15,35,0.005,0.004,0.026,0.008,0.017,0.009
36,0,36,75,3,36,,,0.027,0.009,,
36,1,12,79,7,36,,,0.026,0.009,0.021,
37,0,37,77,3,37,0.012,0.01,0.029,0.01,0.026,0.017
38,0,38,79,3,38,,,0.029,0.01,,
39,0,39,81,3,39,,,0.034,0.011,,
39,1,13,85,7,39,0.008,0.007,0.037,0.013,0.024,0.014
40,0,40,83,3,40,0.012,,0.033,0.011,0.028,0.017
41,0,41,85,3,41,,,0.036,0.013,,
42,0,42,87,3,42,,,0.035,0.012,,
42,1,14,91,7,42,,,0.035,0.011,0.027,
42,2,6,99,15,42,0.008,0.005,0.034,0.01,0.023,0.012
43,0,43,89,3,43,0.012,0.012,0.044,0.012,0.033,0.019
44,0,44,91,3,44,,,0.038,0.013,,
45,0,45,93,3,45,,,0.04,0.014,,
45,1,15,97,7,45,0.01,0.011,0.04,0.012,0.029,0.017
45,3,3,121,31,45,0.005,0.007,0.035,0.011,0.022,0.011
46,0,46,95,3,46,0.013,,0.041,0.014,0.035,0.024
47,0,47,97,3,47,,,0.046,0.015,,
48,0,48,99,3,48,,,0.047,0.016,,
48,1,16,103,7,48,,,0.045,0.014,0.033,
49,0,49,101,3,49,0.017,0.016,0.046,0.015,0.04,0.024
49,2,7,113,15,49,0.007,0.007,0.046,0.013,0.028,0.015
50,0,50,103,3,50,,,0.056,0.016,,
51,0,51,105,3,51,,,0.053,0.017,,
51,1,17,109,7,51,0.013,0.011,0.047,0.019,0.036,0.022
52,0,52,107,3,52,0.016,,0.052,0.017,0.043,0.029
53,0,53,109,3,53,,,0.06,0.019,,
54,0,54,111,3,54,,,0.055,0.017,,
54,1,18,115,7,54,,,0.055,0.016,0.038,
55,0,55,113,3,55,0.018,0.018,0.062,0.018,0.048,0.03
56,0,56,115,3,56,,,0.059,0.02,,
56,2,8,127,15,56,0.009,0.016,0.057,0.015,0.034,0.022
57,0,57,117,3,57,,,0.059,0.019,,
57,1,19,121,7,57,0.014,0.013,0.063,0.018,0.044,0.026
58,0,58,119,3,58,0.02,,0.064,0.023,0.052,0.036
59,0,59,121,3,59,,,0.065,0.022,,
60,0,60,123,3,60,,,0.07,0.025,,
60,1,20,127,7,60,,,0.065,0.021,0.046,
60,3,4,151,31,60,0.007,0.065,0.058,0.016,0.034,0.011
61,0,61,125,3,61,0.021,0.021,0.071,0.023,0.056,0.04
62,0,62,127,3,62,,,0.077,0.028,,
62,4,2,187,63,62,0.006,0.005,0.056,0.018,0.031,0.01
63,0,63,129,3,63,,,0.075,0.024,,
63,1,21,133,7,63,0.016,0.016,0.071,0.02,0.05,0.033
63,2,9,141,15,63,0.011,0.01,0.071,0.021,0.041,0.022
63,5,1,253,127,63,0.006,0.004,0.048,0.021,0.033,0.008
64,0,64,131,3,64,0.024,,0.082,0.026,0.061,0.039
65,0,65,133,3,65,,,0.079,0.025,,
66,0,66,135,3,66,,,0.087,0.03,,
66,1,22,139,7,66,,,0.077,0.023,0.055,
67,0,67,137,3,67,0.025,0.026,0.083,0.027,0.066,0.047
68,0,68,139,3,68,,,,0.029,,
69,0,69,141,3,69,,,,0.028,,
69,1,23,145,7,69,0.018,0.018,0.086,0.023,0.057,0.037
70,0,70,143,3,70,0.027,,,0.032,0.069,0.049
70,2,10,155,15,70,0.013,0.013,0.08,0.022,0.049,0.027
71,0,71,145,3,71,,,,0.033,,
72,0,72,147,3,72,,,,0.03,,
72,1,24,151,7,72,,,,0.027,0.061,
73,0,73,149,3,73,0.029,0.031,,0.037,0.074,0.054
74,0,74,151,3,74,,,0.099,0.033,,
75,0,75,153,3,75,,,,0.033,,
75,1,25,157,7,75,0.021,0.021,,0.026,0.066,0.042
75,3,5,181,31,75,0.01,0.01,0.091,0.025,0.045,0.016
76,0,76,155,3,76,0.031,,,0.038,0.08,0.058
77,0,77,157,3,77,,,,0.037,,
77,2,11,169,15,77,0.015,0.016,,0.027,0.057,0.031
78,0,78,159,3,78,,,,0.039,,
78,1,26,163,7,78,,,0.103,0.032,0.068,
79,0,79,161,3,79,0.033,0.033,,0.035,0.082,0.064
80,0,80,163,3,80,,,,0.038,,
81,0,81,165,3,81,,,0.114,0.039,,
81,1,27,169,7,81,0.026,0.025,,0.034,0.077,0.052
82,0,82,167,3,82,0.036,,,0.04,0.091,0.067
83,0,83,169,3,83,,,,0.044,,
84,0,84,171,3,84,,,,0.044,,
84,1,28,175,7,84,,,,0.034,0.078,
84,2,12,183,15,84,0.017,0.016,0.115,0.029,0.065,0.039
85,0,85,173,3,85,0.039,0.039,,0.04,0.096,0.076
86,0,86,175,3,86,,,,0.048,,
87,0,87,177,3,87,,,,0.042,,
87,1,29,181,7,87,0.027,0.028,0.138,0.041,0.082,0.056
88,0,88,179,3,88,0.042,,0.143,0.045,0.105,0.077
89,0,89,181,3,89,,,,0.05,,
90,0,90,183,3,90,,,,0.056,,
90,1,30,187,7,90,,,,0.041,0.088,
90,3,6,211,31,90,0.013,0.013,0.121,0.028,0.064,0.024
91,0,91,185,3,91,0.044,0.042,,0.05,0.111,0.086
91,2,13,197,15,91,0.021,0.019,,0.035,0.074,0.041
92,0,92,187,3,92,,,,0.053,,
93,0,93,189,3,93,,,,0.05,,
93,1,31,193,7,93,0.031,0.03,,0.047,0.092,0.066
93,4,3,249,63,93,0.009,0.009,0.124,0.027,0.056,0.02
