param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-topdown-real,rewrite-strat-bottomup-real,rewrite-strat-bottomup-noop-real,rewrite-strat-topdown-real,rewrite-strat-topdown-noop-real
1,0.,0.001,0.,0.,0.,0.,0.001,0.
2,0.001,0.001,0.,0.,0.001,0.,0.001,0.
3,0.002,0.001,0.,0.,0.001,0.,0.,0.
4,0.003,0.003,0.,0.001,0.002,0.,0.001,0.
5,0.004,0.003,0.,0.,0.003,0.,0.001,0.
6,0.005,0.004,0.,0.001,0.003,0.,0.002,0.
7,0.006,0.004,0.001,0.001,0.004,0.,0.002,0.
8,0.007,0.004,0.001,0.,0.005,0.,0.002,0.
9,0.062,0.005,0.056,0.001,0.006,0.,0.003,0.
10,0.007,0.006,0.001,0.001,0.004,0.,0.004,0.
11,0.007,0.06,0.002,0.001,0.005,0.,0.057,0.
12,0.008,0.005,0.002,0.001,0.006,0.,0.003,0.
13,0.009,0.005,0.002,0.002,0.006,0.,0.003,0.
14,0.01,0.006,0.002,0.002,0.007,0.,0.003,0.
15,0.012,0.007,0.003,0.002,0.008,0.,0.004,0.
16,0.014,0.007,0.003,0.002,0.01,0.,0.004,0.
17,0.014,0.008,0.004,0.003,0.009,0.,0.004,0.
18,0.015,0.009,0.004,0.003,0.01,0.,0.005,0.
19,0.016,0.011,0.004,0.003,0.011,0.,0.007,0.
20,0.02,0.01,0.005,0.004,0.014,0.,0.006,0.
21,0.019,0.011,0.005,0.004,0.013,0.,0.006,0.
22,0.021,0.012,0.006,0.004,0.014,0.,0.007,0.
23,0.023,0.013,0.006,0.005,0.015,0.,0.007,0.
24,0.024,0.017,0.007,0.005,0.016,0.,0.011,0.
25,0.028,0.015,0.01,0.006,0.017,0.,0.008,0.
26,0.027,0.016,0.008,0.006,0.018,0.,0.009,0.
27,0.03,0.018,0.01,0.006,0.019,0.,0.009,0.001
28,0.031,0.018,0.01,0.007,0.02,0.,0.01,0.
29,0.034,0.019,0.012,0.007,0.021,0.,0.01,0.
30,0.036,0.023,0.011,0.008,0.024,0.,0.014,0.
31,0.038,0.021,0.011,0.008,0.025,0.,0.012,0.
32,0.039,0.023,0.012,0.009,0.025,0.,0.012,0.
33,0.044,0.025,0.013,0.009,0.03,0.,0.014,0.
34,0.045,0.025,0.013,0.01,0.03,0.,0.014,0.
35,0.049,0.028,0.018,0.011,0.03,0.,0.016,0.
36,0.048,0.027,0.015,0.011,0.031,0.,0.015,0.
37,0.051,0.03,0.016,0.012,0.034,0.,0.017,0.
38,0.054,0.03,0.017,0.012,0.036,0.,0.016,0.
39,0.056,0.036,0.018,0.013,0.037,0.,0.022,0.
40,0.059,0.034,0.018,0.015,0.039,0.,0.018,0.
41,0.061,0.034,0.018,0.014,0.039,0.002,0.019,0.
42,0.065,0.037,0.02,0.015,0.04,0.003,0.021,0.
43,0.066,0.038,0.021,0.016,0.044,0.,0.02,0.
44,0.071,0.039,0.022,0.017,0.047,0.,0.021,0.
45,0.072,0.041,0.023,0.017,0.048,0.,0.022,0.
46,0.076,0.043,0.024,0.018,0.05,0.,0.023,0.001
47,0.08,0.044,0.028,0.019,0.05,0.,0.024,0.
48,0.079,0.045,0.028,0.019,0.05,0.,0.025,0.
49,0.083,0.048,0.027,0.02,0.054,0.,0.026,0.
50,0.151,0.115,0.027,0.019,0.122,0.,0.094,0.
51,0.088,0.051,0.031,0.021,0.056,0.,0.028,0.
52,0.093,0.055,0.031,0.022,0.061,0.,0.031,0.
53,0.099,0.059,0.033,0.023,0.065,0.,0.034,0.
54,0.099,0.058,0.032,0.024,0.065,0.,0.033,0.
55,0.101,0.061,0.035,0.025,0.064,0.,0.035,0.
56,0.11,0.06,0.04,0.025,0.068,0.,0.033,0.
57,0.107,0.064,0.035,0.027,0.07,0.,0.036,0.
58,0.119,0.065,0.037,0.029,0.08,0.,0.034,0.
59,0.123,0.067,0.04,0.029,0.081,0.,0.036,0.
60,0.123,0.071,0.042,0.029,0.079,0.,0.039,0.
61,0.126,0.07,0.043,0.029,0.081,0.,0.039,0.
62,0.133,0.077,0.046,0.032,0.085,0.,0.043,0.
63,0.138,0.079,0.047,0.033,0.088,0.,0.043,0.
64,0.141,0.085,0.048,0.038,0.09,0.,0.045,0.
65,0.146,0.081,0.047,0.036,0.097,0.,0.043,0.
66,0.156,0.085,0.054,0.036,0.1,0.,0.047,0.
67,0.157,0.087,0.059,0.038,0.097,0.,0.047,0.
68,0.148,0.098,0.051,0.045,0.095,0.,0.051,0.
69,0.153,0.093,0.054,0.037,0.097,0.,0.054,0.
70,0.161,0.101,0.051,0.042,0.107,0.,0.057,0.
71,0.177,0.099,0.059,0.042,0.115,0.,0.055,0.
72,0.165,0.098,0.056,0.042,0.107,0.,0.053,0.
73,0.175,0.098,0.057,0.043,0.115,0.,0.052,0.
74,0.177,0.106,0.06,0.047,0.114,0.,0.056,0.
75,0.177,0.107,0.06,0.047,0.115,0.,0.057,0.
76,0.19,0.123,0.064,0.058,0.123,0.,0.063,0.
77,0.189,0.122,0.064,0.054,0.123,0.,0.065,0.
78,0.194,0.124,0.065,0.056,0.127,0.,0.066,0.
79,0.202,0.125,0.072,0.057,0.127,0.,0.066,0.
80,0.205,0.13,0.069,0.058,0.133,0.001,0.069,0.001
81,0.207,0.141,0.069,0.066,0.135,0.,0.072,0.001
82,0.215,0.124,0.074,0.053,0.138,0.001,0.068,0.001
83,0.217,0.128,0.075,0.055,0.139,0.001,0.07,0.001
84,0.229,0.132,0.078,0.057,0.148,0.001,0.072,0.001
85,0.227,0.137,0.077,0.059,0.147,0.001,0.075,0.001
86,0.242,0.141,0.084,0.06,0.156,0.001,0.079,0.001
87,0.26,0.145,0.085,0.061,0.172,0.001,0.081,0.001
88,0.265,0.145,0.095,0.063,0.163,0.005,0.079,0.001
89,0.292,0.151,0.105,0.066,0.184,0.001,0.082,0.001
90,0.284,0.155,0.096,0.064,0.185,0.001,0.085,0.001
91,0.295,0.157,0.095,0.066,0.197,0.001,0.088,0.001
92,0.284,0.16,0.094,0.065,0.187,0.001,0.092,0.001
93,0.272,0.16,0.093,0.069,0.176,0.001,0.088,0.001
94,0.281,0.162,0.094,0.069,0.184,0.001,0.09,0.001
95,0.284,0.167,0.099,0.069,0.182,0.001,0.094,0.001
96,0.297,0.174,0.106,0.074,0.188,0.001,0.098,0.001
97,0.304,0.176,0.106,0.073,0.195,0.001,0.1,0.001
98,0.304,0.184,0.108,0.078,0.192,0.001,0.104,0.001
99,0.317,0.184,0.108,0.078,0.207,0.001,0.103,0.001
100,0.344,0.193,0.112,0.087,0.229,0.001,0.104,0.001
110,0.378,0.24,0.135,0.111,0.24,0.001,0.126,0.001
120,0.438,0.288,0.156,0.127,0.278,0.001,0.157,0.001
130,0.529,0.355,0.196,0.162,0.329,0.001,0.189,0.001
140,0.646,0.404,0.247,0.18,0.395,0.001,0.219,0.002
150,0.764,0.468,0.274,0.201,0.487,0.002,0.263,0.002
160,0.864,0.526,0.31,0.237,0.55,0.002,0.285,0.002
170,0.904,0.557,0.31,0.238,0.589,0.002,0.315,0.002
180,1.032,0.633,0.353,0.263,0.674,0.002,0.365,0.002
190,1.119,0.683,0.389,0.289,0.725,0.003,0.389,0.003
200,1.265,0.828,0.424,0.359,0.836,0.003,0.465,0.003
210,1.49,0.901,0.474,0.4,1.011,0.003,0.495,0.003
220,1.517,0.995,0.512,0.425,0.999,0.003,0.564,0.003
230,1.781,1.021,0.623,0.42,1.152,0.004,0.594,0.004
240,1.874,1.128,0.62,0.458,1.248,0.004,0.663,0.004
250,2.045,1.225,0.729,0.494,1.31,0.004,0.725,0.004
