Params: n= 50
Tactic call build-thunk-regression-linear ran for 0.012 secs (0.005u,0.006s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.012 secs (0.005u,0.007s) (success)
Tactic call build-I-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.002 secs (0.u,0.002s) (success)
Tactic call type-admit-regression-quadratic ran for 0.001 secs (0.u,0.001s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.001 secs (0.u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.001 secs (0.u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.002 secs (0.001u,0.004s) (success)
Tactic call build-pf-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.002 secs (0.u,0.002s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.001 secs (0.u,0.001s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.036 secs (0.015u,0.02s) (success)
Tactic call abstract-regression-quadratic ran for 0.041 secs (0.02u,0.021s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.004 secs (0.004u,0.s)
Params: n= 100
Tactic call build-thunk-regression-linear ran for 0.067 secs (0.047u,0.019s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.067 secs (0.047u,0.019s) (success)
Tactic call build-I-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.1 secs (0.08u,0.02s) (success)
Tactic call abstract-regression-quadratic ran for 0.109 secs (0.089u,0.02s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.008 secs (0.008u,0.s)
Params: n= 150
Tactic call build-thunk-regression-linear ran for 0.017 secs (0.017u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.017 secs (0.017u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.005 secs (0.005u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.005 secs (0.005u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.073 secs (0.073u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.089 secs (0.089u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.015 secs (0.015u,0.s)
Params: n= 200
Tactic call build-thunk-regression-linear ran for 0.024 secs (0.023u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.024 secs (0.024u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.009 secs (0.009u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.009 secs (0.009u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.01 secs (0.01u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.01 secs (0.01u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.01 secs (0.01u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.012 secs (0.012u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.009 secs (0.009u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.113 secs (0.113u,0.s) (success)
