Params: n= 1
Tactic call lazy-regression-linear ran for 0.009 secs (0.002u,0.007s) (success)
Tactic call intros-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call case-and-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.006 secs (0.u,0.006s) (success)
Tactic call case-or-regression-linear ran for 0.001 secs (0.u,0.001s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0.001 secs (0.u,0.001s) (success)
Params: n= 2
Tactic call lazy-regression-linear ran for 0.061 secs (0.049u,0.011s) (success)
Tactic call intros-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.011 secs (0.011u,0.s) (success)
Tactic call case-and-regression-linear ran for 0.002 secs (0.001u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0.002 secs (0.001u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.011 secs (0.011u,0.s) (success)
Tactic call case-or-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Params: n= 3
Tactic call lazy-regression-linear ran for 0.018 secs (0.018u,0.s) (success)
Tactic call intros-regression-linear ran for 0.013 secs (0.013u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.022 secs (0.022u,0.s) (success)
Tactic call case-and-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.023 secs (0.023u,0.s) (success)
Tactic call case-or-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
