Params: 0-univ-count= 32 , 1-n= 5
Tactic call exact-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.004 secs (0.004u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.002 secs (0.002u,0.s)
Params: 0-univ-count= 64 , 1-n= 6
Tactic call exact-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.009 secs (0.009u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.005 secs (0.005u,0.s)
Params: 0-univ-count= 128 , 1-n= 7
Tactic call exact-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.054 secs (0.043u,0.011s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.048 secs (0.037u,0.011s)
Params: 0-univ-count= 256 , 1-n= 8
Tactic call exact-regression-linear ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.034 secs (0.033u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.025 secs (0.025u,0.s)
Params: 0-univ-count= 512 , 1-n= 9
Tactic call exact-regression-linear ran for 0.017 secs (0.017u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.087 secs (0.087u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.069 secs (0.069u,0.s)
Params: 0-univ-count= 1024 , 1-n= 10
Tactic call exact-regression-linear ran for 0.037 secs (0.037u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.183 secs (0.179u,0.003s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.146 secs (0.142u,0.003s)
Params: 0-univ-count= 2048 , 1-n= 11
Tactic call exact-regression-linear ran for 0.096 secs (0.092u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.622 secs (0.614u,0.007s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.525 secs (0.521u,0.004s)
Params: 0-univ-count= 4096 , 1-n= 12
Tactic call exact-regression-linear ran for 0.196 secs (0.196u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 2.091 secs (2.083u,0.008s) (success)
Tactic call close-abstract-regression-quadratic ran for 1.895 secs (1.887u,0.007s)
Params: 0-univ-count= 8192 , 1-n= 13
Tactic call exact-regression-linear ran for 0.387 secs (0.379u,0.007s) (success)
Tactic call abstract-regression-quadratic ran for 6.943 secs (6.926u,0.015s) (success)
Tactic call close-abstract-regression-quadratic ran for 6.555 secs (6.546u,0.008s)
Params: 0-univ-count= 16384 , 1-n= 14
Tactic call exact-regression-linear ran for 0.782 secs (0.766u,0.015s) (success)
Tactic call abstract-regression-quadratic ran for 24.376 secs (24.307u,0.06s) (success)
Tactic call close-abstract-regression-quadratic ran for 23.593 secs (23.54u,0.044s)
