Params: n= 50
Tactic call build-thunk-regression-linear ran for 0.006 secs (0.u,0.006s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.007 secs (0.u,0.007s) (success)
Tactic call build-I-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.001 secs (0.001u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.001 secs (0.001u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.001 secs (0.001u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.001 secs (0.001u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.001 secs (0.001u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.002 secs (0.002u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.024 secs (0.016u,0.008s) (success)
Tactic call abstract-regression-quadratic ran for 0.028 secs (0.016u,0.011s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.003 secs (0.u,0.003s)
Params: n= 100
Tactic call build-thunk-regression-linear ran for 0.065 secs (0.061u,0.004s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.066 secs (0.061u,0.004s) (success)
Tactic call build-I-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.096 secs (0.092u,0.004s) (success)
Tactic call abstract-regression-quadratic ran for 0.103 secs (0.099u,0.004s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.007 secs (0.007u,0.s)
Params: n= 150
Tactic call build-thunk-regression-linear ran for 0.012 secs (0.012u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.013 secs (0.013u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.071 secs (0.071u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.084 secs (0.084u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.012 secs (0.012u,0.s)
Params: n= 200
Tactic call build-thunk-regression-linear ran for 0.022 secs (0.022u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.023 secs (0.023u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
