Params: 0-univ-count= 1 , 1-n= 0
Tactic call exact-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.006 secs (0.002u,0.004s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.006 secs (0.001u,0.004s)
Params: 0-univ-count= 2 , 1-n= 1
Tactic call exact-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0. secs (0.u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0. secs (0.u,0.s)
Params: 0-univ-count= 4 , 1-n= 2
Tactic call exact-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.001 secs (0.001u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0. secs (0.u,0.s)
