param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08681,0.00032,0.00029,0.00005,0.087,0.004,0.,0.001,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.,0.017,0.004,0.013
2,1,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08879,0.00035,0.00028,0.00006,0.089,0.003,0.001,0.001,0.,0.001,0.,0.,0.,0.005,0.002,0.002,0.004,0.001,0.002,0.105,0.011,0.094
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08314,0.00034,0.00031,0.00006,0.084,0.,0.004,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.003,0.,0.003,0.028,0.,0.028
3,1,3,0.002,0.002,0.,0.,0.,0.,0.,0.,0.,0.09107,0.00031,0.00033,0.00006,0.091,0.004,0.,0.001,0.,0.001,0.,0.,0.,0.069,0.003,0.066,0.069,0.005,0.063,0.081,0.,0.081
3,3,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08955,0.00118,0.00039,0.00007,0.091,0.006,0.,0.001,0.001,0.,0.,0.,0.,0.01,0.,0.01,0.009,0.,0.009,0.05,0.,0.05
4,1,4,0.003,0.003,0.,0.,0.,0.,0.,0.,0.,0.14285,0.00041,0.00029,0.00011,0.143,0.024,0.037,0.063,0.006,0.056,0.,0.,0.,0.037,0.,0.037,0.036,0.,0.036,0.143,0.,0.143
4,2,2,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.08675,0.00040,0.00030,0.00007,0.087,0.,0.004,0.001,0.,0.,0.,0.,0.,0.017,0.,0.017,0.018,0.,0.018,0.093,0.,0.093
4,4,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08791,0.00037,0.00033,0.00007,0.088,0.003,0.001,0.,0.,0.,0.,0.,0.,0.023,0.,0.023,0.026,0.,0.026,0.093,0.,0.092
5,1,5,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.09829,0.00106,0.00034,0.00011,0.1,0.,0.005,0.001,0.,0.001,0.,0.,0.,0.137,0.02,0.117,0.147,0.031,0.115,0.322,0.015,0.306
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08846,0.00042,0.00031,0.00007,0.089,0.004,0.,0.001,0.,0.001,0.,0.,0.,0.049,0.,0.049,0.05,0.,0.05,0.147,0.,0.147
