param-n,abstract+autorewrite-regression-quadratic-real,abstract+rewrite!-regression-quadratic-real,autorewrite-noop-regression-linear-real,autorewrite-regression-quadratic-real,close-abstract+autorewrite-regression-quadratic-real,close-abstract+rewrite!-regression-quadratic-real,rewrite!-regression-quadratic-real,rewrite?-noop-regression-linear-real
1,0.001,0.002,0.,0.,0.,0.,0.,0.
2,0.002,0.001,0.,0.,0.,0.,0.,0.
3,0.003,0.002,0.,0.002,0.,0.,0.001,0.
4,0.002,0.002,0.,0.001,0.,0.,0.001,0.
5,0.003,0.002,0.,0.001,0.,0.,0.001,0.
6,0.004,0.003,0.,0.003,0.,0.,0.001,0.
7,0.005,0.004,0.,0.002,0.001,0.001,0.002,0.
8,0.005,0.005,0.,0.003,0.001,0.001,0.003,0.
9,0.006,0.014,0.,0.004,0.001,0.003,0.009,0.
10,0.062,0.067,0.,0.06,0.001,0.056,0.01,0.
11,0.006,0.005,0.,0.004,0.001,0.001,0.003,0.
12,0.007,0.006,0.,0.004,0.001,0.001,0.003,0.
13,0.008,0.006,0.,0.005,0.002,0.002,0.004,0.
14,0.008,0.007,0.,0.005,0.002,0.002,0.004,0.
15,0.009,0.008,0.,0.006,0.002,0.002,0.005,0.
16,0.009,0.009,0.,0.005,0.002,0.003,0.005,0.
17,0.015,0.009,0.,0.007,0.007,0.003,0.005,0.
18,0.011,0.013,0.,0.007,0.004,0.003,0.009,0.
19,0.013,0.011,0.,0.008,0.004,0.003,0.007,0.
20,0.016,0.015,0.,0.01,0.004,0.007,0.007,0.
21,0.015,0.015,0.,0.009,0.005,0.005,0.009,0.
22,0.016,0.02,0.,0.01,0.005,0.006,0.012,0.
23,0.016,0.016,0.,0.009,0.006,0.005,0.009,0.
24,0.018,0.02,0.,0.01,0.006,0.007,0.012,0.
25,0.021,0.021,0.,0.014,0.006,0.008,0.011,0.
26,0.026,0.022,0.,0.017,0.008,0.008,0.013,0.
27,0.022,0.023,0.,0.014,0.007,0.009,0.012,0.
28,0.032,0.025,0.,0.021,0.009,0.009,0.015,0.
29,0.026,0.023,0.,0.016,0.009,0.008,0.014,0.
30,0.03,0.028,0.,0.018,0.01,0.012,0.015,0.
31,0.032,0.026,0.,0.018,0.012,0.009,0.015,0.
32,0.035,0.029,0.,0.021,0.012,0.012,0.016,0.
33,0.033,0.029,0.,0.02,0.012,0.011,0.017,0.
34,0.033,0.032,0.,0.019,0.012,0.011,0.019,0.
35,0.036,0.034,0.,0.019,0.016,0.015,0.018,0.
36,0.041,0.039,0.,0.024,0.014,0.013,0.024,0.
37,0.039,0.038,0.,0.023,0.015,0.014,0.022,0.
38,0.045,0.038,0.,0.024,0.019,0.015,0.022,0.
39,0.038,0.045,0.,0.022,0.015,0.02,0.024,0.
40,0.046,0.044,0.,0.026,0.019,0.015,0.027,0.
41,0.049,0.045,0.,0.029,0.018,0.019,0.024,0.
42,0.046,0.047,0.,0.027,0.018,0.019,0.026,0.
43,0.051,0.049,0.,0.027,0.022,0.019,0.028,0.
44,0.058,0.054,0.,0.033,0.023,0.023,0.03,0.
45,0.063,0.053,0.,0.037,0.024,0.022,0.029,0.
46,0.056,0.056,0.,0.031,0.024,0.022,0.032,0.
47,0.059,0.058,0.,0.033,0.024,0.022,0.034,0.
48,0.058,0.061,0.,0.032,0.024,0.024,0.035,0.
49,0.072,0.076,0.,0.041,0.029,0.03,0.044,0.
50,0.142,0.139,0.,0.112,0.029,0.026,0.111,0.
51,0.074,0.076,0.,0.044,0.028,0.03,0.043,0.
52,0.071,0.074,0.,0.04,0.03,0.03,0.042,0.
53,0.073,0.078,0.,0.042,0.029,0.033,0.042,0.
54,0.077,0.088,0.,0.047,0.028,0.038,0.048,0.
55,0.078,0.082,0.,0.045,0.031,0.033,0.047,0.
56,0.078,0.087,0.,0.043,0.033,0.033,0.052,0.
57,0.087,0.087,0.,0.049,0.035,0.034,0.048,0.002
58,0.086,0.085,0.,0.049,0.035,0.036,0.048,0.
