param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-real,setoid-rewrite-regression-cubic-real
0,0.,0.,0.
1,0.001,0.001,0.002
2,0.002,0.002,0.003
3,0.004,0.004,0.004
4,0.006,0.006,0.006
5,0.007,0.006,0.007
6,0.009,0.009,0.009
7,0.013,0.011,0.063
8,0.07,0.014,0.014
9,0.014,0.015,0.014
10,0.07,0.07,0.014
11,0.019,0.02,0.015
12,0.02,0.025,0.018
13,0.028,0.03,0.019
14,,0.036,0.022
15,0.035,0.04,0.029
16,,,0.028
17,,,0.033
18,,,0.035
19,,,0.037
20,0.085,,0.045
21,,,0.046
22,,0.113,0.11
23,,,0.061
24,,,0.062
25,,,0.064
26,0.161,,0.07
27,,,0.078
28,,,0.089
29,,,0.096
30,,0.289,0.1
31,,,0.11
32,,,0.123
33,0.356,,0.122
34,,,0.134
35,,,0.141
36,,,0.154
37,,0.59,0.151
38,,,0.179
39,0.633,,0.204
40,,,0.201
41,,,0.204
42,,,0.21
43,,,0.198
44,,,0.228
45,,1.14,0.241
46,1.093,,0.248
47,,,0.265
48,,,0.274
49,,,0.301
50,,,0.289
51,,,0.331
52,1.712,,
53,,2.141,0.338
54,,,0.356
55,,,0.4
56,,,0.43
58,,,0.469
59,,,0.459
60,,,0.495
61,,,0.487
62,3.347,,
63,,4.176,0.524
64,,,0.622
65,,,0.577
66,,,0.591
68,,,0.646
69,,,0.685
70,,,0.736
71,,,0.762
73,6.453,,0.831
74,,7.604,0.87
75,,,0.908
78,,,1.013
80,,,1.031
83,10.561,,1.214
84,,12.472,
85,,,1.172
88,,,1.373
90,,,1.391
93,,,1.471
94,16.884,,
95,,19.42,1.625
98,,,1.688
100,,,1.825
104,23.525,,
105,,25.022,
106,,,2.152
120,,,2.896
140,,,4.577
159,,,6.596
179,,,8.852
199,,,12.267
