param-n,cbn-regression-cubic-real,cbv-regression-quadratic-real,lazy-regression-quadratic-real,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,simpl-regression-cubic-real,vm-compute-regression-quadratic-real
2,0.001,0.,0.,0.08964,0.00028,0.00039,0.00005,0.09,0.09015,0.00045,0.00032,0.00004,0.091,0.001,0.
3,0.003,0.,0.,0.08961,0.00035,0.00031,0.00005,0.09,0.09045,0.00035,0.00033,0.00005,0.091,0.003,0.
4,0.006,0.,0.,0.09062,0.00033,0.00034,0.00005,0.091,0.08871,0.00038,0.00040,0.00005,0.089,0.006,0.
5,0.011,0.,0.,0.09083,0.00036,0.00034,0.00006,0.091,0.09344,0.00042,0.00056,0.00006,0.094,0.009,0.
6,0.019,0.,0.,0.09481,0.00038,0.00033,0.00005,0.095,0.09025,0.00040,0.00032,0.00005,0.091,0.016,0.
7,0.025,0.,0.,0.09008,0.00036,0.00030,0.00006,0.09,0.08810,0.00039,0.00033,0.00009,0.089,0.068,0.
8,0.078,0.,0.,0.08934,0.00036,0.00033,0.00006,0.09,0.08945,0.00040,0.00035,0.00006,0.09,0.032,0.
9,0.048,0.,0.,0.08993,0.00036,0.00033,0.00006,0.09,0.08968,0.00035,0.00034,0.00006,0.09,0.045,0.
10,0.064,0.,0.,0.08949,0.00036,0.00034,0.00006,0.09,0.09122,0.00038,0.00032,0.00006,0.092,0.062,0.
11,0.122,0.,,,,,,,,,,,,0.119,
12,0.136,,0.,,,,,,,,,,,0.087,
13,0.112,,,,,,,,,,,,,0.108,
14,0.141,,,,,,,,,,,,,0.177,
15,0.178,,,,,,,,,,,,,0.16,
16,0.178,,,,,,,,,,,,,0.183,
17,,,,,,,,,,,,,,0.211,
18,0.251,,0.,,,,,,,,,,,0.253,
19,0.29,0.,,,,,,,,,,,,,
20,,,,,,,,,,,,,,0.323,
22,0.43,,,,,,,,,,,,,0.423,
23,,,0.001,,,,,,,,,,,,
24,,,,,,,,,,,,,,0.515,
25,0.56,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,0.649,
28,0.751,0.001,0.001,,,,,,,,,,,0.769,
30,0.914,,,,,,,,,,,,,0.931,
32,,,,,,,,,,,,,,1.067,
33,1.097,,0.001,,,,,,,,,,,,
34,,,,,,,,,,,,,,1.267,
36,1.4,0.001,,,,,,,,,,,,,
39,,,0.002,,,,,,,,,,,,
41,,,,,,,,,,,,,,2.058,0.
43,2.26,,,,,,,,,,,,,,
44,,,0.002,,,,,,,,,,,,
45,,0.002,,,,,,,,,,,,,
47,,,,,,,,,,,,,,3.028,
49,,,0.003,,,,,,,,,,,,
50,3.27,,,,,,,,,,,,,,
53,,0.002,,,,,,,,,,,,,
54,,,0.003,,,,,,,,,,,4.319,
56,4.397,,,,,,,,,,,,,,
59,,,0.004,,,,,,,,,,,,
60,,,,,,,,,,,,,,5.811,
62,,0.003,,,,,,,,,,,,,
63,6.414,,,,,,,,,,,,,,
65,,,0.004,,,,,,,,,,,,
67,,,,,,,,,,,,,,7.968,
70,8.338,,0.005,,,,,,,,,,,,
71,,0.004,,,,,,,,,,,,,
75,,,0.006,,,,,,,,,,,,
79,,0.004,,,,,,,,,,,,,
80,,,0.054,,,,,,,,,,,,0.
86,,,0.007,,,,,,,,,,,,
88,,0.005,,,,,,,,,,,,,
91,,,0.008,,,,,,,,,,,,
96,,0.006,0.008,,,,,,,,,,,,
101,,,0.009,,,,,,,,,,,,
105,,0.007,,,,,,,,,,,,,
106,,,0.012,,,,,,,,,,,,
112,,,0.011,,,,,,,,,,,,
113,,0.054,,,,,,,,,,,,,
116,,,,0.09656,0.00033,0.00047,0.00021,0.097,0.08896,0.00028,0.00044,0.00023,0.09,,
117,,,0.012,,,,,,,,,,,,
120,,,,,,,,,,,,,,,0.
122,,0.009,0.013,,,,,,,,,,,,
127,,,0.019,,,,,,,,,,,,
130,,0.009,,,,,,,,,,,,,
133,,,0.015,,,,,,,,,,,,
138,,,0.016,,,,,,,,,,,,
139,,0.011,,,,,,,,,,,,,
143,,,0.019,,,,,,,,,,,,
148,,0.014,0.018,,,,,,,,,,,,
153,,,0.021,,,,,,,,,,,,
156,,0.013,,,,,,,,,,,,,
159,,,0.021,,,,,,,,,,,,0.001
164,,,0.023,,,,,,,,,,,,
165,,0.014,,,,,,,,,,,,,
169,,,0.023,,,,,,,,,,,,
173,,0.019,,,,,,,,,,,,,
174,,,0.026,,,,,,,,,,,,
180,,,0.026,,,,,,,,,,,,
182,,0.016,,,,,,,,,,,,,
185,,,0.03,,,,,,,,,,,,
190,,0.018,0.033,,,,,,,,,,,,
195,,,0.029,,,,,,,,,,,,
198,,,,,,,,,,,,,,,0.001
199,,0.019,,,,,,,,,,,,,
200,,,0.034,,,,,,,,,,,,
206,,,0.036,,,,,,,,,,,,
208,,0.021,,,,,,,,,,,,,
211,,,0.031,,,,,,,,,,,,
216,,0.021,0.036,,,,,,,,,,,,
221,,,0.041,,,,,,,,,,,,
225,,0.023,,,,,,,,,,,,,
227,,,0.042,,,,,,,,,,,,
229,,,,0.09145,0.00028,0.00062,0.00034,0.092,0.08839,0.00030,0.00061,0.00034,0.089,,
232,,,0.045,,,,,,,,,,,,
233,,0.025,,,,,,,,,,,,,
237,,,0.042,,,,,,,,,,,,0.002
242,,0.028,0.042,,,,,,,,,,,,
247,,,0.045,,,,,,,,,,,,
250,,0.028,,,,,,,,,,,,,
253,,,0.046,,,,,,,,,,,,
258,,,0.049,,,,,,,,,,,,
259,,0.03,,,,,,,,,,,,,
263,,,0.053,,,,,,,,,,,,
268,,0.032,0.053,,,,,,,,,,,,
273,,,0.055,,,,,,,,,,,,
276,,0.034,,,,,,,,,,,,,0.002
279,,,0.057,,,,,,,,,,,,
284,,,0.061,,,,,,,,,,,,
285,,0.036,,,,,,,,,,,,,
289,,,0.068,,,,,,,,,,,,
292,,,0.105,,,,,,,,,,,,
293,,0.037,,,,,,,,,,,,,
294,,,0.065,,,,,,,,,,,,
300,,,0.069,,,,,,,,,,,,
302,,0.04,,,,,,,,,,,,,
305,,,0.074,,,,,,,,,,,,
310,,0.042,0.074,,,,,,,,,,,,
315,,,0.086,,,,,,,,,,,,
316,,,,,,,,,,,,,,,0.003
319,,0.044,,,,,,,,,,,,,
320,,,0.078,,,,,,,,,,,,
326,,,0.082,,,,,,,,,,,,
328,,0.045,,,,,,,,,,,,,
331,,,0.1,,,,,,,,,,,,
336,,0.047,0.087,,,,,,,,,,,,
341,,,0.093,,,,,,,,,,,,
343,,,,0.09652,0.00028,0.00084,0.00044,0.098,0.09453,0.00030,0.00088,0.00047,0.096,,
345,,0.05,,,,,,,,,,,,,
347,,,0.086,,,,,,,,,,,,
352,,,0.087,,,,,,,,,,,,
353,,0.052,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,0.004
357,,,0.086,,,,,,,,,,,,
362,,0.056,0.09,,,,,,,,,,,,
367,,,0.097,,,,,,,,,,,,
370,,0.057,,,,,,,,,,,,,
373,,,0.098,,,,,,,,,,,,
378,,,0.102,,,,,,,,,,,,
379,,0.06,,,,,,,,,,,,,
383,,,0.104,,,,,,,,,,,,
387,,0.061,,,,,,,,,,,,,
388,,,0.102,,,,,,,,,,,,
394,,,0.105,,,,,,,,,,,,0.005
396,,0.066,,,,,,,,,,,,,
399,,,0.111,,,,,,,,,,,,
404,,,0.127,,,,,,,,,,,,
405,,0.065,,,,,,,,,,,,,
409,,,0.131,,,,,,,,,,,,
413,,0.068,,,,,,,,,,,,,
414,,,0.137,,,,,,,,,,,,
420,,,0.13,,,,,,,,,,,,
422,,0.071,,,,,,,,,,,,,
425,,,0.14,,,,,,,,,,,,
430,,0.074,0.132,,,,,,,,,,,,
433,,,,,,,,,,,,,,,0.005
435,,,0.161,,,,,,,,,,,,
439,,0.078,,,,,,,,,,,,,
441,,,0.173,,,,,,,,,,,,
446,,,0.145,,,,,,,,,,,,
447,,0.082,,,,,,,,,,,,,
451,,,0.187,,,,,,,,,,,,
456,,0.084,,0.08918,0.00028,0.00118,0.00062,0.091,0.08954,0.00033,0.00120,0.00061,0.091,,
458,,0.126,,,,,,,,,,,,,
465,,0.086,,,,,,,,,,,,,
469,,,0.186,,,,,,,,,,,,
472,,,,,,,,,,,,,,,0.006
473,,0.09,,,,,,,,,,,,,
482,,0.091,,,,,,,,,,,,,
487,,,0.213,,,,,,,,,,,,
490,,0.093,,,,,,,,,,,,,
499,,0.095,,,,,,,,,,,,,
505,,,0.172,,,,,,,,,,,,
507,,0.096,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,0.007
516,,0.1,,,,,,,,,,,,,
523,,,0.209,,,,,,,,,,,,
525,,0.108,,,,,,,,,,,,,
533,,0.108,,,,,,,,,,,,,
541,,,0.23,,,,,,,,,,,,
542,,0.112,,,,,,,,,,,,,
550,,0.117,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,0.061
559,,0.119,0.238,,,,,,,,,,,,
567,,0.123,,,,,,,,,,,,,
570,,,,0.09324,0.00029,0.00153,0.00079,0.096,0.09177,0.00030,0.00153,0.00077,0.094,,
576,,0.128,,,,,,,,,,,,,
577,,,0.265,,,,,,,,,,,,
583,,,0.257,,,,,,,,,,,,
585,,0.129,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,0.01
593,,0.132,,,,,,,,,,,,,
595,,,0.297,,,,,,,,,,,,
602,,0.137,,,,,,,,,,,,,
610,,0.142,,,,,,,,,,,,,
613,,,0.334,,,,,,,,,,,,
619,,0.148,,,,,,,,,,,,,
627,,0.148,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,0.011
631,,,0.355,,,,,,,,,,,,
636,,0.15,,,,,,,,,,,,,
644,,0.155,,,,,,,,,,,,,
649,,,0.307,,,,,,,,,,,,
653,,0.157,,,,,,,,,,,,,
662,,0.162,,,,,,,,,,,,,
667,,,0.374,,,,,,,,,,,,
668,,,,,,,,,,,,,,,0.012
670,,0.162,,,,,,,,,,,,,
679,,0.168,,,,,,,,,,,,,
684,,,,0.09389,0.00027,0.00210,0.00092,0.097,0.09023,0.00030,0.00195,0.00089,0.093,,
685,,,0.373,,,,,,,,,,,,
687,,0.174,,,,,,,,,,,,,
696,,0.179,,,,,,,,,,,,,
703,,,0.421,,,,,,,,,,,,
704,,0.183,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,0.013
713,,0.19,,,,,,,,,,,,,
721,,,0.482,,,,,,,,,,,,
739,,,0.423,,,,,,,,,,,,
744,,0.203,,,,,,,,,,,,,
747,,,,,,,,,,,,,,,0.015
757,,,0.47,,,,,,,,,,,,
775,,0.218,0.491,,,,,,,,,,,,
786,,,,,,,,,,,,,,,0.016
793,,,0.544,,,,,,,,,,,,
797,,,,0.09407,0.00027,0.00253,0.00092,0.097,0.09430,0.00028,0.00253,0.00107,0.098,,
806,,0.233,,,,,,,,,,,,,
811,,,0.551,,,,,,,,,,,,
825,,,,,,,,,,,,,,,0.018
829,,,0.572,,,,,,,,,,,,
837,,0.248,,,,,,,,,,,,,
847,,,0.579,,,,,,,,,,,,
864,,,,,,,,,,,,,,,0.019
865,,,0.673,,,,,,,,,,,,
868,,0.268,,,,,,,,,,,,,
873,,,0.644,,,,,,,,,,,,
883,,,0.634,,,,,,,,,,,,
898,,0.288,,,,,,,,,,,,,
901,,,0.648,,,,,,,,,,,,
903,,,,,,,,,,,,,,,0.021
911,,,,0.09099,0.00027,0.00305,0.00117,0.095,0.08932,0.00030,0.00317,0.00117,0.094,,
914,,0.295,,,,,,,,,,,,,
929,,0.306,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,0.021
960,,0.325,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,0.023
991,,0.35,0.854,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,0.025
1022,,0.364,,,,,,,,,,,,,
1025,,,,0.09088,0.00028,0.00387,0.00130,0.096,0.08993,0.00029,0.00376,0.00135,0.095,,
1053,,0.386,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,0.028
1081,,,0.962,,,,,,,,,,,,
1084,,0.4,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,0.029
1115,,0.421,,,,,,,,,,,,,
1138,,,,0.08979,0.00027,0.06235,0.00139,0.153,0.09014,0.00031,0.00456,0.00155,0.096,,0.032
1146,,0.445,,,,,,,,,,,,,
1164,,,1.215,,,,,,,,,,,,
1171,,,1.146,,,,,,,,,,,,
1177,,0.465,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,0.033
1208,,0.499,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,0.035
1239,,0.508,,,,,,,,,,,,,
1252,,,,0.09449,0.00029,0.00601,0.00161,0.102,0.09340,0.00031,0.00523,0.00161,0.1,,
1256,,,,,,,,,,,,,,,0.038
1261,,,1.382,,,,,,,,,,,,
1269,,0.533,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,0.041
1300,,0.556,,,,,,,,,,,,,
1331,,0.595,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,0.042
1351,,,1.531,,,,,,,,,,,,
1362,,0.618,,,,,,,,,,,,,
1365,,,,0.09382,0.00028,0.00615,0.00171,0.102,0.09602,0.00031,0.00663,0.00173,0.104,,
1370,,0.612,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,0.045
1393,,0.638,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,0.048
1424,,0.667,,,,,,,,,,,,,
1441,,,1.786,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,0.049
1454,,,1.812,,,,,,,,,,,,
1479,,,,0.09677,0.00028,0.00718,0.00187,0.106,0.09149,0.00030,0.01303,0.00174,0.106,,
1491,,,,,,,,,,,,,,,0.053
1530,,,,,,,,,,,,,,,0.056
1531,,,2.061,,,,,,,,,,,,
1566,,0.815,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,0.057
1593,,,,0.09614,0.00029,0.00818,0.00195,0.106,0.09134,0.00029,0.00807,0.00209,0.101,,
1609,,,,,,,,,,,,,,,0.061
1621,,,2.276,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,0.063
1687,,,,,,,,,,,,,,,0.068
1706,,,,0.09060,0.00029,0.00895,0.00205,0.102,0.09071,0.00047,0.00931,0.00215,0.102,,
1709,,0.948,,,,,,,,,,,,,
1711,,,2.447,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,0.069
1765,,,,,,,,,,,,,,,0.072
1801,,,2.781,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,0.075
1820,,,,0.09353,0.00028,0.01887,0.00218,0.115,0.09156,0.00030,0.01028,0.00232,0.104,,
1826,,1.05,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,0.08
1851,,1.096,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,0.08
1922,,,,,,,,,,,,,,,0.085
1933,,,,0.08951,0.00029,0.01178,0.00240,0.104,0.09340,0.00028,0.01140,0.00229,0.107,,
1961,,,,,,,,,,,,,,,0.087
1993,,1.268,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,0.09
2013,,,,,,,,,,,,,,,0.138
2040,,,,,,,,,,,,,,,0.094
2047,,,,0.09091,0.00029,0.01600,0.00237,0.109,0.09201,0.00030,0.01267,0.00237,0.107,,
2079,,,,,,,,,,,,,,,0.098
2118,,,,,,,,,,,,,,,0.102
2136,,1.465,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,0.106
2161,,,4.006,0.09302,0.00029,0.01416,0.00262,0.11,0.09425,0.00030,0.01728,0.00253,0.114,,
2197,,,,,,,,,,,,,,,0.11
2236,,,,,,,,,,,,,,,0.113
2274,,,,0.09189,0.00027,0.01544,0.00253,0.11,0.09195,0.00029,0.01538,0.00262,0.11,,
2275,,,,,,,,,,,,,,,0.116
2278,,1.646,,,,,,,,,,,,,
2282,,1.637,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,0.119
2353,,,,,,,,,,,,,,,0.123
2388,,,,0.09313,0.00030,0.01941,0.00292,0.115,0.08982,0.00030,0.01725,0.00293,0.11,,
2392,,,,,,,,,,,,,,,0.127
2420,,1.87,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,0.134
2471,,,,,,,,,,,,,,,0.137
2502,,,,0.09405,0.00029,0.02114,0.00361,0.119,0.09237,0.00029,0.01859,0.00296,0.114,,
2510,,,,,,,,,,,,,,,0.141
2521,,,5.449,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,0.145
2562,,2.082,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,0.147
2615,,,,0.09531,0.00027,0.01989,0.00515,0.12,0.09606,0.00028,0.02022,0.00304,0.119,,
2628,,,,,,,,,,,,,,,0.154
2667,,,,,,,,,,,,,,,0.157
2705,,2.327,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,0.164
2729,,,,0.09077,0.00029,0.02168,0.00325,0.116,0.09514,0.00030,0.02381,0.00331,0.122,,
2745,,,,,,,,,,,,,,,0.167
2784,,,,,,,,,,,,,,,0.171
2824,,,,,,,,,,,,,,,0.177
2842,,,,0.09394,0.00027,0.02384,0.00771,0.125,0.09740,0.00030,0.02341,0.00345,0.124,,
2847,,2.559,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,0.183
2881,,,7.372,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,0.186
2941,,,,,,,,,,,,,,,0.191
2956,,,,0.09391,0.00029,0.02883,0.00349,0.126,0.09118,0.00029,0.02548,0.00352,0.12,,
2980,,,,,,,,,,,,,,,0.193
3019,,,,,,,,,,,,,,,0.199
3059,,,,,,,,,,,,,,,0.204
3070,,,,0.09211,0.00031,0.02993,0.00375,0.126,0.09858,0.00030,0.02758,0.00375,0.13,,
3098,,,,,,,,,,,,,,,0.211
3137,,,,,,,,,,,,,,,0.212
3183,,,,0.09503,0.00032,0.03323,0.00383,0.132,0.09485,0.00030,0.03248,0.00383,0.131,,
3241,,,9.257,,,,,,,,,,,,
3268,,,,,,,,,,,,,,,0.229
3297,,,,0.09285,0.00029,0.03049,0.00394,0.127,0.09532,0.00029,0.03633,0.00388,0.135,,
3398,,,,,,,,,,,,,,,0.252
3410,,,,0.09365,0.00030,0.03471,0.00384,0.132,0.09406,0.00028,0.03654,0.00391,0.134,,
3416,,3.606,,,,,,,,,,,,,
3524,,,,0.09065,0.00028,0.03507,0.00413,0.13,0.09179,0.00028,0.03847,0.00419,0.134,,
3529,,,,,,,,,,,,,,,0.269
3601,,,11.36,,,,,,,,,,,,
3638,,,,0.09498,0.00028,0.04164,0.00437,0.141,0.09521,0.00030,0.04167,0.00434,0.141,,
