param-n,abstract-regression-linear-real,reify-regression-cubic-real
1,0.,0.004
2,0.001,0.006
3,0.,0.008
4,0.,0.01
5,0.001,0.012
6,0.001,0.068
7,0.001,0.012
8,0.001,0.015
9,0.001,0.017
10,0.003,0.019
11,0.001,0.022
12,0.001,0.025
13,0.001,0.03
14,0.001,0.031
15,0.001,0.037
16,0.002,0.038
17,0.002,0.048
18,0.002,0.046
19,0.002,0.051
20,0.002,0.056
21,0.002,0.061
22,0.002,0.069
23,0.002,0.073
24,0.002,0.081
25,0.002,0.083
26,0.002,0.092
27,0.002,0.096
28,0.003,0.102
29,0.003,0.113
30,0.003,0.115
31,0.003,0.125
32,0.003,0.129
33,0.003,0.146
34,0.003,0.155
35,0.003,0.164
36,0.003,0.181
37,0.003,0.18
38,0.003,0.183
39,0.004,0.198
40,0.004,0.217
41,0.004,0.207
42,0.004,0.229
43,0.004,0.236
44,0.004,0.244
45,0.004,0.265
46,0.004,0.272
47,0.004,0.283
48,0.004,0.295
49,0.009,0.307
50,0.005,0.346
51,0.005,0.359
52,0.005,0.37
53,0.005,0.396
54,0.005,0.375
55,0.01,0.396
56,0.005,0.419
57,0.005,0.432
58,0.005,0.436
59,0.005,0.457
60,0.005,0.492
61,0.005,0.505
62,0.006,0.525
63,0.006,0.543
64,0.006,0.544
65,0.006,0.571
66,0.01,0.58
67,0.006,0.597
68,0.006,0.625
69,0.006,0.673
70,0.006,0.694
71,0.006,0.709
72,0.006,0.707
73,0.006,0.731
74,0.006,0.758
75,0.006,0.773
76,0.007,0.832
77,0.007,0.857
78,0.007,0.846
79,0.007,0.876
80,0.007,0.891
81,0.007,0.924
82,0.007,0.972
83,0.007,1.002
84,0.007,1.009
85,0.007,1.026
86,0.007,1.067
87,0.008,1.112
88,0.008,1.167
89,0.008,1.15
90,0.008,1.182
91,0.008,1.21
92,0.008,1.29
93,0.008,1.288
94,0.008,1.307
95,0.008,1.34
96,0.009,1.41
97,0.008,1.431
98,0.008,1.449
99,0.009,1.478
100,0.009,1.591
110,0.009,2.044
120,0.01,2.373
130,0.011,2.94
140,0.012,3.498
150,0.013,4.154
160,0.013,4.919
170,0.014,5.712
180,0.015,6.583
190,0.016,7.64
200,0.017,8.747
210,0.017,10.077
220,0.018,11.15
230,0.02,12.657
240,0.021,14.155
250,0.021,15.874
260,0.022,17.576
270,0.023,19.49
280,0.024,21.84
290,0.024,23.597
300,0.026,26.118
350,0.029,39.761
400,0.035,57.8
450,0.04,80.444
500,0.079,108.491
