param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.08343,0.00025,0.00037,0.00004,0.084,0.004,0.,0.08571,0.00028,0.00035,0.00005,0.086,0.004,0.,0.001,0.,0.001,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.08785,0.00037,0.00032,0.00005,0.088,0.003,0.,0.09440,0.00037,0.00033,0.00007,0.095,0.004,0.,0.003,0.,0.003,0.,0.,0.
4,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.08417,0.00036,0.00034,0.00005,0.085,0.,0.004,0.07737,0.00028,0.00030,0.00004,0.078,0.,0.003,0.006,0.,0.006,0.,0.,0.
5,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.07861,0.00029,0.00041,0.00006,0.079,0.,0.004,0.07975,0.00040,0.00042,0.00005,0.08,0.,0.004,0.01,0.,0.01,0.,0.,0.
6,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.07738,0.00029,0.00030,0.00007,0.078,0.003,0.,0.07872,0.00034,0.00033,0.00006,0.079,0.003,0.,0.023,0.,0.023,0.,0.,0.
7,0.075,0.,0.074,0.,0.,0.,0.,0.,0.,0.08580,0.00029,0.00032,0.00006,0.086,0.003,0.,0.08326,0.00033,0.00039,0.00006,0.084,0.,0.004,0.07,0.,0.07,0.,0.,0.
8,0.038,0.,0.038,0.,0.,0.,0.,0.,0.,0.08264,0.00027,0.00029,0.00005,0.083,0.003,0.,0.08058,0.00027,0.00037,0.00014,0.081,0.004,0.,0.036,0.,0.036,0.,0.,0.
9,0.051,0.,0.051,0.,0.,0.,0.,0.,0.,0.08039,0.00027,0.00036,0.00005,0.081,0.003,0.,0.08053,0.00039,0.00033,0.00006,0.081,0.004,0.,0.05,0.,0.05,0.,0.,0.
10,0.066,0.,0.066,0.,0.,0.,0.,0.,0.,0.08448,0.00032,0.00031,0.00005,0.085,0.003,0.,0.07977,0.00029,0.00030,0.00005,0.08,0.003,0.,0.067,0.,0.067,0.,0.,0.
11,0.124,0.,0.123,0.,0.,0.,,,,,,,,,,,,,,,,,,0.128,0.,0.128,,,
