param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.001,0.,0.001,0.001,0.,0.,0.,0.
32,5,0.003,0.,0.002,0.002,0.,0.001,0.,0.,0.
64,6,0.006,0.003,0.002,0.004,0.001,0.002,0.001,0.001,0.
128,7,0.051,0.007,0.043,0.047,0.003,0.043,0.003,0.003,0.
256,8,0.026,0.,0.026,0.019,0.,0.019,0.006,0.,0.006
512,9,0.069,0.,0.069,0.055,0.,0.055,0.014,0.,0.013
1024,10,0.167,0.,0.167,0.137,0.,0.137,0.029,0.,0.029
2048,11,0.54,0.,0.539,0.465,0.,0.465,0.074,0.,0.074
4096,12,1.559,0.003,1.555,1.401,0.003,1.397,0.157,0.,0.157
8192,13,5.163,0.011,5.15,4.863,0.004,4.858,0.299,0.007,0.291
16384,14,18.536,0.039,18.495,17.934,0.035,17.897,0.601,0.003,0.597
