param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.12669,0.00081,0.00090,0.00006,0.128,0.006,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.013,0.004,0.009
2,1,2,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.12570,0.00030,0.00111,0.00007,0.127,0.003,0.002,0.001,0.001,0.,0.,0.,0.,0.003,0.003,0.,0.003,0.003,0.,0.086,0.019,0.066
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.12382,0.00034,0.00086,0.00007,0.125,0.004,0.001,0.,0.,0.,0.,0.,0.,0.002,0.001,0.001,0.002,0.002,0.,0.019,0.,0.019
3,1,3,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.12754,0.00030,0.00086,0.00008,0.128,0.005,0.,0.001,0.,0.001,0.,0.,0.,0.065,0.004,0.061,0.066,0.012,0.053,0.056,0.,0.056
3,3,1,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.12449,0.00032,0.00095,0.00008,0.126,0.003,0.002,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.007,0.,0.007,0.033,0.,0.033
4,1,4,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.12608,0.00031,0.00088,0.00008,0.127,0.004,0.001,0.001,0.,0.001,0.,0.,0.,0.027,0.,0.027,0.028,0.,0.028,0.102,0.,0.102
4,2,2,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.12582,0.00030,0.00089,0.00008,0.127,0.005,0.,0.001,0.001,0.,0.,0.,0.,0.011,0.,0.011,0.012,0.,0.012,0.061,0.,0.061
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.13459,0.00031,0.00095,0.00008,0.136,0.003,0.002,0.001,0.,0.001,0.,0.,0.,0.015,0.,0.015,0.017,0.,0.017,0.059,0.,0.059
5,1,5,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.13165,0.00032,0.00089,0.00008,0.133,0.003,0.002,0.002,0.002,0.,0.,0.,0.,0.112,0.008,0.104,0.112,0.016,0.096,0.238,0.024,0.213
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.13386,0.00032,0.00108,0.00009,0.135,0.003,0.002,0.001,0.001,0.,0.,0.,0.,0.032,0.,0.032,0.034,0.,0.034,0.096,0.,0.096
