param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.11038,0.00020,0.00053,0.00004,0.111,0.004,0.,0.10871,0.00030,0.00055,0.00004,0.109,0.,0.004,0.001,0.,0.,0.,0.,0.
3,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.10800,0.00025,0.00062,0.00004,0.109,0.,0.005,0.10785,0.00027,0.00055,0.00004,0.108,0.003,0.001,0.021,0.,0.021,0.,0.,0.
4,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.10812,0.00025,0.00055,0.00004,0.109,0.004,0.,0.10821,0.00027,0.00056,0.00004,0.109,0.,0.004,0.003,0.,0.003,0.,0.,0.
5,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.10872,0.00024,0.00056,0.00004,0.109,0.003,0.001,0.10910,0.00027,0.00055,0.00004,0.11,0.004,0.,0.006,0.,0.006,0.,0.,0.
6,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.10860,0.00025,0.00055,0.00004,0.109,0.004,0.,0.10867,0.00027,0.00055,0.00004,0.109,0.,0.004,0.011,0.,0.011,0.019,0.,0.019
7,0.017,0.,0.017,0.,0.,0.,0.,0.,0.,0.11083,0.00025,0.00056,0.00004,0.111,0.004,0.,0.10918,0.00027,0.00060,0.00005,0.11,0.003,0.001,0.015,0.,0.015,0.,0.,0.
8,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.10814,0.00025,0.00057,0.00004,0.109,0.004,0.,0.10891,0.00029,0.00061,0.00005,0.11,0.003,0.001,0.053,0.,0.053,0.,0.,0.
9,0.063,0.,0.063,0.,0.,0.,0.,0.,0.,0.10794,0.00025,0.00057,0.00004,0.108,0.004,0.,0.10921,0.00027,0.00063,0.00005,0.11,0.003,0.001,0.029,0.,0.029,0.,0.,0.
10,0.041,0.,0.041,0.,0.,0.,0.,0.,0.,0.10803,0.00025,0.00056,0.00004,0.109,0.004,0.,0.11007,0.00027,0.00057,0.00004,0.111,0.004,0.,0.039,0.,0.039,0.,0.,0.
11,0.072,0.,0.072,0.,0.,0.,,,,,,,,,,,,,,,,,,0.046,0.,0.046,,,
12,0.081,0.,0.08,,,,0.,0.,0.,,,,,,,,,,,,,,,0.059,0.,0.059,,,
13,0.106,0.,0.106,,,,,,,,,,,,,,,,,,,,,0.069,0.,0.069,,,
14,0.093,0.,0.093,,,,,,,,,,,,,,,,,,,,,0.138,0.,0.138,,,
15,0.15,0.,0.15,,,,,,,,,,,,,,,,,,,,,0.108,0.,0.108,,,
16,0.122,0.,0.122,,,,,,,,,,,,,,,,,,,,,0.123,0.,0.123,,,
17,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.,0.14,,,
18,0.17,0.,0.17,,,,0.,0.,0.,,,,,,,,,,,,,,,0.165,0.,0.165,,,
19,0.193,0.,0.193,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,0.213,0.,0.213,,,
22,0.285,0.,0.285,,,,,,,,,,,,,,,,,,,,,0.28,0.,0.28,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.,0.34,,,
25,0.369,0.,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,0.425,0.,0.425,,,
28,0.496,0.,0.496,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,0.509,0.,0.509,,,
30,0.615,0.,0.615,,,,,,,,,,,,,,,,,,,,,0.615,0.,0.613,,,
32,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.003,0.707,,,
33,0.747,0.,0.747,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,0.859,0.,0.859,,,
36,0.974,0.,0.974,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,1.366,0.003,1.362,0.,0.,0.
