param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
8,3,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
16,4,0.003,0.001,0.001,0.001,0.001,0.,0.001,0.,0.001
32,5,0.005,0.004,0.001,0.003,0.003,0.,0.001,0.,0.001
64,6,0.013,0.007,0.006,0.008,0.006,0.001,0.004,0.,0.004
128,7,0.072,0.012,0.06,0.064,0.008,0.056,0.007,0.003,0.003
256,8,0.039,0.,0.039,0.028,0.,0.028,0.01,0.,0.01
512,9,0.179,0.,0.179,0.156,0.,0.156,0.022,0.,0.022
1024,10,0.176,0.,0.176,0.129,0.,0.129,0.046,0.,0.046
2048,11,0.399,0.011,0.387,0.278,0.008,0.27,0.12,0.003,0.117
4096,12,0.915,0.027,0.887,0.672,0.016,0.656,0.243,0.011,0.231
8192,13,2.011,0.027,1.983,1.358,0.016,1.342,0.652,0.011,0.64
16384,14,3.633,0.047,3.585,2.651,0.035,2.615,0.981,0.011,0.969
