param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.,0.002,0.002,0.,0.002,0.003,0.003,0.
1,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002
2,0.003,0.,0.003,0.002,0.,0.002,0.005,0.,0.005
3,0.005,0.,0.005,0.004,0.004,0.,0.005,0.003,0.001
4,0.006,0.002,0.002,0.005,0.,0.005,0.006,0.006,0.
5,0.01,0.004,0.005,0.008,0.004,0.004,0.011,0.007,0.003
6,0.01,0.003,0.007,0.011,0.,0.011,0.01,0.003,0.006
7,0.01,0.,0.01,0.01,0.003,0.006,0.011,0.003,0.007
8,0.014,0.007,0.007,0.015,0.011,0.003,0.013,0.007,0.006
9,0.016,0.004,0.012,0.016,0.008,0.008,0.014,0.001,0.013
10,0.018,0.003,0.015,0.017,0.004,0.012,0.075,0.002,0.072
11,0.075,0.011,0.063,0.024,0.007,0.017,0.016,0.,0.016
12,0.081,0.027,0.054,0.077,0.027,0.05,0.017,0.,0.017
13,0.023,0.,0.023,0.023,0.,0.023,0.019,0.,0.019
14,,,,0.025,0.,0.024,0.023,0.,0.023
15,0.029,0.,0.029,0.03,0.,0.03,0.022,0.,0.022
16,,,,,,,0.025,0.,0.025
17,,,,,,,0.026,0.,0.026
18,,,,,,,0.11,0.,0.11
19,,,,,,,0.032,0.,0.032
20,0.053,0.,0.053,,,,0.036,0.,0.036
21,,,,,,,0.037,0.,0.037
22,,,,0.065,0.002,0.062,0.049,0.023,0.026
23,,,,,,,0.076,0.,0.076
24,,,,,,,0.048,0.,0.048
25,,,,,,,0.05,0.003,0.046
26,0.183,0.,0.183,,,,0.051,0.002,0.049
27,,,,,,,0.052,0.,0.052
28,,,,,,,0.058,0.,0.058
29,,,,,,,0.077,0.,0.077
30,,,,0.215,0.,0.215,0.064,0.,0.064
31,,,,,,,0.066,0.,0.066
32,,,,,,,0.084,0.,0.083
33,0.188,0.,0.188,,,,0.075,0.,0.075
34,,,,,,,0.081,0.,0.081
35,,,,,,,0.163,0.,0.163
36,,,,,,,0.08,0.,0.08
37,,,,0.245,0.,0.245,0.104,0.,0.104
38,,,,,,,0.09,0.003,0.087
39,0.233,0.,0.233,,,,0.099,0.,0.099
40,,,,,,,0.109,0.,0.109
41,,,,,,,0.106,0.,0.106
42,,,,,,,0.11,0.,0.11
43,,,,,,,0.164,0.008,0.156
44,,,,,,,0.117,0.,0.117
45,,,,0.384,0.,0.384,0.121,0.,0.121
46,0.388,0.,0.388,,,,0.142,0.,0.142
47,,,,,,,0.13,0.003,0.126
48,,,,,,,0.142,0.,0.142
49,,,,,,,0.144,0.,0.144
50,,,,,,,0.159,0.,0.159
51,,,,,,,0.161,0.,0.161
52,0.585,0.,0.585,,,,,,
53,,,,0.636,0.004,0.632,0.176,0.,0.176
54,,,,,,,0.18,0.,0.18
55,,,,,,,0.176,0.,0.176
56,,,,,,,0.177,0.,0.177
58,,,,,,,0.2,0.,0.2
59,,,,,,,0.22,0.,0.219
60,,,,,,,0.222,0.,0.222
61,,,,,,,0.238,0.003,0.233
62,0.757,0.,0.757,,,,,,
63,,,,0.844,0.,0.844,0.265,0.004,0.261
64,,,,,,,0.335,0.,0.335
65,,,,,,,0.255,0.,0.255
66,,,,,,,0.276,0.,0.276
68,,,,,,,0.289,0.,0.289
69,,,,,,,0.291,0.003,0.287
70,,,,,,,0.311,0.003,0.307
71,,,,,,,0.311,0.,0.311
73,1.218,0.002,1.214,,,,0.318,0.,0.318
74,,,,1.304,0.,1.304,0.329,0.,0.329
75,,,,,,,0.334,0.,0.334
78,,,,,,,0.356,0.,0.356
80,,,,,,,0.369,0.,0.369
83,1.738,0.004,1.734,,,,0.391,0.,0.391
84,,,,1.92,0.,1.917,,,
85,,,,,,,0.397,0.003,0.393
88,,,,,,,0.451,0.,0.451
90,,,,,,,0.523,0.,0.523
93,,,,,,,0.531,0.,0.531
94,2.471,0.007,2.46,,,,,,
95,,,,2.694,0.003,2.688,0.548,0.003,0.544
98,,,,,,,0.598,0.008,0.589
100,,,,,,,0.6,0.003,0.597
104,3.349,0.,3.348,,,,,,
105,,,,3.565,0.011,3.553,,,
106,,,,,,,0.732,0.004,0.728
120,,,,,,,0.864,0.,0.864
140,,,,,,,1.202,0.003,1.198
159,,,,,,,1.423,0.,1.423
179,,,,,,,2.041,0.,2.041
199,,,,,,,2.443,0.,2.443
