param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.001,0.,0.,0.001,0.,0.001
1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.001,0.
3,0.002,0.,0.002,0.002,0.,0.002,0.002,0.001,0.
4,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003
5,0.004,0.,0.004,0.004,0.004,0.,0.005,0.003,0.002
6,0.005,0.,0.004,0.005,0.,0.005,0.004,0.,0.004
7,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.004
8,0.006,0.003,0.003,0.006,0.,0.006,0.006,0.003,0.003
9,0.007,0.,0.007,0.007,0.,0.007,0.007,0.,0.007
10,0.008,0.,0.008,0.009,0.,0.009,0.045,0.004,0.041
11,0.01,0.,0.01,0.01,0.004,0.006,0.007,0.,0.007
12,0.012,0.,0.012,0.012,0.,0.012,0.008,0.,0.008
13,0.049,0.004,0.045,0.049,0.011,0.037,0.009,0.,0.009
14,,,,0.012,0.,0.012,0.009,0.,0.009
15,0.053,0.002,0.05,0.052,0.007,0.044,0.011,0.,0.011
16,,,,,,,0.011,0.,0.011
17,,,,,,,0.012,0.,0.012
18,,,,,,,0.015,0.,0.015
19,,,,,,,0.014,0.,0.014
20,0.024,0.,0.024,,,,0.016,0.,0.016
21,,,,,,,0.017,0.,0.017
22,,,,0.03,0.,0.03,0.024,0.004,0.02
23,,,,,,,0.019,0.,0.019
24,,,,,,,0.021,0.,0.021
25,,,,,,,0.023,0.,0.023
26,0.045,0.,0.045,,,,0.023,0.,0.023
27,,,,,,,0.026,0.,0.026
28,,,,,,,0.027,0.,0.027
29,,,,,,,0.028,0.,0.028
30,,,,0.06,0.,0.06,0.032,0.003,0.029
31,,,,,,,0.032,0.,0.032
32,,,,,,,0.035,0.,0.035
33,0.076,0.,0.076,,,,0.037,0.,0.036
34,,,,,,,0.04,0.,0.04
35,,,,,,,0.041,0.,0.041
36,,,,,,,0.044,0.,0.044
37,,,,0.101,0.,0.1,0.044,0.,0.044
38,,,,,,,0.048,0.,0.048
39,0.115,0.,0.115,,,,0.049,0.,0.049
40,,,,,,,0.055,0.,0.055
41,,,,,,,0.053,0.,0.053
42,,,,,,,0.054,0.,0.054
43,,,,,,,0.099,0.,0.099
44,,,,,,,0.066,0.,0.066
45,,,,0.165,0.,0.165,0.067,0.,0.067
46,0.175,0.,0.175,,,,0.064,0.,0.064
47,,,,,,,0.07,0.,0.07
48,,,,,,,0.069,0.,0.069
49,,,,,,,0.077,0.003,0.073
50,,,,,,,0.081,0.,0.081
51,,,,,,,0.086,0.003,0.083
52,0.244,0.,0.243,,,,,,
53,,,,0.249,0.,0.249,0.09,0.,0.09
54,,,,,,,0.093,0.,0.093
55,,,,,,,0.102,0.,0.102
56,,,,,,,0.096,0.,0.096
58,,,,,,,0.1,0.,0.1
59,,,,,,,0.101,0.,0.101
60,,,,,,,0.107,0.,0.107
61,,,,,,,0.109,0.,0.109
62,0.38,0.,0.38,,,,,,
63,,,,0.397,0.,0.397,0.117,0.,0.117
64,,,,,,,0.13,0.,0.13
65,,,,,,,0.125,0.003,0.121
66,,,,,,,0.127,0.003,0.123
68,,,,,,,0.136,0.,0.136
69,,,,,,,0.143,0.,0.143
70,,,,,,,0.145,0.,0.145
71,,,,,,,0.148,0.,0.148
73,0.591,0.,0.591,,,,0.165,0.,0.165
74,,,,0.629,0.,0.629,0.173,0.,0.173
75,,,,,,,0.171,0.,0.171
78,,,,,,,0.186,0.,0.186
80,,,,,,,0.192,0.,0.192
83,0.861,0.,0.861,,,,0.217,0.003,0.213
84,,,,0.9,0.,0.9,,,
85,,,,,,,0.22,0.,0.22
88,,,,,,,0.225,0.004,0.221
90,,,,,,,0.234,0.,0.234
93,,,,,,,0.251,0.,0.251
94,1.212,0.,1.211,,,,,,
95,,,,1.257,0.004,1.253,0.267,0.,0.267
98,,,,,,,0.282,0.,0.282
100,,,,,,,0.295,0.,0.295
104,1.597,0.,1.595,,,,,,
105,,,,1.659,0.,1.659,,,
106,,,,,,,0.354,0.,0.354
120,,,,,,,0.433,0.,0.433
140,,,,,,,0.619,0.,0.619
159,,,,,,,0.818,0.,0.818
179,,,,,,,0.991,0.003,0.987
199,,,,,,,1.292,0.003,1.287
