param-n,case-and-regression-linear-real,case-and-regression-linear-sys,case-and-regression-linear-user,case-clear-intros-and-regression-linear-real,case-clear-intros-and-regression-linear-sys,case-clear-intros-and-regression-linear-user,case-clear-intros-or-regression-linear-real,case-clear-intros-or-regression-linear-sys,case-clear-intros-or-regression-linear-user,case-or-regression-linear-real,case-or-regression-linear-sys,case-or-regression-linear-user,destruct-and-regression-linear-real,destruct-and-regression-linear-sys,destruct-and-regression-linear-user,destruct-or-regression-linear-real,destruct-or-regression-linear-sys,destruct-or-regression-linear-user,intros-regression-linear-real,intros-regression-linear-sys,intros-regression-linear-user,lazy-regression-linear-real,lazy-regression-linear-sys,lazy-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.001,0.,0.,0.003,0.,0.003
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.,0.005,0.003,0.,0.003,0.007,0.,0.007
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.008,0.,0.008,0.008,0.,0.008,0.011,0.002,0.008
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.012,0.,0.012,0.013,0.,0.012,0.015,0.003,0.011
5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.012,0.,0.012,0.012,0.,0.012,0.01,0.,0.01,0.062,0.011,0.05
6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.034,0.003,0.03,0.015,0.,0.015,0.029,0.,0.029,0.016,0.,0.016
7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.023,0.,0.023,0.057,0.,0.057,0.041,0.,0.041,0.019,0.,0.019
8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.044,0.003,0.04,0.021,0.,0.021,0.054,0.,0.054,0.021,0.,0.021
9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.032,0.,0.032,0.029,0.,0.029,0.078,0.,0.077,0.06,0.,0.06
10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.029,0.,0.029,0.03,0.,0.03,0.046,0.,0.046,0.044,0.003,0.04
50,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.138,0.,0.138,0.137,0.,0.137,1.217,0.004,1.213,0.388,0.019,0.369
100,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.277,0.,0.277,0.277,0.,0.277,4.387,0.003,4.382,0.637,0.016,0.621
150,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.409,0.,0.409,0.407,0.,0.407,9.425,0.003,9.421,0.958,0.015,0.942
200,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.55,0.,0.55,0.554,0.,0.554,17.288,0.,17.287,1.335,0.011,1.322
