param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.001,0.,0.001,0.002,0.,0.001
2,0.001,0.,0.001,0.003,0.,0.003
3,0.001,0.,0.001,0.004,0.,0.004
4,0.,0.,0.,0.005,0.,0.005
5,0.,0.,0.,0.008,0.,0.008
6,0.,0.,0.,0.008,0.,0.008
7,0.001,0.001,0.,0.009,0.009,0.
8,0.,0.,0.,0.012,0.012,0.
9,0.001,0.,0.001,0.013,0.,0.013
10,0.001,0.,0.,0.015,0.006,0.008
11,0.,0.,0.,0.019,0.003,0.015
12,0.001,0.,0.001,0.074,0.003,0.07
13,0.001,0.,0.001,0.018,0.,0.018
14,0.001,0.,0.001,0.02,0.,0.02
15,0.001,0.,0.001,0.021,0.,0.021
16,0.001,0.,0.001,0.023,0.,0.023
17,0.001,0.,0.001,0.027,0.,0.027
18,0.001,0.,0.001,0.028,0.,0.028
19,0.001,0.,0.001,0.03,0.,0.03
20,0.001,0.,0.001,0.04,0.,0.04
21,0.001,0.,0.001,0.035,0.,0.035
22,0.001,0.,0.001,0.041,0.,0.041
23,0.002,0.,0.002,0.043,0.,0.043
24,0.001,0.,0.001,0.043,0.,0.043
25,0.001,0.,0.001,0.043,0.,0.043
26,0.002,0.,0.002,0.055,0.,0.055
27,0.001,0.,0.001,0.048,0.,0.048
28,0.002,0.,0.002,0.055,0.,0.055
29,0.002,0.,0.002,0.063,0.,0.063
30,0.002,0.,0.002,0.062,0.,0.062
31,0.002,0.,0.002,0.068,0.,0.068
32,0.002,0.,0.002,0.072,0.,0.072
33,0.002,0.,0.002,0.083,0.,0.083
34,0.002,0.,0.002,0.081,0.,0.081
35,0.002,0.,0.002,0.087,0.,0.087
36,0.002,0.,0.002,0.085,0.,0.085
37,0.002,0.,0.002,0.094,0.,0.094
38,0.002,0.,0.002,0.099,0.,0.099
39,0.002,0.,0.002,0.103,0.,0.103
40,0.003,0.,0.003,0.11,0.,0.11
41,0.002,0.,0.002,0.115,0.,0.115
42,0.003,0.,0.003,0.13,0.,0.13
43,0.002,0.,0.002,0.128,0.,0.128
44,0.009,0.,0.009,0.133,0.,0.133
45,0.003,0.,0.003,0.135,0.,0.135
46,0.003,0.,0.003,0.141,0.003,0.137
47,0.004,0.,0.004,0.16,0.,0.16
48,0.003,0.,0.003,0.16,0.,0.16
49,0.003,0.,0.003,0.167,0.003,0.163
50,0.003,0.,0.003,0.185,0.,0.185
51,0.003,0.,0.003,0.181,0.,0.181
52,0.003,0.,0.003,0.194,0.,0.194
53,0.003,0.,0.003,0.202,0.003,0.195
54,0.004,0.,0.004,0.226,0.,0.226
55,0.003,0.,0.003,0.223,0.,0.222
56,0.003,0.,0.003,0.206,0.,0.206
57,0.003,0.,0.003,0.205,0.,0.205
58,0.003,0.,0.003,0.215,0.,0.215
59,0.004,0.,0.004,0.223,0.,0.223
60,0.003,0.,0.003,0.242,0.003,0.238
61,0.005,0.,0.005,0.262,0.007,0.255
62,0.004,0.,0.004,0.264,0.003,0.26
63,0.004,0.,0.004,0.289,0.,0.289
64,0.003,0.,0.003,0.291,0.,0.291
65,0.004,0.,0.004,0.323,0.004,0.319
66,0.004,0.,0.004,0.339,0.,0.339
67,0.004,0.,0.004,0.306,0.,0.306
68,0.004,0.,0.004,0.309,0.011,0.297
69,0.004,0.,0.004,0.386,0.,0.386
70,0.004,0.,0.004,0.333,0.,0.333
71,0.003,0.,0.003,0.347,0.003,0.343
72,0.004,0.,0.004,0.36,0.,0.358
73,0.004,0.,0.004,0.356,0.004,0.352
74,0.004,0.,0.004,0.391,0.,0.391
75,0.004,0.,0.004,0.398,0.,0.398
76,0.004,0.,0.004,0.406,0.,0.406
77,0.004,0.,0.004,0.415,0.,0.414
78,0.005,0.,0.005,0.423,0.,0.423
79,0.004,0.,0.004,0.469,0.,0.469
80,0.005,0.,0.005,0.488,0.,0.488
81,0.005,0.,0.005,0.5,0.,0.5
82,0.005,0.,0.005,0.497,0.,0.496
83,0.006,0.,0.006,0.485,0.003,0.481
84,0.004,0.,0.004,0.505,0.004,0.5
85,0.005,0.,0.005,0.51,0.,0.51
86,0.004,0.,0.004,0.549,0.,0.549
87,0.005,0.,0.005,0.55,0.,0.55
88,0.005,0.,0.005,0.55,0.,0.55
89,0.005,0.,0.005,0.617,0.003,0.613
90,0.005,0.,0.005,0.614,0.,0.614
91,0.005,0.,0.005,0.616,0.,0.616
92,0.005,0.,0.005,0.628,0.,0.628
93,0.005,0.,0.005,0.638,0.,0.637
94,0.005,0.,0.005,0.648,0.,0.648
95,0.005,0.,0.005,0.69,0.,0.69
96,0.005,0.,0.005,0.725,0.,0.725
97,0.007,0.,0.007,0.731,0.,0.731
98,0.006,0.,0.006,0.75,0.,0.75
99,0.005,0.,0.005,0.746,0.,0.745
100,0.006,0.,0.006,0.746,0.003,0.742
110,0.007,0.,0.007,1.056,0.043,1.011
120,0.006,0.,0.006,1.169,0.003,1.165
130,0.007,0.,0.007,1.397,0.003,1.393
140,0.008,0.,0.008,1.781,0.004,1.777
150,0.008,0.,0.008,2.,0.015,1.981
160,0.008,0.,0.008,2.267,0.,2.266
170,0.009,0.,0.009,2.747,0.011,2.734
180,0.009,0.,0.009,3.089,0.008,3.08
190,0.014,0.,0.014,3.74,0.,3.738
200,0.011,0.,0.011,4.236,0.004,4.223
210,0.01,0.,0.01,4.941,0.003,4.935
220,0.012,0.,0.012,5.415,0.,5.415
230,0.012,0.,0.012,6.006,0.011,5.993
240,0.013,0.,0.013,6.726,0.007,6.717
250,0.012,0.,0.012,7.303,0.004,7.298
260,0.014,0.,0.014,8.378,0.004,8.373
270,0.015,0.,0.015,9.181,0.,9.179
280,0.016,0.,0.016,10.19,0.011,10.176
290,0.015,0.,0.015,11.285,0.011,11.271
300,0.015,0.,0.015,12.142,0.003,12.136
350,0.019,0.,0.019,18.764,0.004,18.757
400,0.019,0.,0.019,28.04,0.023,28.011
450,0.025,0.,0.025,38.064,0.008,38.051
500,0.031,0.,0.031,52.492,0.068,52.416
