param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.
32,5,0.002,0.,0.001,0.001,0.,0.,0.,0.,0.
64,6,0.004,0.,0.004,0.002,0.,0.002,0.001,0.,0.001
128,7,0.042,0.,0.042,0.038,0.,0.038,0.003,0.,0.003
256,8,0.031,0.,0.031,0.026,0.,0.026,0.005,0.,0.005
512,9,0.038,0.,0.038,0.026,0.,0.026,0.011,0.,0.011
1024,10,0.083,0.,0.083,0.058,0.,0.058,0.024,0.,0.024
2048,11,0.2,0.,0.2,0.15,0.,0.15,0.05,0.,0.05
4096,12,0.486,0.006,0.479,0.363,0.003,0.359,0.123,0.003,0.12
8192,13,0.968,0.011,0.956,0.682,0.008,0.674,0.286,0.003,0.282
16384,14,2.113,0.003,2.109,1.43,0.003,1.426,0.682,0.,0.682
