param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07173,0.00019,0.00039,0.00007,0.144,0.015,0.057,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07099,0.00018,0.00041,0.00005,0.071,0.001,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.014,0.002,0.011
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07095,0.00020,0.00053,0.00005,0.071,0.,0.001,0.,0.,0.,0.,0.,0.,0.002,0.,0.001,0.001,0.,0.001,0.008,0.,0.008
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07069,0.00017,0.00043,0.00006,0.071,0.001,0.,0.,0.,0.,0.,0.,0.,0.009,0.001,0.008,0.009,0.001,0.007,0.058,0.006,0.052
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07148,0.00018,0.00040,0.00005,0.072,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.001,0.004,0.006,0.,0.005,0.013,0.,0.013
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07150,0.00017,0.00040,0.00006,0.072,0.,0.001,0.,0.,0.,0.,0.,0.,0.019,0.,0.019,0.019,0.,0.019,0.04,0.,0.04
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07167,0.00017,0.00041,0.00005,0.072,0.,0.001,0.,0.,0.,0.,0.,0.,0.011,0.002,0.008,0.011,0.,0.01,0.023,0.,0.023
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07129,0.00033,0.00041,0.00006,0.072,0.,0.001,0.,0.,0.,0.,0.,0.,0.047,0.003,0.044,0.047,0.003,0.043,0.038,0.,0.038
5,1,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07152,0.00019,0.00038,0.00006,0.147,0.015,0.062,0.001,0.,0.001,0.,0.,0.,0.085,0.009,0.076,0.085,0.013,0.072,0.115,0.015,0.1
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.06989,0.00018,0.00038,0.00016,0.07,0.,0.001,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.023,0.,0.023,0.054,0.,0.054
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.,0.063
7,1,7,,,,,,,,,,,,,,,,,,,,,,,0.191,0.01,0.18,0.189,0.01,0.179,0.259,0.011,0.247
7,7,1,,,,,,,,,,,,,,,,,,,,,,,0.062,0.,0.062,0.066,0.,0.066,0.11,0.,0.109
8,1,8,,,,,,,,,,,,,,,,,,,,,,,0.23,0.,0.23,0.233,0.,0.232,0.368,0.,0.368
8,2,4,,,,,,,,,,,,,,,,,,,,,,,0.138,0.,0.138,0.136,0.,0.136,0.085,0.,0.085
8,4,2,,,,,,,,,,,,,,,,,,,,,,,0.087,0.,0.087,0.086,0.,0.086,0.09,0.,0.09
8,8,1,,,,,,,,,,,,,,,,,,,,,,,0.11,0.,0.11,0.118,0.,0.118,0.181,0.,0.181
9,1,9,,,,,,,,,,,,,,,,,,,,,,,0.37,0.,0.37,0.371,0.,0.37,0.555,0.,0.555
9,3,3,,,,,,,,,,,,,,,,,,,,,,,0.143,0.,0.143,0.143,0.,0.143,0.183,0.,0.183
9,9,1,,,,,,,,,,,,,,,,,,,,,,,0.175,0.,0.175,0.193,0.,0.193,0.267,0.,0.267
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.768,0.,0.768
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312,0.,0.312
11,1,11,,,,,,,,,,,,,,,,,,,,,,,0.919,0.001,0.917,0.911,0.001,0.909,,,
11,11,1,,,,,,,,,,,,,,,,,,,,,,,0.252,0.,0.252,0.283,0.,0.283,,,
12,1,12,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,1.314,0.,1.313,1.329,0.001,1.325,,,
12,3,4,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,0.229,0.,0.229,0.229,0.,0.229,0.133,0.,0.133
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,0.326,0.,0.325,0.373,0.,0.372,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.571,0.,1.57
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756,0.,0.755
15,1,15,,,,,,,,,,,,,,,,,,,,,,,3.957,0.003,3.95,3.985,0.003,3.981,,,
15,15,1,,,,,,,,,,,,,,,,,,,,,,,0.684,0.001,0.683,0.793,0.,0.793,,,
16,1,16,,,,,,,,,,,,,,,,,0.003,0.,0.002,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,,,,,0.001,0.,0.,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16,0.001,4.157
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,0.004,1.921
18,1,18,0.003,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
