Params: 0-n= 131071 , 1-lgn= 16
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.047 secs (0.047u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.053 secs (0.053u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.043 secs (0.043u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.036 secs (0.036u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.1 secs (0.1u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.066 secs (0.066u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.036 secs (0.036u,0.s) (success)
Params: 0-n= 262143 , 1-lgn= 17
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.104 secs (0.104u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.089 secs (0.089u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.141 secs (0.141u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.076 secs (0.076u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.075 secs (0.075u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.073 secs (0.073u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.072 secs (0.072u,0.s) (success)
Params: 0-n= 524287 , 1-lgn= 18
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.234 secs (0.234u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.152 secs (0.152u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.152 secs (0.152u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.155 secs (0.155u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.152 secs (0.152u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.152 secs (0.152u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.152 secs (0.152u,0.s) (success)
Params: 0-n= 1048575 , 1-lgn= 19
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.414 secs (0.41u,0.003s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.308 secs (0.308u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.309 secs (0.309u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.307 secs (0.307u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.308 secs (0.308u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.305 secs (0.305u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.307 secs (0.307u,0.s) (success)
Params: 0-n= 2097151 , 1-lgn= 20
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.79 secs (0.782u,0.008s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.612 secs (0.612u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.613 secs (0.613u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.628 secs (0.628u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 0.614 secs (0.614u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 0.613 secs (0.613u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 0.626 secs (0.626u,0.s) (success)
Params: 0-n= 4194303 , 1-lgn= 21
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 1.642 secs (1.642u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 1.239 secs (1.238u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 1.239 secs (1.239u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 1.258 secs (1.258u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 1.233 secs (1.233u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 1.231 secs (1.231u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 1.235 secs (1.235u,0.s) (success)
Params: 0-n= 8388607 , 1-lgn= 22
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 2.746 secs (2.733u,0.012s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 2.505 secs (2.504u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 2.514 secs (2.514u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 2.493 secs (2.493u,0.s) (success)
Tactic call try-ssr-rewrite!-evar-noop-regression-linear ran for 2.516 secs (2.516u,0.s) (success)
Tactic call try-ssr-rewrite-evar-noop-regression-linear ran for 2.494 secs (2.494u,0.s) (success)
Tactic call try-ssr-rewrite?-evar-noop-regression-linear ran for 2.499 secs (2.499u,0.s) (success)
