param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.001
2,0.,0.,0.,0.001,0.,0.
3,0.,0.,0.,0.002,0.,0.001
4,0.,0.,0.,0.003,0.002,0.001
5,0.,0.,0.,0.003,0.,0.003
6,0.,0.,0.,0.004,0.,0.003
7,0.,0.,0.,0.005,0.001,0.004
8,0.,0.,0.,0.006,0.001,0.005
9,0.,0.,0.,0.008,0.001,0.007
10,0.,0.,0.,0.009,0.,0.008
11,0.,0.,0.,0.042,0.005,0.037
12,0.,0.,0.,0.01,0.,0.01
13,0.,0.,0.,0.011,0.,0.011
14,0.,0.,0.,0.013,0.,0.013
15,0.,0.,0.,0.029,0.,0.029
16,0.,0.,0.,0.016,0.,0.015
17,0.,0.,0.,0.019,0.,0.019
18,0.,0.,0.,0.02,0.,0.02
19,0.,0.,0.,0.022,0.,0.022
20,0.,0.,0.,0.025,0.,0.025
21,0.,0.,0.,0.028,0.,0.028
22,0.,0.,0.,0.03,0.,0.03
23,0.,0.,0.,0.037,0.,0.037
24,0.,0.,0.,0.037,0.,0.037
25,0.,0.,0.,0.047,0.,0.047
26,0.,0.,0.,0.043,0.,0.043
27,0.,0.,0.,0.048,0.,0.048
28,0.,0.,0.,0.104,0.,0.104
29,0.,0.,0.,0.057,0.,0.057
30,0.,0.,0.,0.088,0.,0.087
31,0.,0.,0.,0.079,0.,0.079
32,0.,0.,0.,0.071,0.,0.071
33,0.,0.,0.,0.077,0.,0.077
34,0.,0.,0.,0.089,0.,0.089
35,0.,0.,0.,0.094,0.,0.094
36,0.,0.,0.,0.096,0.,0.096
37,0.,0.,0.,0.191,0.,0.191
38,0.,0.,0.,0.112,0.,0.112
39,0.,0.,0.,0.116,0.,0.116
40,0.,0.,0.,0.128,0.001,0.126
41,0.,0.,0.,0.134,0.001,0.133
42,0.,0.,0.,0.143,0.,0.143
43,0.,0.,0.,0.151,0.,0.151
44,0.,0.,0.,0.163,0.,0.162
45,0.,0.,0.,0.172,0.,0.171
46,0.,0.,0.,0.183,0.,0.183
47,0.,0.,0.,0.195,0.,0.195
48,0.,0.,0.,0.206,0.,0.206
49,0.,0.,0.,0.217,0.,0.217
50,0.,0.,0.,0.238,0.,0.238
51,0.,0.,0.,0.249,0.,0.249
52,0.,0.,0.,0.264,0.,0.263
53,0.,0.,0.,0.273,0.001,0.271
54,0.,0.,0.,0.293,0.,0.293
55,0.,0.,0.,0.304,0.002,0.302
56,0.,0.,0.,0.324,0.001,0.322
57,0.,0.,0.,0.34,0.001,0.338
58,0.001,0.,0.001,0.359,0.001,0.358
59,0.001,0.,0.001,0.377,0.,0.377
60,0.001,0.,0.001,0.396,0.,0.394
61,0.001,0.,0.001,0.413,0.,0.413
62,0.001,0.,0.001,0.425,0.,0.423
63,0.001,0.,0.001,0.447,0.,0.446
64,0.001,0.,0.001,0.469,0.001,0.467
65,0.001,0.,0.001,0.495,0.,0.495
66,0.001,0.,0.001,0.512,0.,0.512
67,0.001,0.,0.001,0.537,0.,0.537
68,0.001,0.,0.001,0.561,0.,0.56
69,0.001,0.,0.001,0.591,0.,0.591
70,0.001,0.,0.001,0.622,0.,0.621
71,0.001,0.,0.001,0.641,0.,0.64
72,0.001,0.,0.001,0.675,0.,0.674
73,0.001,0.,0.001,0.703,0.003,0.7
74,0.001,0.,0.001,0.734,0.,0.733
75,0.001,0.,0.001,0.768,0.,0.767
76,0.001,0.,0.001,0.792,0.,0.791
77,0.001,0.,0.001,0.819,0.,0.818
78,0.001,0.,0.001,0.863,0.,0.862
79,0.001,0.,0.001,0.885,0.,0.885
80,0.001,0.,0.001,0.919,0.,0.919
81,0.001,0.,0.001,0.958,0.,0.958
82,0.001,0.,0.001,1.008,0.,1.008
83,0.001,0.,0.001,1.051,0.,1.051
84,0.001,0.,0.001,1.093,0.,1.093
85,0.001,0.,0.001,1.134,0.,1.134
86,0.001,0.,0.001,1.168,0.,1.168
87,0.001,0.,0.001,1.219,0.001,1.217
88,0.001,0.,0.001,1.262,0.,1.261
89,0.001,0.,0.001,1.299,0.,1.298
90,0.001,0.,0.001,1.335,0.,1.335
91,0.001,0.,0.,1.394,0.,1.394
92,0.001,0.,0.001,1.447,0.,1.447
93,0.001,0.,0.001,1.508,0.001,1.506
94,0.001,0.,0.001,1.572,0.,1.572
95,0.001,0.,0.001,1.625,0.,1.624
96,0.001,0.,0.001,1.657,0.,1.657
97,0.001,0.,0.001,1.705,0.,1.705
98,0.001,0.,0.001,1.777,0.,1.776
99,0.001,0.,0.001,1.829,0.,1.829
100,0.001,0.,0.001,1.906,0.,1.906
110,0.001,0.,0.001,2.836,0.015,2.82
120,0.001,0.,0.001,3.453,0.003,3.449
130,0.002,0.,0.002,4.532,0.004,4.527
140,0.002,0.,0.002,5.885,0.003,5.881
150,0.002,0.,0.002,7.465,0.004,7.46
160,0.002,0.,0.002,9.296,0.001,9.294
170,0.002,0.,0.002,11.565,0.001,11.563
180,0.002,0.,0.002,14.159,0.005,14.153
190,0.002,0.,0.002,17.189,0.,17.187
200,0.003,0.,0.003,20.661,0.003,20.657
