param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.001
2,0.,0.,0.,0.002,0.002,0.
3,0.,0.,0.,0.003,0.,0.003
4,0.,0.,0.,0.003,0.,0.003
5,0.,0.,0.,0.004,0.002,0.001
6,0.,0.,0.,0.005,0.004,0.
7,0.,0.,0.,0.006,0.,0.006
8,0.,0.,0.,0.007,0.,0.007
9,0.,0.,0.,0.008,0.003,0.004
10,0.,0.,0.,0.009,0.,0.009
11,0.,0.,0.,0.043,0.,0.043
12,0.,0.,0.,0.009,0.,0.009
13,0.,0.,0.,0.01,0.,0.01
14,0.,0.,0.,0.011,0.,0.011
15,0.,0.,0.,0.027,0.,0.027
16,0.,0.,0.,0.013,0.,0.013
17,0.,0.,0.,0.014,0.,0.014
18,0.,0.,0.,0.016,0.,0.016
19,0.001,0.,0.001,0.016,0.,0.016
20,0.001,0.,0.001,0.018,0.,0.018
21,0.001,0.,0.001,0.019,0.,0.019
22,0.002,0.,0.002,0.02,0.,0.02
23,0.001,0.,0.001,0.022,0.,0.022
24,0.001,0.,0.001,0.027,0.,0.027
25,0.001,0.,0.001,0.025,0.,0.025
26,0.001,0.,0.001,0.028,0.,0.028
27,0.008,0.,0.008,0.028,0.,0.028
28,0.001,0.,0.001,0.03,0.,0.03
29,0.001,0.,0.001,0.031,0.,0.031
30,0.001,0.,0.001,0.035,0.,0.035
31,0.001,0.,0.001,0.097,0.,0.097
32,0.001,0.,0.001,0.037,0.,0.037
33,0.001,0.,0.001,0.039,0.,0.039
34,0.001,0.001,0.,0.081,0.,0.081
35,0.001,0.,0.001,0.042,0.001,0.04
36,0.001,0.,0.001,0.054,0.,0.054
37,0.001,0.,0.001,0.047,0.,0.047
38,0.001,0.,0.001,0.051,0.,0.051
39,0.001,0.,0.001,0.055,0.,0.055
40,0.001,0.,0.001,0.055,0.,0.055
41,0.001,0.,0.001,0.062,0.,0.062
42,0.001,0.,0.001,0.06,0.,0.06
43,0.001,0.,0.001,0.118,0.,0.118
44,0.001,0.,0.001,0.092,0.,0.092
45,0.001,0.,0.001,0.066,0.,0.066
46,0.002,0.,0.002,0.081,0.,0.081
47,0.002,0.,0.002,0.074,0.,0.074
48,0.002,0.,0.002,0.075,0.,0.075
49,0.002,0.,0.002,0.076,0.,0.076
50,0.002,0.,0.002,0.079,0.,0.079
51,0.002,0.,0.002,0.086,0.,0.086
52,0.002,0.,0.002,0.09,0.,0.09
53,0.002,0.,0.002,0.095,0.,0.095
54,0.002,0.,0.002,0.091,0.,0.091
55,0.002,0.,0.002,0.094,0.,0.094
56,0.002,0.,0.002,0.097,0.,0.097
57,0.002,0.,0.002,0.104,0.,0.104
58,0.002,0.,0.002,0.109,0.,0.109
59,0.002,0.,0.002,0.108,0.,0.108
60,0.002,0.,0.002,0.111,0.,0.111
61,0.002,0.,0.002,0.113,0.,0.113
62,0.002,0.,0.002,0.126,0.,0.126
63,0.002,0.,0.002,0.123,0.,0.123
64,0.002,0.,0.002,0.136,0.,0.136
65,0.002,0.,0.002,0.13,0.,0.13
