param-n,zify-big-context-regression-quadratic-real,zify-big-context-regression-quadratic-sys,zify-big-context-regression-quadratic-user
1,0.,0.,0.
2,0.,0.,0.
3,0.,0.,0.
4,0.,0.,0.
5,0.,0.,0.
6,0.,0.,0.
7,0.,0.,0.
8,0.,0.,0.
9,0.,0.,0.
10,0.,0.,0.
11,0.,0.,0.
12,0.001,0.001,0.
13,0.001,0.001,0.
14,0.001,0.001,0.
15,0.001,0.001,0.
16,0.001,0.001,0.
17,0.001,0.001,0.
18,0.002,0.002,0.
19,0.002,0.002,0.
20,0.002,0.,0.002
21,0.002,0.,0.002
22,0.032,0.007,0.025
23,0.002,0.,0.002
24,0.002,0.,0.002
25,0.002,0.,0.002
26,0.002,0.,0.002
27,0.002,0.,0.002
28,0.002,0.,0.002
29,0.014,0.,0.014
30,0.002,0.,0.002
31,0.003,0.,0.003
32,0.003,0.,0.003
33,0.003,0.,0.003
34,0.004,0.,0.004
35,0.003,0.,0.003
36,0.004,0.,0.004
37,0.004,0.,0.004
38,0.004,0.,0.004
39,0.004,0.,0.004
40,0.004,0.,0.004
41,0.005,0.,0.005
42,0.005,0.,0.005
43,0.005,0.,0.005
44,0.005,0.,0.005
45,0.01,0.,0.01
50,0.011,0.,0.011
100,0.079,0.007,0.072
150,0.071,0.,0.071
200,0.203,0.,0.203
