param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
20,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005
30,0.007,0.,0.007,0.007,0.,0.007,0.049,0.011,0.037
40,0.011,0.,0.011,0.024,0.,0.024,0.011,0.,0.011
50,0.016,0.,0.016,0.059,0.003,0.055,0.021,0.007,0.014
60,0.022,0.,0.022,0.023,0.,0.023,0.023,0.,0.023
70,0.033,0.,0.033,0.03,0.,0.03,0.03,0.,0.03
80,0.038,0.,0.038,0.045,0.,0.045,0.038,0.,0.038
90,0.076,0.,0.076,0.048,0.,0.048,0.109,0.,0.109
100,0.06,0.,0.06,0.057,0.,0.056,0.072,0.,0.072
110,0.073,0.,0.073,0.07,0.,0.07,0.08,0.,0.08
120,0.142,0.,0.142,0.084,0.,0.084,0.09,0.,0.09
130,0.096,0.,0.096,0.108,0.,0.108,0.131,0.,0.131
140,0.114,0.,0.114,0.113,0.,0.113,0.113,0.,0.113
150,0.165,0.,0.165,0.189,0.,0.189,0.136,0.,0.136
160,0.148,0.,0.148,0.149,0.,0.149,0.148,0.,0.148
170,0.165,0.,0.165,0.167,0.,0.167,0.167,0.,0.167
180,0.184,0.,0.184,0.188,0.,0.188,0.188,0.,0.188
190,0.206,0.,0.206,0.211,0.,0.211,0.21,0.,0.21
200,0.234,0.,0.234,0.321,0.,0.321,0.246,0.,0.246
