param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.045,0.007,0.038,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
16383,13,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004
32767,14,0.009,0.,0.009,0.009,0.,0.009,0.013,0.,0.013,0.009,0.,0.009,0.009,0.,0.009,0.009,0.,0.009,0.015,0.,0.015
65535,15,0.051,0.,0.05,0.018,0.,0.018,0.02,0.,0.02,0.018,0.,0.018,0.029,0.003,0.025,0.018,0.,0.018,0.031,0.,0.031
131071,16,0.049,0.,0.049,0.071,0.,0.071,0.059,0.,0.059,0.039,0.,0.039,0.037,0.,0.037,0.048,0.,0.048,0.109,0.,0.109
262143,17,0.128,0.003,0.125,0.079,0.,0.079,0.083,0.,0.083,0.078,0.,0.078,0.174,0.,0.174,0.08,0.,0.08,0.079,0.,0.079
524287,18,0.327,0.007,0.319,0.163,0.,0.163,0.163,0.,0.163,0.161,0.,0.161,0.162,0.,0.162,0.166,0.,0.166,0.162,0.,0.162
1048575,19,0.482,0.004,0.478,0.333,0.,0.333,0.333,0.,0.333,0.326,0.,0.326,0.326,0.,0.326,0.334,0.,0.334,0.328,0.,0.328
2097151,20,1.008,0.,1.008,0.651,0.,0.651,0.659,0.,0.659,0.656,0.,0.656,0.653,0.,0.653,0.653,0.,0.653,0.666,0.,0.666
4194303,21,1.54,0.016,1.524,1.308,0.,1.308,1.289,0.,1.289,1.31,0.,1.31,1.293,0.,1.293,1.315,0.,1.315,1.274,0.,1.274
8388607,22,2.836,0.,2.836,2.577,0.,2.577,2.572,0.,2.572,2.524,0.,2.524,2.536,0.,2.535,2.534,0.,2.534,2.521,0.,2.52
