param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.003,0.,0.003,0.,0.003,0.012,0.,0.012
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.001,0.007,0.,0.007
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.002,0.005,0.007,0.,0.007,0.07,0.003,0.066
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.006,0.003,0.002,0.011,0.,0.011
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.015,0.,0.015,0.034,0.,0.034
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.003,0.006,0.009,0.,0.009,0.02,0.,0.02
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.054,0.007,0.047,0.059,0.011,0.047,0.036,0.,0.036
5,1,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.085,0.011,0.074,0.085,0.015,0.069,0.114,0.007,0.107
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.018,0.,0.017,0.018,0.,0.018,0.048,0.,0.048
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.,0.054
7,1,7,,,,,,,,,,,,,,,,,,,0.171,0.015,0.155,0.174,0.012,0.162,0.235,0.015,0.219
7,7,1,,,,,,,,,,,,,,,,,,,0.048,0.,0.048,0.052,0.,0.052,0.09,0.,0.09
8,1,8,,,,,,,,,,,,,,,,,,,0.178,0.,0.178,0.181,0.,0.181,0.272,0.,0.272
8,2,4,,,,,,,,,,,,,,,,,,,0.133,0.,0.133,0.135,0.,0.135,0.074,0.,0.074
8,4,2,,,,,,,,,,,,,,,,,,,0.046,0.,0.046,0.047,0.,0.047,0.076,0.,0.076
8,8,1,,,,,,,,,,,,,,,,,,,0.124,0.,0.124,0.133,0.,0.133,0.226,0.,0.226
9,1,9,,,,,,,,,,,,,,,,,,,0.29,0.,0.29,0.289,0.,0.289,0.501,0.,0.501
9,3,3,,,,,,,,,,,,,,,,,,,0.137,0.,0.137,0.139,0.,0.139,0.119,0.,0.119
9,9,1,,,,,,,,,,,,,,,,,,,0.143,0.,0.143,0.155,0.,0.155,0.298,0.,0.298
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.,0.7
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.262,0.,0.262
11,1,11,,,,,,,,,,,,,,,,,,,0.759,0.,0.759,0.76,0.,0.76,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.201,0.,0.201,0.221,0.,0.221,,,
12,1,12,0.002,0.002,0.,,,,,,,,,,,,,,,,1.028,0.,1.027,1.051,0.,1.051,,,
12,3,4,0.001,0.001,0.,,,,,,,,,,,,,,,,0.179,0.,0.179,0.179,0.,0.178,0.113,0.,0.113
12,12,1,0.001,0.,0.,,,,,,,,,,,,,,,,0.26,0.,0.26,0.292,0.,0.292,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,1.344,0.,1.343
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,0.644,0.,0.644
15,1,15,,,,,,,,,,,,,,,,,,,2.893,0.007,2.886,2.94,0.007,2.932,,,
15,15,1,,,,,,,,,,,,,,,,,,,0.547,0.,0.547,0.625,0.,0.625,,,
16,1,16,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,3.511,0.003,3.507
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,1.718,0.003,1.714
18,1,18,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.001,0.,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.001,0.001,0.,,,,,,,,,,,,,,,,,,,,,,0.288,0.,0.288
24,1,24,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
