param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002
1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.001
2,0.002,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001
10,0.01,0.,0.009,0.002,0.,0.002,0.002,0.,0.001,0.002,0.,0.001,0.011,0.001,0.01,0.008,0.,0.007
20,0.06,0.004,0.055,0.043,0.003,0.039,0.004,0.,0.004,0.006,0.002,0.004,0.059,0.002,0.056,0.016,0.,0.015
30,0.047,0.,0.047,0.022,0.,0.022,0.008,0.,0.008,0.01,0.001,0.008,0.046,0.,0.045,0.024,0.,0.024
40,0.053,0.,0.053,0.012,0.,0.012,0.012,0.,0.012,0.054,0.005,0.049,0.053,0.,0.053,0.041,0.,0.04
50,0.141,0.012,0.129,0.033,0.,0.033,0.017,0.,0.017,0.023,0.004,0.019,0.139,0.013,0.126,0.108,0.012,0.096
60,0.115,0.001,0.114,0.029,0.,0.029,0.024,0.,0.024,0.024,0.,0.024,0.116,0.,0.115,0.086,0.,0.085
70,0.157,0.,0.157,0.034,0.,0.034,0.033,0.,0.033,0.047,0.,0.047,0.215,0.,0.215,0.122,0.,0.122
80,0.297,0.,0.297,0.058,0.,0.058,0.04,0.,0.04,0.04,0.,0.04,0.232,0.001,0.23,0.238,0.,0.238
90,0.258,0.,0.257,0.059,0.,0.059,0.049,0.,0.049,0.05,0.,0.05,0.323,0.,0.323,0.198,0.,0.197
100,0.316,0.,0.315,0.063,0.,0.063,0.12,0.,0.12,0.116,0.007,0.108,0.309,0.,0.309,0.252,0.,0.251
110,0.486,0.002,0.484,0.082,0.,0.081,0.073,0.,0.073,0.077,0.,0.077,0.412,0.,0.412,0.403,0.001,0.402
120,0.453,0.,0.453,0.093,0.,0.093,0.085,0.,0.085,0.093,0.,0.093,0.447,0.,0.447,0.359,0.,0.359
130,0.548,0.,0.548,0.107,0.,0.107,0.101,0.,0.101,0.16,0.,0.16,0.537,0.001,0.535,0.44,0.,0.439
140,0.659,0.,0.658,0.126,0.,0.125,0.118,0.,0.118,0.15,0.,0.15,0.654,0.002,0.651,0.533,0.,0.532
150,0.945,0.002,0.942,0.24,0.,0.24,0.145,0.,0.145,0.131,0.,0.131,0.882,0.,0.882,0.704,0.002,0.701
160,0.871,0.001,0.87,0.163,0.,0.163,0.153,0.,0.153,0.165,0.,0.165,0.864,0.002,0.861,0.707,0.,0.706
170,0.993,0.002,0.991,0.18,0.,0.18,0.175,0.,0.175,0.183,0.,0.183,1.01,0.002,1.008,0.812,0.001,0.81
180,1.095,0.001,1.093,0.199,0.,0.199,0.195,0.,0.195,0.284,0.,0.284,1.112,0.001,1.11,0.895,0.001,0.893
190,1.224,0.002,1.221,0.223,0.,0.223,0.218,0.,0.218,0.229,0.,0.229,1.259,0.004,1.254,1.,0.002,0.997
200,1.403,0.004,1.399,0.244,0.,0.244,0.241,0.,0.241,0.309,0.,0.309,1.368,0.,1.367,1.159,0.003,1.154
210,1.584,0.004,1.58,0.272,0.,0.272,0.268,0.,0.268,0.268,0.,0.268,1.617,0.002,1.615,1.311,0.003,1.306
220,1.819,0.002,1.816,0.298,0.,0.298,0.285,0.,0.285,0.296,0.,0.296,1.797,0.002,1.793,1.519,0.002,1.516
230,1.986,0.002,1.984,0.323,0.,0.323,0.325,0.,0.325,0.324,0.,0.324,1.888,0.002,1.886,1.661,0.001,1.659
240,2.169,0.002,2.166,0.349,0.,0.349,0.357,0.,0.357,0.354,0.,0.354,2.158,0.,2.158,1.818,0.002,1.815
250,2.467,0.001,2.466,0.385,0.,0.385,0.392,0.,0.392,0.39,0.,0.39,2.439,0.,2.437,2.081,0.001,2.08
300,3.753,0.,3.752,0.54,0.,0.54,0.578,0.,0.578,0.572,0.,0.572,3.69,0.,3.69,3.211,0.,3.211
400,7.845,0.,7.844,0.961,0.,0.961,1.082,0.,1.082,1.076,0.,1.076,7.796,0.002,7.793,6.883,0.,6.881
