param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002
1,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.001,0.
3,0.001,0.,0.001,0.002,0.,0.002,0.002,0.002,0.
4,0.002,0.,0.002,0.002,0.,0.002,0.002,0.001,0.001
5,0.005,0.,0.005,0.005,0.,0.005,0.005,0.003,0.001
6,0.005,0.,0.005,0.005,0.,0.005,0.004,0.,0.004
7,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.004
8,0.006,0.,0.006,0.006,0.,0.006,0.005,0.,0.005
9,0.007,0.,0.007,0.007,0.,0.007,0.006,0.,0.006
10,0.009,0.003,0.005,0.008,0.,0.008,0.048,0.003,0.044
11,0.054,0.,0.054,0.052,0.,0.052,0.006,0.,0.006
12,0.055,0.007,0.047,0.056,0.003,0.053,0.007,0.,0.007
13,0.01,0.,0.01,0.01,0.,0.01,0.008,0.,0.008
14,,,,0.012,0.,0.012,0.024,0.,0.024
15,0.013,0.,0.013,0.013,0.,0.013,0.009,0.,0.009
16,,,,,,,0.01,0.,0.01
17,,,,,,,0.012,0.,0.012
18,,,,,,,0.012,0.,0.012
19,,,,,,,0.013,0.,0.013
20,0.039,0.,0.039,,,,0.014,0.,0.014
21,,,,,,,0.015,0.,0.015
22,,,,0.044,0.,0.044,0.024,0.,0.024
23,,,,,,,0.018,0.,0.018
24,,,,,,,0.019,0.,0.019
25,,,,,,,0.025,0.,0.025
26,0.044,0.,0.044,,,,0.022,0.,0.022
27,,,,,,,0.023,0.,0.023
28,,,,,,,0.032,0.,0.032
29,,,,,,,0.026,0.,0.026
30,,,,0.06,0.,0.06,0.028,0.,0.028
31,,,,,,,0.089,0.,0.089
32,,,,,,,0.032,0.,0.032
33,0.077,0.,0.077,,,,0.032,0.,0.032
34,,,,,,,0.063,0.,0.063
35,,,,,,,0.051,0.,0.051
36,,,,,,,0.038,0.,0.038
37,,,,0.104,0.,0.104,0.039,0.,0.039
38,,,,,,,0.042,0.,0.042
39,0.123,0.,0.123,,,,0.049,0.,0.049
40,,,,,,,0.052,0.,0.052
41,,,,,,,0.047,0.,0.047
42,,,,,,,0.05,0.,0.05
43,,,,,,,0.114,0.003,0.111
44,,,,,,,0.117,0.,0.117
45,,,,0.171,0.,0.171,0.088,0.,0.088
46,0.234,0.,0.234,,,,0.075,0.,0.075
47,,,,,,,0.061,0.,0.061
48,,,,,,,0.064,0.,0.064
49,,,,,,,0.068,0.,0.068
50,,,,,,,0.07,0.,0.07
51,,,,,,,0.074,0.,0.074
52,0.286,0.,0.286,,,,,,
53,,,,0.361,0.,0.361,0.078,0.,0.078
54,,,,,,,0.082,0.,0.082
55,,,,,,,0.083,0.,0.083
56,,,,,,,0.089,0.,0.089
58,,,,,,,0.094,0.,0.094
59,,,,,,,0.097,0.,0.097
60,,,,,,,0.1,0.,0.1
61,,,,,,,0.105,0.,0.105
62,0.494,0.,0.494,,,,,,
63,,,,0.51,0.,0.51,0.109,0.003,0.105
64,,,,,,,0.111,0.,0.111
65,,,,,,,0.116,0.,0.116
66,,,,,,,0.121,0.,0.121
68,,,,,,,0.137,0.,0.137
69,,,,,,,0.139,0.,0.139
70,,,,,,,0.14,0.,0.14
71,,,,,,,0.147,0.,0.147
73,0.617,0.,0.617,,,,0.155,0.,0.155
74,,,,0.652,0.,0.652,0.154,0.,0.154
75,,,,,,,0.168,0.,0.168
78,,,,,,,0.187,0.,0.187
80,,,,,,,0.186,0.,0.186
83,0.867,0.,0.867,,,,0.199,0.,0.199
84,,,,0.916,0.,0.916,,,
85,,,,,,,0.208,0.,0.208
88,,,,,,,0.225,0.,0.225
90,,,,,,,0.231,0.,0.23
93,,,,,,,0.249,0.003,0.245
94,1.26,0.007,1.252,,,,,,
95,,,,1.328,0.,1.328,0.259,0.,0.259
98,,,,,,,0.275,0.,0.275
100,,,,,,,0.285,0.,0.285
104,1.742,0.003,1.738,,,,,,
105,,,,1.77,0.,1.77,,,
106,,,,,,,0.436,0.007,0.428
120,,,,,,,0.419,0.,0.419
140,,,,,,,0.592,0.,0.592
159,,,,,,,0.797,0.,0.797
179,,,,,,,1.06,0.003,1.056
199,,,,,,,1.317,0.003,1.313
