param-n,zify-big-context-regression-quadratic-real,zify-big-context-regression-quadratic-sys,zify-big-context-regression-quadratic-user
1,0.,0.,0.
2,0.,0.,0.
3,0.,0.,0.
4,0.001,0.,0.001
5,0.002,0.,0.002
6,0.003,0.,0.003
7,0.005,0.005,0.
8,0.007,0.001,0.006
9,0.046,0.,0.046
10,0.008,0.,0.008
11,0.025,0.,0.025
12,0.013,0.,0.012
13,0.016,0.002,0.013
14,0.019,0.,0.019
15,0.023,0.,0.023
16,0.032,0.,0.031
17,0.038,0.,0.038
18,0.038,0.,0.038
19,0.104,0.,0.104
20,0.083,0.,0.083
21,0.07,0.,0.07
22,0.071,0.,0.071
23,0.14,0.,0.14
24,0.127,0.,0.127
25,0.095,0.,0.095
26,0.105,0.,0.105
27,0.118,0.,0.118
28,0.129,0.,0.129
29,0.143,0.,0.143
30,0.157,0.,0.157
31,0.173,0.,0.173
32,0.189,0.,0.189
33,0.208,0.,0.208
34,0.227,0.,0.227
35,0.247,0.,0.247
36,0.267,0.,0.267
37,0.289,0.,0.289
38,0.314,0.003,0.31
39,0.335,0.,0.335
40,0.361,0.,0.361
41,0.388,0.,0.388
42,0.422,0.,0.422
43,0.441,0.,0.44
44,0.468,0.,0.468
45,0.505,0.,0.505
50,0.955,0.013,0.941
100,5.082,0.,5.081
150,17.457,0.,17.456
200,42.012,0.,42.009
