param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.002,0.,0.002,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
16383,13,0.015,0.,0.015,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.008,0.,0.008,0.005,0.,0.005
32767,14,0.011,0.,0.011,0.019,0.,0.019,0.093,0.,0.093,0.011,0.,0.011,0.012,0.,0.012,0.011,0.,0.011,0.011,0.,0.011
65535,15,0.044,0.007,0.037,0.022,0.,0.022,0.022,0.,0.022,0.037,0.,0.037,0.034,0.,0.034,0.114,0.,0.114,0.022,0.,0.022
131071,16,0.079,0.003,0.075,0.047,0.,0.047,0.15,0.,0.15,0.057,0.,0.057,0.046,0.,0.046,0.044,0.,0.044,0.057,0.,0.057
262143,17,0.252,0.012,0.24,0.095,0.,0.095,0.092,0.,0.092,0.094,0.,0.094,0.113,0.,0.112,0.092,0.,0.092,0.231,0.,0.231
524287,18,0.327,0.007,0.319,0.199,0.,0.199,0.195,0.,0.195,0.202,0.,0.202,0.196,0.,0.196,0.2,0.,0.2,0.198,0.,0.198
1048575,19,0.524,0.012,0.512,0.426,0.,0.426,0.418,0.,0.418,0.414,0.,0.414,0.414,0.,0.414,0.412,0.,0.412,0.414,0.,0.414
2097151,20,1.297,0.,1.297,0.81,0.,0.81,0.828,0.,0.828,0.813,0.,0.813,0.815,0.,0.815,0.813,0.,0.813,0.817,0.,0.817
4194303,21,1.88,0.,1.88,1.63,0.,1.63,1.639,0.,1.639,1.632,0.,1.632,1.621,0.,1.621,1.63,0.,1.63,1.635,0.004,1.63
8388607,22,3.317,0.,3.317,3.253,0.,3.253,3.23,0.,3.23,3.213,0.,3.213,3.234,0.,3.234,3.244,0.,3.244,3.262,0.,3.262
