param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-real
0,0.004,0.004,0.,0.,0.,0.,0.003,0.002
1,0.009,0.008,0.001,0.,0.,0.001,0.007,0.006
2,0.015,0.014,0.001,0.001,0.001,0.001,0.012,0.011
3,0.023,0.022,0.001,0.001,0.001,0.001,0.019,0.018
4,0.03,0.03,0.001,0.001,0.002,0.002,0.026,0.025
5,0.084,0.08,0.001,0.001,0.002,0.002,0.08,0.076
6,0.043,0.036,0.002,0.002,0.002,0.002,0.038,0.031
7,0.05,0.048,0.003,0.002,0.002,0.002,0.043,0.042
8,0.064,0.06,0.003,0.003,0.003,0.003,0.056,0.053
9,0.079,0.075,0.003,0.003,0.004,0.004,0.071,0.067
10,0.161,0.163,0.004,0.004,0.004,0.004,0.152,0.154
11,0.12,0.114,0.004,0.004,0.006,0.005,0.109,0.104
12,0.147,0.141,0.006,0.005,0.006,0.006,0.135,0.129
13,0.176,0.171,0.006,0.006,0.006,0.006,0.162,0.158
14,0.215,0.201,0.006,0.006,0.008,0.007,0.2,0.186
15,0.258,0.242,0.008,0.007,0.008,0.008,0.241,0.225
16,0.306,0.286,0.008,0.008,0.01,0.01,0.287,0.267
17,0.354,0.34,0.009,0.009,0.011,0.011,0.332,0.319
18,0.407,0.393,0.01,0.01,0.013,0.012,0.382,0.369
19,0.476,0.459,0.013,0.01,0.013,0.014,0.449,0.433
20,0.537,0.53,0.012,0.012,0.015,0.015,0.509,0.502
21,0.637,0.615,0.013,0.012,0.017,0.017,0.606,0.585
22,0.744,0.708,0.014,0.014,0.019,0.018,0.71,0.674
23,0.863,0.822,0.015,0.015,0.02,0.02,0.826,0.786
24,0.979,0.929,0.017,0.017,0.022,0.022,0.938,0.888
25,1.111,1.071,0.017,0.017,0.026,0.024,1.067,1.029
30,1.934,1.922,0.024,0.023,0.037,0.039,1.872,1.858
35,3.339,3.295,0.03,0.031,0.059,0.056,3.248,3.206
40,5.272,5.265,0.038,0.039,0.08,0.08,5.153,5.145
45,8.102,8.099,0.047,0.048,0.109,0.112,7.945,7.938
50,11.896,11.894,0.058,0.058,0.146,0.145,11.691,11.69
