param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.003,0.,0.003,0.003,0.,0.003,0.003,0.003,0.
20,0.008,0.,0.008,0.047,0.016,0.031,0.01,0.,0.01
30,0.02,0.,0.02,0.021,0.,0.021,0.02,0.,0.02
40,0.042,0.,0.042,0.042,0.,0.042,0.042,0.,0.042
50,0.078,0.,0.078,0.078,0.,0.077,0.121,0.023,0.098
60,0.126,0.,0.126,0.127,0.,0.127,0.126,0.,0.126
70,0.195,0.,0.195,0.196,0.,0.196,0.197,0.,0.197
80,0.289,0.,0.289,0.289,0.,0.289,0.29,0.,0.29
90,0.406,0.,0.406,0.407,0.,0.407,0.41,0.,0.41
100,0.569,0.,0.569,0.565,0.,0.565,0.562,0.,0.562
110,0.732,0.,0.732,0.73,0.,0.73,0.73,0.,0.73
120,0.947,0.,0.947,0.949,0.,0.949,0.954,0.,0.952
130,1.209,0.,1.209,1.212,0.,1.212,1.207,0.,1.207
140,1.502,0.,1.502,1.518,0.,1.518,1.505,0.,1.505
150,1.9,0.,1.9,1.905,0.,1.905,1.895,0.,1.895
160,2.252,0.,2.252,2.239,0.,2.238,2.258,0.003,2.254
170,2.705,0.,2.704,2.696,0.,2.695,2.693,0.,2.693
180,3.197,0.,3.197,3.215,0.004,3.21,3.185,0.,3.185
190,3.819,0.,3.819,3.784,0.,3.784,3.786,0.,3.786
200,4.504,0.,4.504,4.524,0.,4.524,4.493,0.,4.493
