param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-real
0,0.,0.,0.
1,0.001,0.,0.001
2,0.001,0.001,0.001
10,0.006,0.006,0.006
20,0.014,0.065,0.021
30,0.035,0.036,0.035
40,0.074,0.075,0.075
50,0.136,0.136,0.198
60,0.222,0.222,0.223
70,0.342,0.341,0.343
80,0.499,0.496,0.5
90,0.704,0.702,0.703
100,0.956,0.952,0.956
110,1.258,1.254,1.255
120,1.616,1.624,1.62
130,2.063,2.065,2.051
140,2.567,2.566,2.576
150,3.123,3.147,3.141
160,3.782,3.77,3.817
170,4.546,4.553,4.537
180,5.355,5.349,5.373
190,6.288,6.301,6.309
200,7.429,7.422,7.365
