param-n,abstract+setoid-rewrite-regression-cubic-real,close-abstract+setoid-rewrite-regression-quadratic-real,noop-repeat-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-real
0,0.001,0.,0.,0.001,0.001,0.
1,0.002,0.,0.,0.,0.003,0.001
2,0.004,0.,0.001,0.001,0.004,0.003
10,0.019,0.005,0.006,0.007,0.021,0.014
20,0.095,0.009,0.014,0.021,0.098,0.085
30,0.081,0.02,0.037,0.091,0.098,0.06
40,0.152,0.034,0.078,0.075,0.192,0.118
50,0.301,0.049,0.138,0.198,0.392,0.251
60,0.384,0.079,0.227,0.224,0.54,0.304
70,0.553,0.105,0.348,0.347,0.805,0.446
80,0.759,0.128,0.506,0.505,1.152,0.63
90,1.029,0.164,0.725,0.706,1.585,0.865
100,1.305,0.191,0.957,0.947,2.09,1.113
110,1.711,0.236,1.274,1.257,2.769,1.474
120,2.04,0.25,1.568,1.611,3.348,1.79
130,2.5,0.292,1.978,2.048,4.216,2.207
140,3.092,0.365,2.581,2.549,5.361,2.726
150,3.828,0.409,3.12,3.105,6.591,3.417
160,4.655,0.488,3.826,3.794,7.967,4.166
170,5.416,0.5,4.383,4.551,9.16,4.914
180,6.078,0.551,5.362,5.406,10.859,5.526
190,7.12,0.646,6.102,6.338,12.872,6.473
200,8.256,0.682,7.401,7.341,14.796,7.573
210,9.62,0.754,8.241,8.581,16.854,8.865
220,10.65,0.823,9.472,9.802,19.6,9.826
230,12.234,0.951,11.283,11.202,21.995,11.282
240,13.772,0.98,12.324,12.747,25.302,12.79
250,15.406,1.119,14.304,14.175,28.574,14.286
300,26.064,1.611,24.163,24.129,49.62,24.451
400,61.427,2.731,58.969,59.439,116.652,58.694
