param-n abstract-regression-cubic-real abstract-regression-cubic-sys abstract-regression-cubic-user close-abstract-regression-cubic-real close-abstract-regression-cubic-sys close-abstract-regression-cubic-user fast-rewrite-regression-cubic-real fast-rewrite-regression-cubic-sys fast-rewrite-regression-cubic-user pose-build-and-refine-regression-cubic-real pose-build-and-refine-regression-cubic-sys pose-build-and-refine-regression-cubic-user refine-regression-quadratic-regression-linear-real refine-regression-quadratic-regression-linear-sys refine-regression-quadratic-regression-linear-user
1 0.001 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
2 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
3 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
4 0.001 0. 0.001 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
5 0.002 0. 0.002 0. 0. 0. 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
6 0.002 0. 0.002 0.001 0. 0.001 0.001 0. 0.001 0.001 0. 0.001 0. 0. 0.
7 0.003 0. 0.003 0. 0. 0. 0.002 0. 0.002 0.002 0. 0.002 0. 0. 0.
8 0.003 0.003 0. 0. 0. 0. 0.002 0.002 0. 0.002 0.002 0. 0. 0. 0.
9 0.004 0.004 0. 0.001 0.001 0. 0.002 0.002 0. 0.002 0.002 0. 0. 0. 0.
10 0.003 0.003 0. 0. 0. 0. 0.003 0.003 0. 0.003 0.003 0. 0. 0. 0.
11 0.003 0. 0.003 0. 0. 0. 0.003 0. 0.002 0.003 0. 0.002 0. 0. 0.
12 0.004 0.003 0.001 0. 0. 0. 0.003 0.003 0. 0.003 0.003 0. 0. 0. 0.
13 0.005 0.004 0. 0.001 0. 0. 0.003 0.003 0. 0.003 0.003 0. 0. 0. 0.
14 0.005 0.003 0.001 0. 0. 0. 0.004 0.003 0.001 0.004 0.003 0.001 0. 0. 0.
15 0.06 0. 0.06 0.001 0. 0. 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
16 0.005 0. 0.005 0. 0. 0. 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
17 0.004 0. 0.004 0.001 0. 0.001 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
18 0.005 0. 0.005 0.001 0. 0.001 0.003 0. 0.003 0.003 0. 0.003 0. 0. 0.
19 0.005 0. 0.005 0.001 0. 0.001 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
20 0.005 0. 0.005 0.001 0. 0.001 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
21 0.006 0. 0.006 0.001 0. 0.001 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
22 0.006 0. 0.006 0.001 0. 0.001 0.004 0. 0.004 0.004 0. 0.004 0. 0. 0.
23 0.007 0. 0.007 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
24 0.007 0. 0.007 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
25 0.008 0. 0.008 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
26 0.007 0. 0.007 0.001 0. 0.001 0.005 0. 0.005 0.005 0. 0.005 0. 0. 0.
27 0.011 0. 0.011 0.001 0. 0.001 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
28 0.009 0. 0.009 0.002 0. 0.002 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
29 0.009 0. 0.009 0.002 0. 0.002 0.006 0. 0.006 0.006 0. 0.006 0. 0. 0.
30 0.01 0. 0.01 0.002 0. 0.002 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
31 0.01 0. 0.01 0.002 0. 0.002 0.007 0. 0.007 0.007 0. 0.007 0. 0. 0.
32 0.011 0. 0.011 0.002 0. 0.002 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
33 0.012 0. 0.012 0.003 0. 0.003 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
34 0.011 0. 0.011 0.002 0. 0.002 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
35 0.016 0. 0.016 0.002 0. 0.002 0.008 0. 0.008 0.008 0. 0.008 0. 0. 0.
36 0.012 0. 0.012 0.003 0. 0.003 0.009 0. 0.009 0.009 0. 0.009 0. 0. 0.
37 0.014 0. 0.014 0.003 0. 0.003 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
38 0.014 0. 0.014 0.003 0. 0.003 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
39 0.014 0. 0.014 0.003 0. 0.003 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
40 0.015 0. 0.015 0.003 0. 0.003 0.011 0. 0.011 0.011 0. 0.011 0. 0. 0.
41 0.017 0. 0.017 0.003 0. 0.003 0.013 0. 0.013 0.013 0. 0.013 0. 0. 0.
42 0.015 0. 0.015 0.003 0. 0.003 0.01 0. 0.01 0.01 0. 0.01 0. 0. 0.
43 0.017 0. 0.017 0.004 0. 0.004 0.012 0. 0.012 0.011 0. 0.011 0. 0. 0.
44 0.017 0. 0.017 0.004 0. 0.004 0.012 0. 0.012 0.012 0. 0.012 0. 0. 0.
45 0.021 0. 0.021 0.004 0. 0.004 0.016 0. 0.016 0.016 0. 0.016 0. 0. 0.
46 0.026 0. 0.026 0.004 0. 0.004 0.021 0. 0.021 0.021 0. 0.021 0. 0. 0.
47 0.019 0. 0.019 0.004 0. 0.004 0.013 0. 0.013 0.013 0. 0.013 0. 0. 0.
48 0.021 0. 0.021 0.005 0. 0.005 0.014 0. 0.014 0.014 0. 0.014 0. 0. 0.
49 0.018 0. 0.018 0.004 0. 0.004 0.013 0. 0.013 0.013 0. 0.013 0. 0. 0.
50 0.024 0.007 0.017 0.006 0. 0.006 0.018 0.007 0.01 0.018 0.007 0.01 0. 0. 0.
51 0.021 0. 0.021 0.005 0. 0.005 0.015 0. 0.015 0.015 0. 0.015 0. 0. 0.
52 0.023 0. 0.023 0.005 0. 0.005 0.015 0. 0.015 0.015 0. 0.015 0. 0. 0.
53 0.022 0. 0.022 0.006 0. 0.006 0.016 0. 0.016 0.016 0. 0.016 0. 0. 0.
54 0.023 0. 0.023 0.006 0. 0.006 0.016 0. 0.016 0.016 0. 0.016 0. 0. 0.
55 0.024 0. 0.024 0.007 0. 0.007 0.016 0. 0.016 0.016 0. 0.016 0. 0. 0.
56 0.029 0. 0.029 0.007 0. 0.007 0.017 0. 0.017 0.017 0. 0.017 0. 0. 0.
57 0.025 0. 0.025 0.007 0. 0.007 0.017 0. 0.017 0.017 0. 0.017 0. 0. 0.
58 0.026 0. 0.026 0.006 0. 0.006 0.018 0. 0.018 0.018 0. 0.018 0. 0. 0.
59 0.029 0. 0.029 0.007 0. 0.007 0.022 0. 0.022 0.022 0. 0.022 0. 0. 0.
60 0.028 0. 0.028 0.008 0. 0.008 0.019 0. 0.019 0.019 0. 0.019 0.001 0. 0.001
61 0.028 0. 0.028 0.008 0. 0.008 0.019 0. 0.019 0.019 0. 0.019 0. 0. 0.
62 0.029 0. 0.029 0.008 0. 0.008 0.02 0. 0.02 0.02 0. 0.02 0. 0. 0.
63 0.038 0. 0.038 0.009 0. 0.009 0.029 0. 0.029 0.029 0. 0.029 0.001 0. 0.001
64 0.031 0. 0.031 0.008 0. 0.008 0.022 0. 0.022 0.022 0. 0.022 0.001 0. 0.001
65 0.032 0. 0.032 0.009 0. 0.009 0.022 0. 0.022 0.022 0. 0.022 0.001 0. 0.001
66 0.036 0. 0.036 0.01 0. 0.01 0.025 0. 0.025 0.025 0. 0.025 0. 0. 0.
67 0.033 0. 0.032 0.009 0. 0.009 0.023 0. 0.023 0.022 0. 0.023 0.001 0. 0.001
68 0.035 0. 0.035 0.009 0. 0.009 0.025 0. 0.025 0.025 0. 0.025 0.001 0. 0.001
69 0.043 0. 0.043 0.013 0. 0.013 0.029 0. 0.029 0.029 0. 0.029 0.001 0. 0.001
70 0.035 0. 0.035 0.011 0. 0.011 0.023 0. 0.023 0.023 0. 0.023 0.001 0. 0.001
71 0.037 0. 0.037 0.011 0. 0.011 0.024 0. 0.024 0.024 0. 0.024 0.001 0. 0.001
72 0.041 0. 0.041 0.015 0. 0.015 0.025 0. 0.025 0.025 0. 0.025 0.001 0. 0.001
73 0.038 0. 0.038 0.011 0. 0.011 0.026 0. 0.026 0.026 0. 0.026 0.001 0. 0.001
74 0.042 0. 0.042 0.012 0. 0.012 0.029 0. 0.029 0.029 0. 0.029 0.001 0. 0.001
75 0.039 0. 0.039 0.012 0. 0.012 0.026 0. 0.026 0.026 0. 0.026 0.001 0. 0.001
76 0.041 0. 0.041 0.012 0. 0.012 0.027 0. 0.027 0.027 0. 0.027 0.001 0. 0.001
77 0.044 0. 0.044 0.013 0. 0.013 0.03 0. 0.03 0.03 0. 0.03 0.001 0. 0.001
78 0.044 0. 0.044 0.013 0. 0.013 0.03 0. 0.03 0.03 0. 0.03 0.001 0. 0.001
79 0.049 0. 0.049 0.014 0. 0.014 0.033 0. 0.033 0.033 0. 0.033 0.001 0. 0.001
80 0.044 0. 0.044 0.013 0. 0.013 0.03 0. 0.03 0.03 0. 0.03 0.001 0. 0.001
81 0.046 0. 0.046 0.016 0. 0.016 0.029 0. 0.029 0.029 0. 0.029 0.001 0. 0.001
82 0.046 0.003 0.042 0.014 0.003 0.011 0.031 0. 0.031 0.031 0. 0.031 0.001 0. 0.001
83 0.048 0. 0.048 0.015 0. 0.015 0.032 0. 0.032 0.032 0. 0.032 0.001 0. 0.001
84 0.049 0. 0.049 0.015 0. 0.015 0.032 0. 0.032 0.032 0. 0.032 0.001 0. 0.001
85 0.05 0. 0.05 0.016 0. 0.016 0.033 0. 0.032 0.033 0. 0.032 0.001 0. 0.001
86 0.053 0. 0.053 0.016 0. 0.016 0.035 0. 0.035 0.035 0. 0.035 0.001 0. 0.001
87 0.053 0. 0.053 0.018 0. 0.018 0.033 0. 0.033 0.033 0. 0.033 0.001 0. 0.001
88 0.059 0. 0.059 0.018 0. 0.018 0.04 0. 0.04 0.04 0. 0.04 0.001 0. 0.001
89 0.054 0. 0.054 0.018 0. 0.018 0.035 0. 0.035 0.035 0. 0.035 0.001 0. 0.001
90 0.068 0. 0.068 0.017 0. 0.017 0.049 0. 0.049 0.049 0. 0.049 0.001 0. 0.001
91 0.057 0. 0.057 0.019 0. 0.019 0.037 0. 0.037 0.037 0. 0.037 0.001 0. 0.001
92 0.062 0. 0.062 0.02 0. 0.02 0.041 0. 0.041 0.041 0. 0.041 0.001 0. 0.001
93 0.06 0. 0.06 0.021 0. 0.021 0.037 0. 0.037 0.037 0. 0.037 0.001 0. 0.001
94 0.061 0. 0.061 0.021 0. 0.021 0.039 0. 0.039 0.039 0. 0.039 0.001 0. 0.001
95 0.063 0. 0.063 0.021 0. 0.021 0.04 0. 0.04 0.04 0. 0.04 0.002 0. 0.002
96 0.063 0. 0.063 0.022 0. 0.022 0.04 0. 0.04 0.04 0. 0.04 0.002 0. 0.002
97 0.066 0. 0.066 0.021 0. 0.021 0.044 0. 0.044 0.044 0. 0.044 0.001 0. 0.001
98 0.07 0. 0.07 0.023 0. 0.023 0.045 0. 0.045 0.045 0. 0.045 0.005 0. 0.005
99 0.074 0. 0.074 0.022 0. 0.022 0.05 0. 0.05 0.05 0. 0.05 0.001 0. 0.001
100 0.122 0.036 0.086 0.021 0. 0.021 0.1 0.036 0.064 0.1 0.036 0.064 0.001 0. 0.
110 0.082 0. 0.082 0.032 0. 0.032 0.049 0. 0.049 0.049 0. 0.049 0.001 0. 0.001
120 0.094 0. 0.094 0.036 0. 0.036 0.056 0. 0.056 0.056 0. 0.056 0.001 0. 0.001
130 0.146 0. 0.146 0.045 0. 0.045 0.099 0. 0.099 0.099 0. 0.099 0.001 0. 0.001
140 0.162 0.003 0.158 0.055 0. 0.055 0.105 0.003 0.101 0.105 0.003 0.101 0.001 0. 0.001
150 0.161 0. 0.161 0.064 0. 0.064 0.097 0. 0.097 0.097 0. 0.097 0.001 0. 0.001
160 0.213 0. 0.213 0.078 0. 0.078 0.133 0. 0.133 0.133 0. 0.133 0.002 0. 0.002
170 0.219 0.003 0.215 0.091 0. 0.091 0.127 0.003 0.123 0.127 0.003 0.123 0.002 0. 0.002
180 0.254 0. 0.254 0.115 0. 0.115 0.138 0. 0.138 0.138 0. 0.138 0.002 0. 0.002
190 0.285 0.007 0.277 0.124 0. 0.124 0.159 0.007 0.152 0.159 0.007 0.152 0.002 0. 0.002
200 0.328 0.003 0.325 0.141 0. 0.14 0.187 0.003 0.184 0.187 0.003 0.184 0.003 0. 0.003
210 0.369 0.003 0.365 0.167 0. 0.167 0.2 0.003 0.196 0.2 0.003 0.196 0.002 0. 0.002
220 0.413 0. 0.413 0.187 0. 0.187 0.225 0. 0.225 0.225 0. 0.225 0.002 0. 0.002
230 0.475 0.003 0.471 0.213 0. 0.213 0.26 0.003 0.256 0.26 0.003 0.256 0.003 0. 0.003
240 0.534 0.011 0.522 0.25 0.003 0.246 0.282 0.008 0.274 0.282 0.008 0.274 0.003 0. 0.003
250 0.543 0.004 0.539 0.26 0. 0.26 0.282 0.004 0.278 0.282 0.004 0.277 0.003 0. 0.003
260 0.584 0.011 0.572 0.299 0. 0.298 0.283 0.011 0.271 0.283 0.011 0.271 0.003 0. 0.003
270 0.628 0.011 0.616 0.334 0. 0.334 0.292 0.011 0.28 0.292 0.011 0.28 0.003 0. 0.003
280 0.717 0. 0.717 0.371 0. 0.37 0.345 0. 0.344 0.345 0. 0.344 0.003 0. 0.003
290 0.804 0. 0.804 0.414 0. 0.414 0.389 0. 0.389 0.389 0. 0.389 0.003 0. 0.003
300 0.777 0.003 0.773 0.43 0. 0.429 0.347 0.003 0.343 0.347 0.003 0.343 0.006 0. 0.006
310 0.903 0.011 0.891 0.515 0.003 0.511 0.386 0.007 0.378 0.386 0.007 0.378 0.005 0. 0.005
320 0.965 0.004 0.961 0.541 0. 0.541 0.422 0.004 0.418 0.422 0.004 0.418 0.004 0. 0.004
330 1.108 0. 1.108 0.632 0. 0.632 0.475 0. 0.475 0.475 0. 0.475 0.004 0. 0.004
340 1.12 0. 1.119 0.651 0. 0.651 0.467 0. 0.467 0.467 0. 0.467 0.005 0. 0.005
350 1.184 0.015 1.168 0.692 0.004 0.688 0.491 0.011 0.479 0.491 0.011 0.479 0.004 0. 0.004
360 1.274 0. 1.274 0.768 0. 0.767 0.505 0. 0.505 0.505 0. 0.505 0.005 0. 0.005
370 1.429 0. 1.429 0.842 0. 0.842 0.585 0. 0.585 0.585 0. 0.585 0.005 0. 0.005
380 1.48 0. 1.48 0.906 0. 0.906 0.572 0. 0.572 0.572 0. 0.571 0.005 0. 0.005
390 1.544 0.003 1.54 0.967 0.003 0.963 0.575 0. 0.575 0.575 0. 0.575 0.005 0. 0.005
400 1.595 0.003 1.591 0.982 0.003 0.978 0.612 0. 0.612 0.612 0. 0.612 0.005 0. 0.005
500 3.012 0. 3.012 2.026 0. 2.026 0.984 0. 0.984 0.984 0. 0.984 0.007 0. 0.007
600 4.823 0.012 4.811 3.448 0.004 3.444 1.373 0.007 1.365 1.373 0.007 1.365 0.008 0. 0.008
700 7.255 0. 7.254 5.488 0. 5.487 1.765 0. 1.765 1.765 0. 1.765 0.01 0. 0.01
800 10.671 0.003 10.666 8.381 0.003 8.376 2.288 0. 2.288 2.288 0. 2.288 0.012 0. 0.012
