param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-real
3,1,0.,0.,0.,0.
7,2,0.,0.,0.,0.
15,3,0.,0.,0.,0.
31,4,0.,0.,0.,0.
63,5,0.,0.,0.,0.
127,6,0.,0.,0.,0.
255,7,0.,0.,0.,0.
511,8,0.,0.,0.,0.
1023,9,0.,0.,0.,0.
2047,10,0.001,0.001,0.001,0.001
4095,11,0.002,0.051,0.001,0.001
8191,12,0.003,0.003,0.003,0.003
16383,13,0.006,0.006,0.006,0.006
32767,14,0.013,0.012,0.012,0.036
65535,15,0.052,0.024,0.06,0.024
131071,16,0.097,0.112,0.053,0.051
262143,17,0.2,0.11,0.11,0.111
524287,18,0.359,0.225,0.224,0.223
1048575,19,0.762,0.455,0.453,0.448
2097151,20,1.204,0.929,0.936,0.919
4194303,21,1.943,1.827,1.896,1.896
8388607,22,3.706,3.58,3.595,3.559
