param-n,abstract-regression-quadratic-real,close-abstract-regression-quadratic-real,ssr-rewrite!-regression-quadratic-real,ssr-rewrite?-noop-regression-linear-real
1,0.,0.,0.,0.
2,0.001,0.,0.,0.
3,0.001,0.,0.001,0.
4,0.002,0.001,0.,0.
5,0.002,0.,0.001,0.
6,0.002,0.,0.001,0.
7,0.003,0.001,0.001,0.
8,0.004,0.001,0.001,0.
9,0.004,0.002,0.002,0.
10,0.005,0.002,0.002,0.
11,0.006,0.003,0.003,0.
12,0.007,0.003,0.004,0.
13,0.062,0.002,0.059,0.
14,0.006,0.003,0.002,0.
15,0.007,0.003,0.003,0.
16,0.007,0.003,0.003,0.
17,0.008,0.004,0.004,0.
18,0.009,0.004,0.004,0.
19,0.01,0.005,0.005,0.
20,0.011,0.005,0.005,0.
21,0.015,0.006,0.008,0.
22,0.014,0.007,0.006,0.
23,0.015,0.008,0.006,0.
24,0.016,0.008,0.007,0.
25,0.02,0.012,0.007,0.
26,0.019,0.01,0.008,0.
27,0.02,0.011,0.008,0.
28,0.021,0.011,0.009,0.
29,0.025,0.012,0.012,0.
30,0.024,0.013,0.01,0.
31,0.03,0.018,0.011,0.
32,0.029,0.015,0.012,0.
33,0.029,0.016,0.012,0.
34,0.034,0.017,0.016,0.
35,0.033,0.018,0.014,0.
36,0.04,0.019,0.02,0.
37,0.036,0.02,0.015,0.
38,0.043,0.021,0.021,0.
39,0.041,0.023,0.017,0.
40,0.047,0.025,0.021,0.
41,0.048,0.028,0.019,0.
42,0.047,0.026,0.019,0.
43,0.052,0.028,0.023,0.
44,0.052,0.03,0.02,0.
45,0.061,0.031,0.029,0.
46,0.056,0.031,0.023,0.
47,0.06,0.032,0.026,0.
48,0.066,0.038,0.027,0.
49,0.066,0.038,0.026,0.
50,0.133,0.092,0.04,0.
51,0.074,0.046,0.027,0.
52,0.075,0.043,0.031,0.
53,0.076,0.046,0.029,0.
54,0.077,0.044,0.031,0.
55,0.082,0.049,0.032,0.
56,0.084,0.046,0.037,0.
57,0.089,0.048,0.039,0.
58,0.091,0.053,0.037,0.
59,0.094,0.057,0.035,0.
60,0.097,0.058,0.037,0.
61,0.097,0.054,0.042,0.
62,0.107,0.06,0.045,0.
63,0.106,0.064,0.041,0.
64,0.121,0.064,0.055,0.
65,0.113,0.068,0.043,0.
66,0.12,0.067,0.052,0.
67,0.117,0.068,0.048,0.
68,0.123,0.072,0.049,0.
69,0.134,0.078,0.054,0.
70,0.129,0.071,0.056,0.
71,0.142,0.079,0.061,0.
72,0.146,0.084,0.061,0.
73,0.149,0.086,0.06,0.
74,0.152,0.088,0.063,0.
75,0.155,0.089,0.064,0.
76,0.155,0.09,0.064,0.
77,0.16,0.093,0.066,0.
78,0.156,0.092,0.062,0.
79,0.154,0.087,0.065,0.
80,0.162,0.087,0.073,0.
81,0.163,0.09,0.071,0.
82,0.167,0.092,0.073,0.
83,0.182,0.1,0.08,0.
84,0.177,0.1,0.075,0.
85,0.183,0.098,0.084,0.
86,0.183,0.103,0.078,0.
87,0.204,0.112,0.09,0.
88,0.212,0.113,0.097,0.
89,0.196,0.111,0.083,0.
90,0.202,0.116,0.084,0.
91,0.207,0.112,0.093,0.
92,0.232,0.136,0.095,0.
93,0.24,0.142,0.096,0.
94,0.252,0.141,0.11,0.
95,0.261,0.163,0.096,0.
96,0.275,0.174,0.099,0.
97,0.255,0.153,0.101,0.
98,0.257,0.151,0.103,0.
99,0.281,0.16,0.105,0.
100,0.263,0.15,0.111,0.
110,0.34,0.199,0.139,0.
120,0.373,0.213,0.158,0.
130,0.43,0.243,0.185,0.
140,0.497,0.284,0.211,0.
150,0.638,0.375,0.262,0.
160,0.636,0.354,0.28,0.
170,0.743,0.432,0.309,0.
180,0.879,0.519,0.358,0.
190,0.964,0.557,0.405,0.
200,1.018,0.572,0.445,0.
210,1.095,0.618,0.474,0.
220,1.186,0.659,0.524,0.
230,1.358,0.801,0.555,0.
240,1.541,0.868,0.671,0.
250,1.482,0.836,0.644,0.
260,1.678,0.937,0.739,0.
270,1.851,1.07,0.779,0.
280,2.07,1.166,0.901,0.
290,2.087,1.164,0.921,0.
300,2.228,1.244,0.982,0.
310,2.476,1.441,1.033,0.
320,2.568,1.421,1.144,0.
330,2.7,1.519,1.179,0.
340,2.879,1.587,1.29,0.
350,3.031,1.732,1.297,0.
360,3.131,1.741,1.388,0.
370,3.375,1.829,1.543,0.
380,3.464,1.91,1.552,0.
390,3.699,2.008,1.688,0.
400,3.908,2.151,1.755,0.
