param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-cubic-real reify-regression-cubic-sys reify-regression-cubic-user
1 0. 0. 0. 0.001 0.001 0.
2 0. 0. 0. 0.003 0.003 0.
3 0. 0. 0. 0.005 0.005 0.
4 0. 0. 0. 0.008 0.008 0.
5 0. 0. 0. 0.011 0. 0.011
6 0. 0. 0. 0.015 0.003 0.011
7 0. 0. 0. 0.017 0.004 0.012
8 0. 0. 0. 0.074 0.011 0.063
9 0. 0. 0. 0.02 0. 0.02
10 0. 0. 0. 0.026 0. 0.026
11 0. 0. 0. 0.029 0. 0.029
12 0. 0. 0. 0.035 0. 0.035
13 0. 0. 0. 0.039 0. 0.039
14 0. 0. 0. 0.048 0. 0.048
15 0. 0. 0. 0.052 0. 0.052
16 0. 0. 0. 0.053 0. 0.053
17 0. 0. 0. 0.062 0. 0.062
18 0. 0. 0. 0.087 0. 0.086
19 0. 0. 0. 0.079 0. 0.079
20 0. 0. 0. 0.09 0. 0.09
21 0. 0. 0. 0.096 0. 0.096
22 0. 0. 0. 0.108 0. 0.108
23 0. 0. 0. 0.116 0. 0.116
24 0. 0. 0. 0.123 0. 0.123
25 0. 0. 0. 0.144 0. 0.144
26 0. 0. 0. 0.158 0. 0.158
27 0.001 0. 0.001 0.18 0. 0.18
28 0.001 0. 0.001 0.195 0. 0.195
29 0. 0. 0. 0.202 0.004 0.198
30 0. 0. 0. 0.215 0. 0.215
31 0.001 0. 0. 0.249 0. 0.248
32 0.001 0. 0. 0.258 0.007 0.25
33 0.001 0. 0.001 0.264 0. 0.264
34 0.001 0. 0.001 0.31 0.004 0.305
35 0.001 0. 0.001 0.322 0. 0.322
36 0.002 0. 0.002 0.34 0.003 0.337
37 0.001 0. 0.001 0.363 0.004 0.359
38 0.001 0. 0.001 0.371 0. 0.371
39 0.001 0. 0.001 0.393 0. 0.393
40 0.001 0. 0.001 0.453 0.003 0.449
41 0.001 0. 0.001 0.461 0.003 0.457
42 0.001 0. 0.001 0.486 0.003 0.482
43 0.001 0. 0.001 0.513 0. 0.513
44 0.001 0. 0.001 0.564 0. 0.564
45 0.001 0. 0.001 0.607 0.008 0.595
46 0.001 0. 0.001 0.623 0. 0.623
47 0.001 0. 0.001 0.664 0. 0.663
48 0.001 0. 0.001 0.749 0. 0.749
49 0.002 0. 0.002 0.732 0.003 0.728
50 0.001 0. 0.001 0.818 0.004 0.814
51 0.001 0. 0.001 0.884 0. 0.884
52 0.001 0. 0.001 0.867 0. 0.867
53 0.002 0. 0.002 0.912 0.003 0.909
54 0.001 0. 0.001 0.951 0. 0.95
55 0.001 0. 0.001 1.009 0. 1.009
56 0.001 0. 0.001 1.091 0. 1.09
57 0.001 0. 0.001 1.133 0. 1.133
58 0.001 0.001 0. 1.22 0. 1.22
59 0.001 0. 0.001 1.235 0.001 1.233
60 0.001 0. 0.001 1.31 0. 1.31
61 0.002 0. 0.002 1.411 0. 1.41
62 0.002 0. 0.002 1.456 0.007 1.448
63 0.001 0. 0.001 1.495 0. 1.494
64 0.001 0. 0.001 1.569 0.003 1.565
65 0.001 0. 0.001 1.609 0. 1.608
66 0.001 0. 0.001 1.691 0. 1.69
67 0.001 0. 0.001 1.804 0. 1.803
68 0.001 0. 0.001 1.899 0. 1.898
69 0.001 0. 0.001 2.003 0.003 1.998
70 0.002 0. 0.002 2.089 0. 2.089
71 0.002 0. 0.002 2.105 0. 2.105
72 0.002 0. 0.002 2.234 0.004 2.229
73 0.001 0. 0.001 2.31 0. 2.31
74 0.002 0. 0.002 2.412 0.004 2.407
75 0.002 0. 0.002 2.514 0. 2.513
76 0.002 0. 0.002 2.672 0. 2.671
77 0.002 0. 0.002 2.782 0. 2.781
78 0.002 0. 0.002 2.833 0. 2.833
79 0.002 0. 0.002 3.029 0.003 3.025
80 0.002 0. 0.002 3.094 0. 3.093
81 0.002 0. 0.002 3.265 0.003 3.259
82 0.002 0. 0.002 3.334 0. 3.333
83 0.002 0. 0.002 3.487 0.004 3.482
84 0.002 0. 0.002 3.664 0. 3.663
85 0.002 0. 0.002 3.729 0. 3.728
86 0.002 0. 0.002 3.827 0. 3.826
87 0.002 0. 0.002 3.986 0. 3.984
88 0.002 0. 0.008 4.215 0. 4.208
89 0.002 0. 0.002 4.322 0. 4.321
90 0.002 0. 0.002 4.466 0. 4.465
91 0.002 0. 0.002 4.541 0. 4.54
92 0.002 0. 0.002 4.762 0. 4.76
93 0.002 0. 0.002 4.968 0.004 4.963
94 0.002 0. 0.002 5.136 0.004 5.13
95 0.002 0. 0.002 5.275 0.004 5.258
96 0.002 0. 0.002 5.431 0. 5.429
97 0.002 0. 0.002 5.689 0.004 5.683
98 0.002 0. 0.002 5.827 0. 5.826
99 0.002 0. 0.002 5.948 0. 5.946
100 0.003 0. 0.003 6.159 0. 6.157
110 0.002 0. 0.002 8.54 0.028 8.509
120 0.003 0. 0.003 11.137 0.02 11.112
130 0.003 0. 0.003 14.725 0.032 14.688
140 0.003 0. 0.003 19.004 0.024 18.976
150 0.003 0. 0.003 23.962 0.023 23.932
160 0.004 0. 0.004 29.902 0.003 29.886
170 0.004 0. 0.004 37.093 0.008 37.073
180 0.006 0. 0.006 45.642 0.012 45.615
190 0.005 0. 0.005 54.972 0.008 54.949
200 0.004 0. 0.004 65.609 0.012 65.578
