param-n abstract-regression-linear-real abstract-regression-linear-sys abstract-regression-linear-user reify-regression-cubic-real reify-regression-cubic-sys reify-regression-cubic-user
1 0. 0. 0. 0.003 0. 0.002
2 0. 0. 0. 0.004 0. 0.004
3 0.001 0. 0. 0.006 0.003 0.003
4 0. 0. 0. 0.008 0.004 0.004
5 0.001 0. 0.001 0.01 0. 0.01
6 0.001 0. 0. 0.012 0.007 0.005
7 0. 0. 0. 0.055 0.003 0.051
8 0. 0. 0. 0.015 0. 0.015
9 0.001 0. 0.001 0.018 0. 0.018
10 0.001 0. 0.001 0.021 0. 0.021
11 0.001 0. 0.001 0.026 0. 0.026
12 0.001 0. 0.001 0.026 0. 0.026
13 0.001 0. 0.001 0.03 0. 0.03
14 0.001 0. 0.001 0.038 0. 0.038
15 0.001 0. 0.001 0.039 0. 0.038
16 0.001 0. 0.001 0.045 0.003 0.041
17 0.001 0. 0.001 0.046 0. 0.046
18 0.001 0. 0.001 0.056 0. 0.056
19 0.001 0. 0.001 0.059 0. 0.059
20 0.001 0. 0.001 0.06 0. 0.06
21 0.001 0. 0.001 0.073 0. 0.073
22 0.001 0. 0.001 0.072 0. 0.072
23 0.002 0. 0.002 0.08 0. 0.08
24 0.002 0. 0.001 0.088 0. 0.088
25 0.001 0. 0.001 0.099 0. 0.099
26 0.005 0. 0.005 0.096 0. 0.096
27 0.002 0. 0.002 0.108 0. 0.108
28 0.001 0. 0.001 0.118 0. 0.118
29 0.003 0. 0.003 0.119 0. 0.119
30 0.002 0. 0.002 0.131 0. 0.131
31 0.002 0. 0.002 0.147 0. 0.147
32 0.002 0. 0.002 0.158 0.003 0.154
33 0.002 0. 0.002 0.164 0. 0.164
34 0.002 0. 0.002 0.165 0. 0.165
35 0.002 0. 0.002 0.179 0. 0.179
36 0.002 0. 0.002 0.195 0. 0.195
37 0.002 0. 0.002 0.207 0.003 0.204
38 0.002 0. 0.002 0.216 0. 0.216
39 0.002 0. 0.002 0.209 0. 0.209
40 0.002 0. 0.002 0.227 0.007 0.219
41 0.002 0. 0.002 0.239 0.003 0.235
42 0.002 0. 0.002 0.255 0. 0.255
43 0.002 0. 0.002 0.26 0. 0.26
44 0.002 0. 0.002 0.278 0. 0.278
45 0.003 0. 0.002 0.285 0.003 0.281
46 0.002 0. 0.002 0.295 0.003 0.291
47 0.003 0. 0.003 0.327 0. 0.327
48 0.003 0. 0.003 0.339 0.003 0.335
49 0.003 0. 0.003 0.353 0. 0.353
50 0.003 0. 0.003 0.36 0. 0.36
51 0.003 0. 0.003 0.393 0.004 0.389
52 0.003 0. 0.003 0.39 0.008 0.381
53 0.003 0. 0.003 0.411 0.004 0.407
54 0.003 0. 0.003 0.424 0.003 0.42
55 0.003 0. 0.003 0.439 0. 0.439
56 0.003 0. 0.003 0.447 0.003 0.443
57 0.003 0. 0.003 0.458 0. 0.458
58 0.003 0. 0.003 0.482 0. 0.482
59 0.003 0. 0.003 0.528 0. 0.528
60 0.003 0. 0.003 0.53 0. 0.53
61 0.003 0. 0.003 0.55 0. 0.55
62 0.003 0. 0.003 0.589 0.007 0.578
63 0.004 0. 0.004 0.574 0. 0.574
64 0.006 0. 0.006 0.598 0. 0.598
65 0.004 0. 0.004 0.608 0. 0.608
66 0.003 0. 0.003 0.649 0. 0.649
67 0.003 0. 0.003 0.664 0. 0.664
68 0.004 0. 0.004 0.709 0. 0.709
69 0.004 0. 0.004 0.72 0. 0.719
70 0.004 0. 0.004 0.745 0. 0.745
71 0.004 0. 0.004 0.739 0.003 0.735
72 0.004 0. 0.004 0.765 0.003 0.761
73 0.005 0. 0.005 0.791 0.008 0.782
74 0.005 0. 0.005 0.818 0.003 0.814
75 0.004 0. 0.004 0.857 0. 0.856
76 0.007 0. 0.007 0.891 0. 0.891
77 0.005 0. 0.005 0.921 0. 0.921
78 0.005 0. 0.005 0.937 0. 0.937
79 0.006 0. 0.006 0.943 0. 0.943
80 0.005 0. 0.005 0.969 0.003 0.965
81 0.004 0. 0.004 0.999 0. 0.999
82 0.005 0. 0.005 1.044 0. 1.044
83 0.006 0. 0.006 1.086 0. 1.085
84 0.004 0. 0.004 1.092 0. 1.092
85 0.005 0. 0.005 1.126 0. 1.125
86 0.006 0. 0.006 1.166 0. 1.166
87 0.005 0. 0.005 1.186 0. 1.186
88 0.005 0. 0.005 1.246 0. 1.245
89 0.005 0. 0.005 1.283 0. 1.283
90 0.005 0. 0.005 1.296 0. 1.295
91 0.006 0. 0.006 1.329 0. 1.329
92 0.006 0. 0.006 1.395 0. 1.394
93 0.006 0. 0.006 1.443 0. 1.442
94 0.006 0. 0.006 1.442 0. 1.441
95 0.005 0. 0.005 1.468 0. 1.464
96 0.006 0. 0.006 1.526 0. 1.526
97 0.006 0. 0.006 1.558 0. 1.557
98 0.006 0. 0.006 1.582 0. 1.582
99 0.006 0. 0.006 1.64 0.003 1.635
100 0.006 0. 0.006 1.699 0. 1.699
110 0.005 0. 0.005 2.205 0.028 2.176
120 0.006 0. 0.006 2.644 0.011 2.631
130 0.007 0. 0.007 3.179 0.023 3.155
140 0.007 0. 0.007 3.793 0.011 3.781
150 0.008 0. 0.008 4.499 0.003 4.494
160 0.008 0. 0.008 5.421 0.008 5.411
170 0.008 0. 0.008 6.126 0. 6.124
180 0.01 0. 0.01 7.306 0.012 7.29
190 0.01 0. 0.01 8.262 0. 8.26
200 0.01 0. 0.01 9.434 0. 9.433
210 0.011 0.004 0.007 10.911 0.02 10.888
220 0.013 0. 0.012 12.306 0. 12.304
230 0.012 0. 0.012 13.825 0. 13.824
240 0.02 0. 0.02 15.876 0.02 15.836
250 0.013 0. 0.013 17.744 0.008 17.734
