param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.,0.001,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001
1,0.003,0.,0.003,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002
2,0.004,0.,0.004,0.001,0.,0.001,0.001,0.,0.001,0.002,0.002,0.,0.004,0.,0.004,0.003,0.,0.003
10,0.022,0.012,0.01,0.006,0.004,0.001,0.007,0.003,0.003,0.011,0.003,0.007,0.024,0.015,0.008,0.016,0.008,0.008
20,0.11,0.019,0.091,0.011,0.,0.011,0.018,0.,0.018,0.03,0.004,0.025,0.115,0.019,0.095,0.098,0.018,0.079
30,0.105,0.,0.105,0.024,0.,0.024,0.051,0.,0.051,0.104,0.028,0.076,0.116,0.,0.116,0.08,0.,0.08
40,0.178,0.,0.178,0.043,0.,0.043,0.09,0.,0.09,0.088,0.,0.087,0.214,0.,0.214,0.134,0.,0.134
50,0.349,0.024,0.325,0.069,0.,0.069,0.171,0.,0.171,0.218,0.024,0.194,0.442,0.032,0.41,0.279,0.023,0.255
60,0.428,0.003,0.425,0.089,0.,0.088,0.25,0.,0.25,0.244,0.,0.244,0.614,0.,0.614,0.339,0.003,0.335
70,0.601,0.,0.601,0.117,0.,0.117,0.395,0.,0.395,0.366,0.,0.365,0.891,0.003,0.887,0.483,0.,0.483
80,0.847,0.,0.847,0.155,0.,0.155,0.561,0.,0.561,0.527,0.,0.527,1.291,0.,1.291,0.691,0.,0.691
90,1.135,0.,1.135,0.183,0.,0.183,0.781,0.,0.781,0.805,0.,0.804,1.793,0.004,1.789,0.951,0.,0.951
100,1.452,0.007,1.442,0.212,0.,0.212,1.05,0.,1.05,1.03,0.003,1.026,2.298,0.007,2.29,1.239,0.007,1.23
110,1.838,0.,1.836,0.253,0.,0.253,1.45,0.,1.45,1.326,0.,1.326,3.04,0.007,3.031,1.584,0.,1.582
120,2.312,0.,2.311,0.308,0.,0.308,1.658,0.,1.658,1.768,0.,1.768,3.697,0.008,3.689,2.002,0.,2.002
130,2.729,0.,2.727,0.34,0.,0.34,2.174,0.,2.174,2.193,0.003,2.187,4.794,0.004,4.789,2.388,0.,2.386
140,3.4,0.011,3.384,0.423,0.,0.422,2.956,0.003,2.951,2.765,0.,2.765,5.924,0.003,5.919,2.976,0.011,2.96
150,4.22,0.,4.219,0.491,0.,0.491,3.404,0.003,3.399,3.469,0.,3.468,7.278,0.015,7.26,3.728,0.,3.727
160,5.068,0.004,5.063,0.516,0.,0.516,4.136,0.,4.135,4.222,0.003,4.217,8.75,0.008,8.74,4.551,0.004,4.545
170,5.928,0.008,5.919,0.577,0.,0.577,4.895,0.,4.894,4.984,0.,4.983,10.039,0.011,10.022,5.35,0.008,5.341
180,6.931,0.016,6.909,0.736,0.,0.736,6.094,0.,6.093,5.973,0.011,5.958,12.214,0.007,12.204,6.194,0.016,6.172
190,8.25,0.,8.249,0.763,0.,0.763,6.887,0.,6.886,7.21,0.,7.209,14.28,0.,14.277,7.486,0.,7.485
200,9.11,0.033,9.069,0.818,0.008,0.809,8.422,0.,8.419,8.39,0.011,8.369,16.455,0.015,16.436,8.291,0.024,8.259
210,11.245,0.012,11.229,0.842,0.,0.842,9.479,0.,9.478,9.726,0.019,9.702,18.899,0.003,18.892,10.402,0.012,10.386
220,12.141,0.007,12.129,0.929,0.,0.929,10.937,0.003,10.931,11.118,0.003,11.109,22.585,0.,22.582,11.211,0.007,11.198
230,13.58,0.003,13.571,1.071,0.,1.071,13.522,0.,13.519,13.099,0.012,13.083,25.402,0.004,25.394,12.507,0.003,12.499
240,15.983,0.016,15.96,1.107,0.,1.107,14.797,0.,14.79,14.896,0.016,14.875,30.112,0.02,30.079,14.875,0.016,14.852
250,17.54,0.023,17.509,1.256,0.,1.256,17.862,0.024,17.831,16.957,0.008,16.944,34.001,0.012,33.978,16.282,0.023,16.251
300,31.638,0.02,31.605,1.816,0.,1.816,30.029,0.031,29.987,29.246,0.044,29.191,61.659,0.052,61.581,29.82,0.02,29.787
400,74.479,0.06,74.391,3.125,0.,3.124,76.081,0.06,75.994,74.633,0.08,74.525,148.496,0.1,148.343,71.352,0.06,71.264
