param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002
1,0.008,0.,0.008,0.008,0.004,0.004,0.,0.,0.,0.001,0.,0.,0.001,0.,0.001,0.,0.,0.,0.007,0.,0.007,0.006,0.003,0.003
2,0.015,0.003,0.011,0.014,0.004,0.009,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.,0.012,0.003,0.008,0.011,0.003,0.007
3,0.02,0.008,0.011,0.019,0.004,0.015,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.017,0.008,0.008,0.016,0.004,0.012
4,0.027,0.003,0.023,0.026,0.016,0.01,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.001,0.002,0.,0.001,0.023,0.003,0.02,0.022,0.015,0.007
5,0.075,0.007,0.067,0.075,0.004,0.071,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.072,0.007,0.064,0.072,0.003,0.068
6,0.033,0.,0.033,0.032,0.,0.032,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.029,0.,0.028,0.028,0.,0.028
7,0.044,0.,0.044,0.042,0.,0.042,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.039,0.,0.039,0.037,0.,0.037
8,0.055,0.,0.055,0.053,0.,0.053,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.049,0.,0.049,0.048,0.,0.048
9,0.067,0.,0.066,0.065,0.,0.065,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.06,0.,0.059,0.058,0.,0.058
10,0.145,0.024,0.121,0.147,0.031,0.115,0.003,0.,0.002,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.137,0.023,0.113,0.139,0.031,0.107
11,0.102,0.,0.102,0.102,0.,0.102,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.094,0.,0.094,0.093,0.,0.093
12,0.124,0.,0.124,0.122,0.,0.122,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.114,0.,0.114,0.112,0.,0.112
13,0.148,0.,0.148,0.148,0.,0.148,0.004,0.,0.004,0.004,0.,0.004,0.006,0.,0.006,0.006,0.,0.006,0.137,0.,0.137,0.137,0.,0.137
14,0.177,0.,0.177,0.173,0.,0.173,0.005,0.,0.005,0.005,0.,0.005,0.006,0.,0.006,0.006,0.,0.006,0.164,0.,0.164,0.161,0.,0.161
15,0.218,0.,0.218,0.207,0.,0.207,0.006,0.,0.006,0.006,0.,0.006,0.007,0.,0.007,0.007,0.,0.007,0.203,0.,0.203,0.193,0.,0.193
16,0.254,0.,0.254,0.253,0.,0.253,0.006,0.,0.006,0.006,0.,0.006,0.008,0.,0.008,0.008,0.,0.008,0.238,0.,0.238,0.237,0.,0.237
17,0.296,0.,0.296,0.294,0.,0.294,0.007,0.,0.007,0.007,0.,0.007,0.01,0.,0.01,0.009,0.,0.009,0.278,0.,0.278,0.277,0.,0.276
18,0.35,0.,0.35,0.339,0.,0.339,0.008,0.,0.008,0.007,0.,0.007,0.01,0.,0.01,0.01,0.,0.01,0.331,0.,0.331,0.32,0.,0.32
19,0.41,0.,0.41,0.408,0.,0.408,0.008,0.,0.008,0.008,0.,0.008,0.012,0.,0.012,0.012,0.,0.012,0.389,0.,0.389,0.386,0.,0.386
20,0.476,0.,0.476,0.465,0.,0.465,0.009,0.,0.009,0.009,0.,0.009,0.013,0.,0.013,0.013,0.,0.013,0.453,0.,0.453,0.443,0.,0.443
21,0.543,0.003,0.539,0.532,0.,0.532,0.01,0.,0.01,0.01,0.,0.01,0.014,0.,0.014,0.014,0.,0.014,0.517,0.003,0.513,0.507,0.,0.507
22,0.629,0.004,0.625,0.626,0.,0.626,0.011,0.,0.011,0.011,0.,0.011,0.016,0.,0.016,0.015,0.,0.015,0.601,0.004,0.597,0.598,0.,0.598
23,0.722,0.,0.722,0.71,0.,0.71,0.012,0.,0.012,0.012,0.,0.012,0.018,0.,0.018,0.019,0.,0.019,0.69,0.,0.69,0.678,0.,0.678
24,0.82,0.,0.819,0.815,0.,0.815,0.013,0.,0.013,0.012,0.,0.012,0.019,0.,0.019,0.021,0.,0.021,0.786,0.,0.786,0.78,0.,0.78
25,0.937,0.003,0.933,0.941,0.,0.941,0.015,0.,0.015,0.013,0.,0.013,0.022,0.,0.022,0.021,0.,0.021,0.899,0.003,0.895,0.905,0.,0.905
30,1.704,0.,1.704,1.699,0.003,1.695,0.021,0.,0.021,0.018,0.,0.018,0.033,0.,0.033,0.034,0.003,0.03,1.649,0.,1.649,1.646,0.,1.646
35,2.922,0.004,2.918,2.897,0.002,2.894,0.025,0.,0.024,0.024,0.,0.024,0.052,0.,0.052,0.051,0.,0.051,2.844,0.003,2.84,2.82,0.002,2.817
40,4.687,0.,4.686,4.613,0.,4.613,0.034,0.,0.034,0.031,0.,0.031,0.073,0.,0.073,0.071,0.,0.071,4.579,0.,4.578,4.51,0.,4.51
45,7.129,0.003,7.124,7.117,0.,7.116,0.039,0.,0.039,0.039,0.,0.039,0.096,0.,0.096,0.101,0.,0.101,6.993,0.002,6.988,6.975,0.,6.974
50,10.42,0.,10.418,10.541,0.,10.54,0.046,0.,0.046,0.046,0.,0.046,0.133,0.,0.133,0.126,0.,0.126,10.239,0.,10.237,10.367,0.,10.366
