param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.001,0.001,0.,0.001,0.001,0.,0.,0.,0.
16,4,0.003,0.001,0.001,0.001,0.,0.001,0.001,0.001,0.
32,5,0.006,0.003,0.003,0.004,0.001,0.003,0.001,0.001,0.
64,6,0.013,0.,0.013,0.008,0.,0.008,0.005,0.,0.004
128,7,0.078,0.019,0.058,0.069,0.019,0.049,0.008,0.,0.008
256,8,0.044,0.,0.044,0.028,0.,0.028,0.016,0.,0.016
512,9,0.119,0.002,0.116,0.083,0.002,0.08,0.035,0.,0.035
1024,10,0.202,0.,0.202,0.138,0.,0.138,0.063,0.,0.063
2048,11,0.508,0.027,0.48,0.353,0.011,0.341,0.153,0.015,0.137
4096,12,0.94,0.008,0.931,0.623,0.003,0.619,0.316,0.004,0.311
8192,13,2.064,0.02,2.044,1.413,0.016,1.396,0.65,0.003,0.647
16384,14,4.335,0.092,4.235,2.969,0.04,2.922,1.365,0.052,1.312
