Params: 0-univ-count= 32 , 1-n= 5
Tactic call exact-regression-linear ran for 0.001 secs (0.u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.003 secs (0.002u,0.001s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.001 secs (0.001u,0.s)
Params: 0-univ-count= 64 , 1-n= 6
Tactic call exact-regression-linear ran for 0.002 secs (0.u,0.002s) (success)
Tactic call abstract-regression-quadratic ran for 0.007 secs (0.u,0.007s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.004 secs (0.u,0.004s)
Params: 0-univ-count= 128 , 1-n= 7
Tactic call exact-regression-linear ran for 0.005 secs (0.002u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.067 secs (0.059u,0.007s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.061 secs (0.057u,0.004s)
Params: 0-univ-count= 256 , 1-n= 8
Tactic call exact-regression-linear ran for 0.008 secs (0.008u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.025 secs (0.025u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.016 secs (0.016u,0.s)
Params: 0-univ-count= 512 , 1-n= 9
Tactic call exact-regression-linear ran for 0.015 secs (0.015u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.052 secs (0.052u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.036 secs (0.036u,0.s)
Params: 0-univ-count= 1024 , 1-n= 10
Tactic call exact-regression-linear ran for 0.031 secs (0.031u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.122 secs (0.122u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.09 secs (0.09u,0.s)
Params: 0-univ-count= 2048 , 1-n= 11
Tactic call exact-regression-linear ran for 0.096 secs (0.092u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.338 secs (0.315u,0.023s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.242 secs (0.222u,0.019s)
Params: 0-univ-count= 4096 , 1-n= 12
Tactic call exact-regression-linear ran for 0.21 secs (0.206u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.547 secs (0.543u,0.003s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.336 secs (0.336u,0.s)
Params: 0-univ-count= 8192 , 1-n= 13
Tactic call exact-regression-linear ran for 0.509 secs (0.501u,0.007s) (success)
Tactic call abstract-regression-quadratic ran for 1.328 secs (1.299u,0.027s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.818 secs (0.797u,0.02s)
Params: 0-univ-count= 16384 , 1-n= 14
Tactic call exact-regression-linear ran for 0.877 secs (0.869u,0.007s) (success)
Tactic call abstract-regression-quadratic ran for 2.575 secs (2.519u,0.055s) (success)
Tactic call close-abstract-regression-quadratic ran for 1.697 secs (1.649u,0.048s)
