param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.001,0.
10,0.006,0.003,0.003,0.006,0.,0.005,0.006,0.003,0.002
20,0.014,0.004,0.009,0.013,0.011,0.002,0.013,0.004,0.008
30,0.019,0.,0.019,0.019,0.,0.019,0.073,0.003,0.07
40,0.029,0.,0.029,0.03,0.,0.03,0.03,0.,0.03
50,0.036,0.,0.036,0.087,0.011,0.075,0.045,0.016,0.028
60,0.063,0.,0.063,0.051,0.,0.051,0.053,0.,0.053
70,0.08,0.,0.08,0.065,0.,0.064,0.068,0.,0.068
80,0.109,0.,0.109,0.081,0.,0.081,0.141,0.,0.141
90,0.098,0.003,0.094,0.098,0.,0.098,0.114,0.,0.114
100,0.121,0.,0.121,0.117,0.,0.117,0.108,0.,0.108
110,0.14,0.,0.14,0.135,0.,0.135,0.146,0.,0.146
120,0.174,0.,0.174,0.163,0.,0.163,0.179,0.,0.179
130,0.188,0.,0.188,0.185,0.,0.185,0.192,0.,0.192
140,0.225,0.,0.225,0.216,0.,0.216,0.231,0.,0.231
150,0.213,0.,0.213,0.233,0.,0.233,0.301,0.,0.301
160,0.262,0.,0.262,0.282,0.,0.282,0.268,0.,0.268
170,0.294,0.,0.294,0.309,0.,0.309,0.294,0.,0.294
180,0.333,0.,0.333,0.329,0.,0.329,0.337,0.,0.337
190,0.369,0.,0.369,0.361,0.,0.361,0.366,0.,0.366
200,0.361,0.,0.361,0.384,0.,0.384,0.363,0.,0.363
