param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002
1,0.003,0.,0.003,0.001,0.,0.001,0.001,0.,0.,0.001,0.,0.001,0.003,0.003,0.,0.001,0.,0.001
2,0.004,0.,0.004,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.005,0.,0.005,0.003,0.,0.003
10,0.023,0.007,0.015,0.004,0.004,0.,0.006,0.,0.006,0.006,0.004,0.001,0.024,0.008,0.016,0.018,0.003,0.015
20,0.098,0.027,0.07,0.061,0.019,0.041,0.01,0.,0.01,0.013,0.006,0.007,0.104,0.023,0.08,0.036,0.008,0.028
30,0.063,0.,0.062,0.013,0.,0.013,0.02,0.,0.02,0.021,0.008,0.012,0.069,0.,0.069,0.049,0.,0.048
40,0.108,0.,0.108,0.025,0.,0.025,0.042,0.,0.042,0.083,0.014,0.069,0.11,0.,0.11,0.082,0.,0.082
50,0.205,0.024,0.181,0.028,0.,0.028,0.036,0.,0.036,0.043,0.011,0.031,0.212,0.031,0.181,0.176,0.023,0.152
60,0.249,0.003,0.245,0.062,0.,0.061,0.052,0.,0.052,0.049,0.,0.048,0.307,0.,0.307,0.186,0.003,0.183
70,0.394,0.,0.394,0.073,0.,0.073,0.064,0.,0.064,0.062,0.,0.062,0.365,0.003,0.362,0.32,0.,0.32
80,0.376,0.003,0.373,0.078,0.,0.078,0.084,0.,0.084,0.078,0.,0.078,0.388,0.,0.388,0.297,0.003,0.294
90,0.469,0.008,0.461,0.097,0.,0.097,0.099,0.,0.099,0.121,0.,0.121,0.477,0.,0.477,0.372,0.007,0.364
100,0.678,0.012,0.666,0.144,0.001,0.143,0.113,0.,0.113,0.153,0.007,0.146,0.645,0.007,0.638,0.533,0.011,0.522
110,0.711,0.003,0.707,0.137,0.,0.137,0.136,0.,0.136,0.147,0.,0.147,0.729,0.007,0.721,0.573,0.003,0.569
120,0.848,0.003,0.844,0.159,0.,0.159,0.16,0.,0.16,0.214,0.,0.214,0.861,0.,0.861,0.687,0.003,0.684
130,1.028,0.011,1.016,0.186,0.007,0.178,0.188,0.,0.188,0.215,0.,0.215,1.019,0.,1.019,0.841,0.003,0.837
140,1.213,0.,1.211,0.216,0.,0.215,0.207,0.,0.207,0.208,0.,0.208,1.173,0.003,1.169,0.995,0.,0.995
150,1.177,0.,1.177,0.214,0.,0.214,0.224,0.,0.224,0.232,0.,0.232,1.245,0.011,1.233,0.962,0.,0.962
160,1.605,0.,1.605,0.275,0.,0.275,0.277,0.,0.277,0.266,0.,0.266,1.592,0.011,1.58,1.329,0.,1.329
170,1.771,0.011,1.759,0.311,0.,0.311,0.302,0.,0.302,0.294,0.,0.294,1.704,0.003,1.699,1.459,0.011,1.447
180,2.039,0.,2.038,0.338,0.,0.338,0.332,0.,0.332,0.338,0.,0.338,1.921,0.004,1.917,1.7,0.,1.699
190,2.268,0.008,2.26,0.392,0.,0.392,0.365,0.,0.365,0.358,0.,0.358,2.191,0.011,2.179,1.875,0.008,1.867
200,2.169,0.023,2.145,0.372,0.,0.372,0.361,0.,0.361,0.464,0.,0.464,2.234,0.015,2.218,1.795,0.023,1.772
210,2.875,0.019,2.855,0.459,0.,0.459,0.466,0.,0.466,0.443,0.,0.443,2.746,0.016,2.73,2.415,0.019,2.394
220,3.156,0.007,3.148,0.515,0.,0.515,0.497,0.,0.497,0.475,0.,0.475,3.145,0.,3.145,2.639,0.007,2.631
230,3.69,0.,3.69,0.558,0.,0.557,0.526,0.,0.526,0.502,0.,0.502,3.381,0.003,3.377,3.131,0.,3.131
240,3.786,0.004,3.782,0.6,0.,0.6,0.577,0.,0.577,0.561,0.,0.561,3.94,0.011,3.927,3.185,0.004,3.181
250,4.152,0.,4.152,0.63,0.,0.63,0.631,0.,0.631,0.596,0.,0.596,4.252,0.,4.252,3.521,0.,3.521
300,6.761,0.016,6.745,0.905,0.,0.905,0.879,0.,0.879,0.84,0.003,0.836,6.742,0.02,6.722,5.855,0.016,5.839
400,13.767,0.,13.766,1.604,0.,1.604,1.552,0.,1.552,1.484,0.003,1.48,14.559,0.,14.557,12.16,0.,12.16
