param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.13994,0.00088,0.00097,0.00009,0.143,0.003,0.005,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.001,0.,0.008,0.004,0.004
2,1,2,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.11338,0.00030,0.00146,0.00008,0.115,0.,0.005,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.006,0.,0.006,0.025,0.007,0.018
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.11265,0.00029,0.00087,0.00008,0.114,0.004,0.,0.001,0.,0.001,0.,0.,0.,0.003,0.001,0.001,0.003,0.,0.003,0.016,0.008,0.007
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.11329,0.00093,0.00089,0.00009,0.115,0.004,0.001,0.001,0.001,0.,0.,0.,0.,0.017,0.008,0.009,0.017,0.003,0.013,0.09,0.007,0.082
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.11458,0.00029,0.00089,0.00009,0.116,0.,0.004,0.,0.,0.,0.,0.,0.,0.012,0.003,0.008,0.012,0.004,0.008,0.02,0.,0.02
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.11304,0.00029,0.00091,0.00009,0.114,0.,0.005,0.001,0.,0.001,0.,0.,0.,0.029,0.,0.029,0.029,0.,0.029,0.06,0.,0.06
4,2,2,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.11366,0.00029,0.00148,0.00021,0.115,0.004,0.001,0.,0.,0.,0.,0.,0.,0.072,0.004,0.068,0.075,0.011,0.063,0.036,0.,0.036
4,4,1,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.11212,0.00029,0.00148,0.00009,0.114,0.,0.005,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.018,0.,0.018,0.036,0.,0.036
5,1,5,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.13817,0.00030,0.00094,0.00010,0.141,0.005,0.003,0.001,0.,0.001,0.,0.,0.,0.139,0.023,0.115,0.139,0.019,0.119,0.186,0.027,0.158
5,5,1,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.11159,0.00031,0.00163,0.00010,0.113,0.003,0.002,0.001,0.,0.001,0.,0.,0.,0.034,0.,0.034,0.036,0.,0.036,0.062,0.,0.062
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,0.,0.108
