param-n,abstract+autorewrite-regression-quadratic-real,abstract+rewrite!-regression-quadratic-real,autorewrite-noop-regression-linear-real,autorewrite-regression-quadratic-real,close-abstract+autorewrite-regression-quadratic-real,close-abstract+rewrite!-regression-quadratic-real,rewrite!-regression-quadratic-real,rewrite?-noop-regression-linear-real
1,0.001,0.001,0.,0.001,0.,0.,0.,0.
2,0.001,0.001,0.,0.001,0.,0.,0.,0.
3,0.002,0.001,0.,0.001,0.,0.,0.001,0.
4,0.002,0.002,0.,0.001,0.,0.,0.001,0.
5,0.003,0.002,0.,0.001,0.,0.,0.001,0.
6,0.003,0.003,0.,0.002,0.,0.,0.001,0.
7,0.004,0.004,0.,0.002,0.001,0.001,0.002,0.
8,0.004,0.004,0.,0.003,0.,0.,0.003,0.
9,0.005,0.005,0.,0.004,0.,0.001,0.003,0.
10,0.006,0.006,0.,0.004,0.,0.,0.004,0.
11,0.007,0.006,0.,0.005,0.001,0.,0.004,0.
12,0.008,0.007,0.,0.005,0.001,0.001,0.005,0.
13,0.06,0.009,0.051,0.007,0.001,0.001,0.007,0.
14,0.007,0.061,0.,0.005,0.001,0.001,0.059,0.
15,0.007,0.007,0.,0.005,0.001,0.001,0.005,0.
16,0.008,0.008,0.,0.006,0.001,0.001,0.006,0.
17,0.009,0.008,0.,0.006,0.001,0.001,0.006,0.
18,0.01,0.011,0.,0.007,0.002,0.001,0.008,0.
19,0.011,0.01,0.,0.008,0.002,0.002,0.008,0.
20,0.012,0.013,0.,0.009,0.002,0.003,0.008,0.
21,0.012,0.012,0.,0.008,0.003,0.002,0.008,0.
22,0.018,0.013,0.,0.014,0.003,0.002,0.009,0.
23,0.015,0.014,0.,0.011,0.003,0.002,0.01,0.
24,0.017,0.015,0.,0.013,0.003,0.003,0.011,0.
25,0.016,0.017,0.,0.011,0.003,0.003,0.012,0.
26,0.018,0.016,0.,0.013,0.003,0.003,0.012,0.
27,0.02,0.018,0.,0.014,0.005,0.004,0.013,0.
28,0.02,0.02,0.,0.015,0.004,0.004,0.015,0.
29,0.023,0.021,0.,0.017,0.005,0.004,0.015,0.
30,0.024,0.02,0.,0.018,0.005,0.004,0.015,0.
31,0.023,0.024,0.,0.016,0.005,0.005,0.018,0.
32,0.024,0.028,0.,0.017,0.005,0.006,0.02,0.
33,0.026,0.028,0.,0.019,0.006,0.006,0.021,0.
34,0.027,0.027,0.,0.019,0.006,0.006,0.02,0.
35,0.028,0.032,0.,0.021,0.006,0.006,0.024,0.
36,0.029,0.029,0.,0.021,0.006,0.006,0.021,0.
37,0.031,0.031,0.,0.023,0.007,0.006,0.023,0.
38,0.034,0.031,0.,0.024,0.008,0.007,0.023,0.
39,0.033,0.036,0.,0.024,0.007,0.008,0.026,0.
40,0.036,0.036,0.,0.027,0.007,0.008,0.026,0.
41,0.046,0.039,0.,0.034,0.01,0.009,0.028,0.
42,0.038,0.039,0.,0.028,0.008,0.008,0.028,0.
43,0.041,0.041,0.,0.03,0.009,0.009,0.031,0.
44,0.044,0.042,0.,0.033,0.009,0.009,0.031,0.
45,0.043,0.046,0.,0.03,0.011,0.01,0.034,0.
46,0.044,0.047,0.,0.032,0.01,0.009,0.036,0.
47,0.05,0.05,0.,0.038,0.01,0.011,0.038,0.
48,0.049,0.051,0.,0.036,0.011,0.011,0.038,0.
49,0.052,0.054,0.,0.039,0.011,0.012,0.037,0.003
50,0.124,0.126,0.,0.111,0.012,0.012,0.112,0.
51,0.055,0.056,0.,0.041,0.012,0.014,0.04,0.
52,0.064,0.056,0.,0.049,0.013,0.013,0.039,0.002
53,0.059,0.056,0.,0.044,0.013,0.013,0.042,0.
54,0.061,0.061,0.,0.046,0.014,0.013,0.046,0.
55,0.063,0.061,0.,0.046,0.015,0.013,0.045,0.
56,0.066,0.07,0.001,0.048,0.015,0.015,0.053,0.
57,0.068,0.07,0.,0.051,0.016,0.016,0.052,0.
58,0.077,0.071,0.,0.058,0.016,0.017,0.052,0.
59,0.075,0.071,0.,0.056,0.017,0.016,0.053,0.
60,0.076,0.072,0.001,0.056,0.017,0.017,0.053,0.
61,0.079,0.084,0.001,0.059,0.017,0.019,0.063,0.001
62,0.079,0.079,0.,0.057,0.019,0.018,0.059,0.
63,0.08,0.091,0.,0.059,0.018,0.02,0.068,0.
64,0.084,0.086,0.001,0.06,0.021,0.02,0.064,0.
65,0.084,0.087,0.001,0.063,0.018,0.022,0.063,0.
66,0.1,0.088,0.,0.078,0.019,0.021,0.064,0.001
67,0.094,0.088,0.,0.068,0.024,0.021,0.065,0.
68,0.094,0.097,0.001,0.069,0.022,0.026,0.069,0.
69,0.101,0.106,0.,0.076,0.023,0.026,0.077,0.001
70,0.097,0.104,0.,0.071,0.024,0.022,0.079,0.001
71,0.104,0.105,0.001,0.074,0.028,0.022,0.08,0.001
72,0.107,0.107,0.001,0.078,0.027,0.024,0.081,0.
73,0.114,0.121,0.001,0.082,0.029,0.024,0.095,0.001
74,0.125,0.121,0.001,0.094,0.029,0.026,0.093,0.001
75,0.12,0.119,0.001,0.086,0.031,0.026,0.09,0.001
76,0.123,0.12,0.001,0.09,0.031,0.027,0.091,0.001
77,0.122,0.126,0.001,0.091,0.028,0.03,0.093,0.001
78,0.123,0.132,0.001,0.091,0.03,0.032,0.092,0.001
79,0.128,0.127,0.001,0.093,0.032,0.028,0.096,0.001
80,0.132,0.126,0.001,0.096,0.033,0.03,0.093,0.001
81,0.134,0.141,0.001,0.102,0.029,0.032,0.106,0.001
82,0.142,0.136,0.001,0.104,0.035,0.03,0.104,0.001
83,0.147,0.145,0.001,0.113,0.032,0.038,0.104,0.001
84,0.142,0.138,0.001,0.104,0.035,0.033,0.102,0.001
85,0.149,0.149,0.001,0.112,0.034,0.035,0.111,0.001
86,0.159,0.151,0.001,0.122,0.034,0.035,0.113,0.001
87,0.159,0.148,0.001,0.119,0.037,0.035,0.11,0.001
88,0.156,0.158,0.001,0.115,0.038,0.035,0.12,0.001
89,0.158,0.158,0.001,0.117,0.039,0.036,0.117,0.003
90,0.172,0.157,0.001,0.13,0.039,0.039,0.114,0.001
91,0.17,0.168,0.001,0.123,0.044,0.039,0.126,0.001
92,0.173,0.168,0.001,0.127,0.043,0.038,0.123,0.005
93,0.176,0.177,0.001,0.13,0.043,0.042,0.131,0.001
94,0.181,0.186,0.001,0.132,0.046,0.045,0.137,0.001
95,0.186,0.186,0.001,0.139,0.044,0.045,0.138,0.001
96,0.193,0.186,0.001,0.142,0.047,0.045,0.138,0.001
97,0.201,0.193,0.001,0.147,0.05,0.048,0.143,0.001
98,0.199,0.194,0.001,0.15,0.045,0.049,0.142,0.001
99,0.204,0.212,0.001,0.151,0.05,0.055,0.154,0.001
100,0.203,0.205,0.001,0.154,0.047,0.046,0.156,0.001
110,0.258,0.242,0.001,0.189,0.066,0.059,0.18,0.002
120,0.3,0.297,0.001,0.222,0.073,0.067,0.225,0.002
130,0.369,0.352,0.002,0.273,0.092,0.084,0.264,0.002
140,0.413,0.411,0.002,0.303,0.106,0.094,0.313,0.002
150,0.478,0.502,0.002,0.355,0.119,0.118,0.38,0.002
160,0.554,0.538,0.003,0.412,0.137,0.127,0.406,0.002
170,0.627,0.61,0.003,0.465,0.157,0.145,0.461,0.002
180,0.682,0.663,0.003,0.522,0.154,0.155,0.503,0.003
190,0.775,0.727,0.003,0.595,0.174,0.168,0.554,0.003
200,0.867,0.884,0.003,0.655,0.207,0.213,0.666,0.003
210,0.997,0.913,0.004,0.754,0.236,0.208,0.699,0.003
220,1.017,1.004,0.004,0.772,0.239,0.231,0.767,0.004
230,1.144,1.14,0.004,0.867,0.27,0.271,0.862,0.004
240,1.295,1.265,0.005,0.971,0.316,0.285,0.969,0.009
250,1.362,1.359,0.005,1.047,0.308,0.309,1.043,0.005
260,1.452,1.451,0.005,1.115,0.329,0.328,1.114,0.006
270,1.547,1.565,0.005,1.203,0.336,0.344,1.212,0.005
280,1.655,1.709,0.006,1.265,0.381,0.39,1.31,0.006
290,1.824,1.834,0.01,1.41,0.401,0.398,1.426,0.006
300,1.96,1.98,0.008,1.519,0.431,0.429,1.541,0.008
310,2.067,2.156,0.007,1.607,0.449,0.452,1.692,0.01
320,2.191,2.372,0.007,1.706,0.475,0.514,1.847,0.008
330,2.47,2.544,0.007,1.931,0.528,0.531,2.003,0.008
340,2.559,2.632,0.01,1.99,0.555,0.548,2.072,0.008
350,2.853,2.869,0.008,2.235,0.607,0.603,2.255,0.009
360,2.893,3.063,0.009,2.27,0.611,0.621,2.429,0.01
