param-n,abstract-regression-cubic-real,abstract-regression-cubic-sys,abstract-regression-cubic-user,close-abstract-regression-cubic-real,close-abstract-regression-cubic-sys,close-abstract-regression-cubic-user,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.002,0.,0.002,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.
5,0.002,0.002,0.,0.,0.,0.,0.001,0.001,0.,0.001,0.001,0.,0.,0.,0.
6,0.002,0.002,0.,0.,0.,0.,0.002,0.002,0.,0.002,0.002,0.,0.,0.,0.
7,0.002,0.002,0.,0.,0.,0.,0.001,0.001,0.,0.001,0.001,0.,0.,0.,0.
8,0.002,0.002,0.,0.,0.,0.,0.002,0.002,0.,0.002,0.002,0.,0.,0.,0.
9,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
10,0.002,0.002,0.,0.,0.,0.,0.002,0.002,0.,0.001,0.001,0.,0.,0.,0.
11,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
12,0.004,0.,0.004,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
13,0.003,0.002,0.,0.,0.,0.,0.003,0.002,0.,0.003,0.002,0.,0.,0.,0.
14,0.003,0.,0.003,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
15,0.003,0.003,0.,0.,0.,0.,0.002,0.002,0.,0.002,0.002,0.,0.,0.,0.
16,0.004,0.004,0.,0.,0.,0.,0.003,0.003,0.,0.003,0.003,0.,0.,0.,0.
17,0.004,0.001,0.003,0.,0.,0.,0.003,0.001,0.002,0.003,0.,0.002,0.,0.,0.
18,0.004,0.,0.003,0.001,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
19,0.063,0.019,0.043,0.,0.,0.,0.062,0.019,0.042,0.062,0.019,0.042,0.,0.,0.
20,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
21,0.004,0.,0.004,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
22,0.004,0.,0.004,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
23,0.004,0.,0.004,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
24,0.005,0.,0.005,0.,0.,0.,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
25,0.005,0.,0.005,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
26,0.005,0.,0.005,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
27,0.006,0.,0.006,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
28,0.006,0.,0.006,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
29,0.006,0.,0.006,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
30,0.006,0.,0.006,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
31,0.006,0.,0.006,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
32,0.008,0.,0.008,0.001,0.,0.001,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
33,0.007,0.,0.007,0.001,0.,0.001,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
34,0.007,0.,0.007,0.001,0.,0.001,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
35,0.007,0.,0.007,0.001,0.,0.001,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
36,0.008,0.,0.008,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
37,0.007,0.,0.007,0.001,0.,0.001,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
38,0.008,0.,0.008,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
39,0.007,0.,0.007,0.001,0.,0.001,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
40,0.008,0.,0.008,0.001,0.,0.001,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
41,0.009,0.,0.009,0.002,0.,0.002,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
42,0.008,0.,0.008,0.002,0.,0.002,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
43,0.008,0.,0.008,0.002,0.,0.002,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
44,0.008,0.,0.008,0.002,0.,0.002,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
45,0.009,0.,0.009,0.002,0.,0.002,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
46,0.01,0.,0.01,0.002,0.,0.002,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
47,0.01,0.,0.01,0.002,0.,0.002,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
48,0.01,0.,0.01,0.002,0.,0.002,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
49,0.011,0.,0.011,0.002,0.,0.002,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
50,0.013,0.006,0.006,0.003,0.003,0.,0.01,0.003,0.006,0.01,0.003,0.006,0.,0.,0.
51,0.01,0.,0.01,0.002,0.,0.002,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
52,0.011,0.,0.011,0.003,0.,0.003,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
53,0.01,0.,0.01,0.003,0.,0.003,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
54,0.011,0.,0.011,0.003,0.,0.003,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
55,0.019,0.,0.019,0.009,0.,0.009,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
56,0.013,0.,0.013,0.003,0.,0.003,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
57,0.013,0.,0.013,0.003,0.,0.003,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
58,0.013,0.,0.013,0.004,0.,0.004,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
59,0.017,0.,0.017,0.006,0.,0.006,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.
60,0.016,0.,0.016,0.004,0.,0.004,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.
61,0.017,0.,0.017,0.004,0.,0.004,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
62,0.014,0.,0.014,0.004,0.,0.004,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
63,0.015,0.,0.015,0.004,0.,0.004,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.
64,0.016,0.,0.016,0.005,0.,0.005,0.01,0.,0.01,0.01,0.,0.01,0.001,0.,0.001
65,0.016,0.,0.016,0.004,0.,0.004,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.
66,0.019,0.,0.019,0.005,0.,0.005,0.014,0.,0.014,0.014,0.,0.014,0.,0.,0.
67,0.016,0.,0.016,0.005,0.,0.005,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.
68,0.017,0.,0.017,0.005,0.,0.005,0.011,0.,0.011,0.011,0.,0.011,0.001,0.,0.001
69,0.021,0.,0.021,0.01,0.,0.01,0.01,0.,0.01,0.01,0.,0.01,0.001,0.,0.001
70,0.019,0.,0.018,0.005,0.,0.005,0.012,0.,0.012,0.012,0.,0.012,0.001,0.,0.001
71,0.019,0.,0.019,0.006,0.,0.006,0.012,0.,0.012,0.012,0.,0.012,0.001,0.,0.001
72,0.017,0.,0.017,0.005,0.,0.005,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
73,0.019,0.,0.019,0.006,0.,0.006,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
74,0.021,0.,0.021,0.007,0.,0.007,0.013,0.,0.013,0.013,0.,0.013,0.001,0.,0.001
75,0.023,0.,0.023,0.006,0.,0.006,0.015,0.,0.015,0.015,0.,0.015,0.001,0.,0.001
76,0.02,0.,0.02,0.007,0.,0.007,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
77,0.02,0.,0.02,0.007,0.,0.007,0.012,0.,0.012,0.012,0.,0.012,0.001,0.,0.001
78,0.019,0.,0.019,0.007,0.,0.007,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
79,0.022,0.003,0.019,0.007,0.,0.007,0.014,0.003,0.011,0.014,0.003,0.011,0.,0.,0.
80,0.022,0.,0.021,0.007,0.,0.007,0.013,0.,0.013,0.013,0.,0.013,0.001,0.,0.001
81,0.022,0.,0.022,0.007,0.,0.007,0.014,0.,0.014,0.014,0.,0.014,0.001,0.,0.001
82,0.022,0.,0.022,0.007,0.,0.007,0.014,0.,0.014,0.014,0.,0.014,0.001,0.,0.001
83,0.031,0.,0.031,0.012,0.,0.012,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
84,0.026,0.,0.026,0.009,0.,0.009,0.016,0.,0.016,0.016,0.,0.016,0.001,0.,0.001
85,0.024,0.,0.024,0.009,0.,0.009,0.014,0.,0.014,0.014,0.,0.014,0.001,0.,0.001
86,0.023,0.,0.023,0.008,0.,0.008,0.014,0.,0.014,0.014,0.,0.014,0.001,0.,0.001
87,0.028,0.,0.028,0.01,0.,0.01,0.016,0.,0.016,0.016,0.,0.016,0.001,0.,0.001
88,0.026,0.,0.026,0.009,0.,0.009,0.015,0.,0.015,0.015,0.,0.015,0.001,0.,0.001
89,0.026,0.,0.026,0.01,0.,0.01,0.015,0.,0.015,0.015,0.,0.015,0.001,0.,0.001
90,0.027,0.,0.027,0.009,0.,0.009,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
91,0.025,0.,0.025,0.009,0.,0.009,0.014,0.,0.014,0.014,0.,0.014,0.001,0.,0.001
92,0.025,0.,0.025,0.01,0.,0.01,0.014,0.,0.014,0.014,0.,0.014,0.001,0.,0.001
93,0.028,0.,0.028,0.011,0.,0.011,0.015,0.,0.015,0.015,0.,0.015,0.001,0.,0.001
94,0.031,0.,0.031,0.014,0.,0.014,0.016,0.,0.016,0.016,0.,0.016,0.001,0.,0.001
95,0.032,0.,0.032,0.012,0.,0.012,0.018,0.,0.018,0.018,0.,0.018,0.001,0.,0.001
96,0.03,0.,0.03,0.012,0.,0.012,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
97,0.032,0.003,0.028,0.013,0.003,0.01,0.017,0.,0.016,0.017,0.,0.016,0.001,0.,0.001
98,0.031,0.,0.031,0.012,0.,0.012,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
99,0.03,0.,0.03,0.012,0.,0.012,0.017,0.,0.017,0.017,0.,0.017,0.001,0.,0.001
100,0.04,0.024,0.015,0.015,0.007,0.007,0.023,0.016,0.007,0.023,0.016,0.007,0.002,0.,0.001
110,0.04,0.,0.04,0.019,0.,0.019,0.019,0.,0.019,0.019,0.,0.019,0.001,0.,0.001
120,0.05,0.,0.05,0.023,0.,0.023,0.026,0.,0.026,0.026,0.,0.026,0.001,0.,0.001
130,0.055,0.,0.055,0.029,0.,0.029,0.025,0.,0.025,0.025,0.,0.025,0.002,0.,0.002
140,0.063,0.,0.063,0.032,0.,0.032,0.03,0.,0.03,0.03,0.,0.03,0.002,0.,0.002
150,0.128,0.025,0.103,0.036,0.,0.036,0.091,0.025,0.066,0.091,0.025,0.066,0.001,0.,0.001
160,0.082,0.,0.082,0.043,0.,0.043,0.038,0.,0.038,0.038,0.,0.038,0.001,0.,0.001
170,0.089,0.,0.089,0.053,0.,0.053,0.035,0.,0.035,0.035,0.,0.035,0.002,0.,0.002
180,0.111,0.,0.111,0.061,0.,0.061,0.048,0.,0.048,0.048,0.,0.048,0.002,0.,0.002
190,0.124,0.003,0.12,0.074,0.,0.074,0.049,0.003,0.045,0.049,0.003,0.045,0.002,0.,0.002
200,0.135,0.,0.135,0.086,0.,0.086,0.048,0.,0.048,0.048,0.,0.048,0.003,0.,0.003
210,0.154,0.,0.154,0.101,0.,0.101,0.051,0.,0.051,0.051,0.,0.051,0.003,0.,0.003
220,0.163,0.,0.163,0.109,0.,0.109,0.053,0.,0.053,0.053,0.,0.053,0.003,0.,0.003
230,0.184,0.,0.184,0.13,0.,0.13,0.052,0.,0.052,0.052,0.,0.052,0.002,0.,0.002
240,0.201,0.,0.201,0.139,0.,0.139,0.061,0.,0.061,0.061,0.,0.061,0.003,0.,0.003
250,0.211,0.,0.211,0.147,0.,0.147,0.063,0.,0.063,0.063,0.,0.063,0.003,0.,0.003
260,0.261,0.,0.261,0.193,0.,0.193,0.067,0.,0.067,0.067,0.,0.067,0.003,0.,0.003
270,0.268,0.,0.268,0.187,0.,0.187,0.08,0.,0.08,0.08,0.,0.08,0.011,0.,0.011
280,0.289,0.,0.289,0.207,0.,0.207,0.081,0.,0.081,0.081,0.,0.081,0.004,0.,0.004
290,0.325,0.,0.325,0.24,0.,0.24,0.083,0.,0.083,0.083,0.,0.083,0.003,0.,0.003
300,0.341,0.,0.341,0.252,0.,0.252,0.088,0.,0.088,0.088,0.,0.088,0.004,0.,0.004
310,0.363,0.,0.363,0.272,0.,0.272,0.09,0.,0.09,0.09,0.,0.09,0.005,0.,0.005
320,0.401,0.,0.401,0.306,0.,0.306,0.093,0.,0.093,0.093,0.,0.093,0.004,0.,0.004
